market,member,n,logLoss,brier,skill,slope,intercept,meanP,meanY
batter_hits,price,70646,0.64618,0.22742,0.0675,1.017,0.007,0.5081,0.5099
batter_hits,compact,70646,0.64584,0.22725,0.068,1.001,0.011,0.5074,0.5099
batter_hits,box,70646,0.64576,0.22721,0.0681,0.994,0.021,0.5051,0.5099
batter_hits,gbm,70646,0.64577,0.22721,0.0681,1.003,0.02,0.5052,0.5099
batter_hits,offset,70646,0.64576,0.2272,0.0681,0.996,0.022,0.505,0.5099
batter_hits,iso,70646,0.64801,0.22774,0.0649,0.941,-0.007,0.5126,0.5099
batter_hits,ENSEMBLE(price+gbm+iso),70646,0.64544,0.22706,0.0686,1.012,0.005,0.5086,0.5099
batter_rbis,price,53920,0.59497,0.20298,0.0106,1.047,0.065,0.2846,0.2891
batter_rbis,compact,53920,0.59411,0.20261,0.0121,0.932,-0.069,0.2911,0.2891
batter_rbis,box,53920,0.59388,0.20249,0.0124,0.929,-0.067,0.29,0.2891
batter_rbis,gbm,53920,0.59443,0.20276,0.0115,0.881,-0.112,0.2906,0.2891
batter_rbis,offset,53920,0.5939,0.2025,0.0124,0.938,-0.059,0.2899,0.2891
batter_rbis,iso,53920,0.59731,0.2031,0.0067,0.661,-0.309,0.2917,0.2891
batter_rbis,ENSEMBLE(price+gbm+iso),53920,0.59396,0.20254,0.0123,1.002,0.002,0.289,0.2891
totals,price,4680,0.6937,0.25027,-0.0009,0.171,-0.017,0.4881,0.4938
totals,compact,4680,0.69646,0.25161,-0.0049,0.249,-0.016,0.4909,0.4938
totals,box,4680,0.70775,0.25695,-0.0212,-0.146,-0.024,0.5009,0.4938
totals,gbm,4680,0.7135,0.2596,-0.0295,0.025,-0.025,0.5007,0.4938
totals,offset,4680,0.70778,0.25697,-0.0212,-0.149,-0.024,0.501,0.4938
totals,iso,4680,0.70347,0.2527,-0.015,0.031,-0.025,0.5002,0.4938
totals,ENSEMBLE(price+gbm+iso),4680,0.69637,0.25159,-0.0048,0.085,-0.024,0.4963,0.4938
spreads,price,4240,0.66001,0.23367,0.0473,1.087,0.01,0.4851,0.4863
spreads,compact,4240,0.662,0.2346,0.0444,0.982,-0.016,0.4898,0.4863
spreads,box,4240,0.67127,0.2385,0.031,0.781,-0.021,0.4892,0.4863
spreads,gbm,4240,0.67688,0.24146,0.0229,0.675,-0.039,0.4939,0.4863
spreads,offset,4240,0.67128,0.2385,0.031,0.78,-0.022,0.4893,0.4863
spreads,iso,4240,0.69756,0.24283,-0.0069,0.4,-0.027,0.4847,0.4863
spreads,ENSEMBLE(price+gbm+iso),4240,0.66635,0.23657,0.0381,0.92,-0.011,0.4879,0.4863
batter_total_bases,price,66232,0.67073,0.23896,0.0279,1.014,0.025,0.4547,0.46
batter_total_bases,compact,66232,0.67033,0.23878,0.0284,1.0,0.021,0.4551,0.46
batter_total_bases,box,66232,0.67034,0.23878,0.0284,0.986,0.015,0.4558,0.46
batter_total_bases,gbm,66232,0.67076,0.23899,0.0278,0.992,0.013,0.4566,0.46
batter_total_bases,offset,66232,0.67032,0.23877,0.0284,0.987,0.015,0.4559,0.46
batter_total_bases,iso,66232,0.67257,0.23931,0.0252,0.885,-0.022,0.4613,0.46
batter_total_bases,ENSEMBLE(price+gbm+iso),66232,0.67011,0.23867,0.0287,1.017,0.013,0.4575,0.46
batter_home_runs,price,41686,0.3568,0.10345,0.0282,0.994,0.068,0.1121,0.1201
batter_home_runs,compact,41686,0.35665,0.10346,0.0286,0.938,-0.056,0.1134,0.1201
batter_home_runs,box,41686,0.35685,0.10347,0.0281,0.895,-0.163,0.1159,0.1201
batter_home_runs,gbm,41686,0.3572,0.10355,0.0271,0.947,-0.057,0.1153,0.1201
batter_home_runs,offset,41686,0.3569,0.10348,0.0279,0.911,-0.132,0.1159,0.1201
batter_home_runs,iso,41686,0.3587,0.10379,0.023,0.779,-0.435,0.1216,0.1201
batter_home_runs,ENSEMBLE(price+gbm+iso),41686,0.35638,0.10338,0.0293,0.99,0.018,0.1163,0.1201
pitcher_strikeouts,price,14554,0.63176,0.22053,0.0886,1.029,0.064,0.4878,0.5016
pitcher_strikeouts,compact,14554,0.63196,0.2206,0.0883,1.007,0.055,0.4895,0.5016
pitcher_strikeouts,box,14554,0.63831,0.2225,0.0791,0.903,-0.012,0.5046,0.5016
pitcher_strikeouts,gbm,14554,0.6379,0.22323,0.0797,0.935,0.033,0.4939,0.5016
pitcher_strikeouts,offset,14554,0.63815,0.22252,0.0793,0.902,-0.013,0.5048,0.5016
pitcher_strikeouts,iso,14554,0.64361,0.22395,0.0715,0.89,0.038,0.4923,0.5016
pitcher_strikeouts,ENSEMBLE(price+gbm+iso),14554,0.63256,0.22086,0.0874,1.039,0.048,0.4913,0.5016
h2h,price,3360,0.67809,0.24271,0.0179,0.883,0.009,0.539,0.5369
h2h,compact,3360,0.6796,0.2434,0.0157,0.804,0.007,0.5431,0.5369
h2h,box,3360,0.68667,0.24661,0.0054,0.569,0.027,0.5512,0.5369
h2h,gbm,3360,0.68949,0.24784,0.0013,0.509,0.047,0.5472,0.5369
h2h,offset,3360,0.68669,0.24663,0.0054,0.569,0.027,0.5512,0.5369
h2h,iso,3360,0.70171,0.24787,-0.0163,0.275,0.099,0.5422,0.5369
h2h,ENSEMBLE(price+gbm+iso),3360,0.67894,0.24311,0.0166,0.812,0.007,0.5428,0.5369
batter_runs_scored,price,23257,0.65315,0.23045,0.014,1.102,0.094,0.3675,0.3767
batter_runs_scored,compact,23257,0.65326,0.23048,0.0138,1.015,0.047,0.3678,0.3767
batter_runs_scored,box,23257,0.65428,0.23096,0.0123,0.895,-0.05,0.3761,0.3767
batter_runs_scored,gbm,23257,0.6555,0.23157,0.0104,0.808,-0.074,0.3708,0.3767
batter_runs_scored,offset,23257,0.65423,0.23094,0.0123,0.895,-0.05,0.3762,0.3767
batter_runs_scored,iso,23257,0.65917,0.2323,0.0049,0.597,-0.21,0.3802,0.3767
batter_runs_scored,ENSEMBLE(price+gbm+iso),23257,0.65355,0.23063,0.0134,1.011,0.023,0.3728,0.3767
pitcher_outs,price,5002,0.68101,0.24398,0.0175,0.916,-0.038,0.5113,0.5012
pitcher_outs,compact,5002,0.68247,0.24468,0.0154,0.823,-0.029,0.5101,0.5012
pitcher_outs,box,5002,0.69338,0.24792,-0.0003,0.482,0.011,0.4972,0.5012
pitcher_outs,gbm,5002,0.68946,0.24801,0.0053,0.572,0.025,0.4917,0.5012
pitcher_outs,offset,5002,0.69192,0.2479,0.0018,0.51,0.01,0.4974,0.5012
pitcher_outs,iso,5002,0.69798,0.24789,-0.007,0.321,0.011,0.496,0.5012
pitcher_outs,ENSEMBLE(price+gbm+iso),5002,0.68125,0.24412,0.0172,0.953,0.006,0.4997,0.5012
batter_strikeouts,price,20844,0.66044,0.23393,0.0471,0.97,0.06,0.4898,0.5041
batter_strikeouts,compact,20844,0.65975,0.23359,0.0481,0.963,0.042,0.4942,0.5041
batter_strikeouts,box,20844,0.6601,0.23378,0.0476,0.931,0.02,0.4995,0.5041
batter_strikeouts,gbm,20844,0.66054,0.23396,0.047,0.994,0.036,0.4957,0.5041
batter_strikeouts,offset,20844,0.66011,0.23378,0.0476,0.931,0.02,0.4995,0.5041
batter_strikeouts,iso,20844,0.66284,0.23447,0.0437,0.889,-0.011,0.5076,0.5041
batter_strikeouts,ENSEMBLE(price+gbm+iso),20844,0.65932,0.23341,0.0488,1.001,0.027,0.4977,0.5041
