market,bucket,n,predicted,realised,gap
batter_hits,1,7065,0.2022,0.2055,0.0034
batter_hits,2,7064,0.2933,0.2939,0.0006
batter_hits,3,7065,0.4258,0.4147,-0.0111
batter_hits,4,7064,0.5122,0.5136,0.0014
batter_hits,5,7065,0.5455,0.5435,-0.0019
batter_hits,6,7064,0.5736,0.5665,-0.0071
batter_hits,7,7065,0.5992,0.6075,0.0083
batter_hits,8,7064,0.6199,0.6335,0.0136
batter_hits,9,7065,0.6403,0.6481,0.0078
batter_hits,10,7065,0.6745,0.6723,-0.0022
batter_rbis,1,5392,0.1945,0.1864,-0.0081
batter_rbis,2,5392,0.2326,0.2298,-0.0028
batter_rbis,3,5392,0.2527,0.2515,-0.0012
batter_rbis,4,5392,0.2681,0.2678,-0.0003
batter_rbis,5,5392,0.2815,0.2915,0.01
batter_rbis,6,5392,0.2945,0.3034,0.0089
batter_rbis,7,5392,0.3095,0.3075,-0.0021
batter_rbis,8,5392,0.3258,0.3348,0.0089
batter_rbis,9,5392,0.3453,0.3394,-0.0059
batter_rbis,10,5392,0.3854,0.3791,-0.0063
totals,1,468,0.42,0.4765,0.0565
totals,2,468,0.4542,0.5171,0.0629
totals,3,468,0.4689,0.4893,0.0205
totals,4,468,0.4804,0.4915,0.011
totals,5,468,0.4907,0.5043,0.0136
totals,6,468,0.5004,0.4872,-0.0133
totals,7,468,0.5107,0.5171,0.0064
totals,8,468,0.5223,0.4915,-0.0309
totals,9,468,0.5386,0.4658,-0.0728
totals,10,468,0.5771,0.4979,-0.0792
spreads,1,424,0.3069,0.3325,0.0257
spreads,2,424,0.3498,0.375,0.0252
spreads,3,424,0.3742,0.3797,0.0055
spreads,4,424,0.4068,0.3656,-0.0412
spreads,5,424,0.4549,0.4269,-0.028
spreads,6,424,0.5141,0.5094,-0.0047
spreads,7,424,0.5584,0.5684,0.01
spreads,8,424,0.5959,0.6038,0.0079
spreads,9,424,0.6318,0.6604,0.0286
spreads,10,424,0.6864,0.6415,-0.0449
batter_total_bases,1,6624,0.301,0.3015,0.0005
batter_total_bases,2,6623,0.3547,0.3591,0.0043
batter_total_bases,3,6623,0.3785,0.3874,0.009
batter_total_bases,4,6623,0.4004,0.3947,-0.0057
batter_total_bases,5,6623,0.4284,0.4258,-0.0026
batter_total_bases,6,6623,0.4723,0.4644,-0.0078
batter_total_bases,7,6623,0.5166,0.5266,0.0101
batter_total_bases,8,6623,0.5459,0.5501,0.0042
batter_total_bases,9,6623,0.5716,0.5701,-0.0014
batter_total_bases,10,6624,0.606,0.6203,0.0143
batter_home_runs,1,4169,0.0486,0.0475,-0.0011
batter_home_runs,2,4168,0.0678,0.0717,0.0039
batter_home_runs,3,4169,0.0806,0.0792,-0.0014
batter_home_runs,4,4168,0.0928,0.0991,0.0063
batter_home_runs,5,4169,0.1063,0.1127,0.0064
batter_home_runs,6,4168,0.1191,0.1303,0.0112
batter_home_runs,7,4169,0.1308,0.1394,0.0086
batter_home_runs,8,4168,0.1436,0.143,-0.0006
batter_home_runs,9,4169,0.1624,0.1653,0.0029
batter_home_runs,10,4169,0.2113,0.213,0.0017
pitcher_strikeouts,1,1456,0.2348,0.2431,0.0084
pitcher_strikeouts,2,1455,0.2939,0.2962,0.0023
pitcher_strikeouts,3,1455,0.349,0.3553,0.0063
pitcher_strikeouts,4,1456,0.4067,0.4066,-0.0001
pitcher_strikeouts,5,1455,0.4584,0.4735,0.0151
pitcher_strikeouts,6,1455,0.515,0.5155,0.0004
pitcher_strikeouts,7,1456,0.5746,0.5845,0.0099
pitcher_strikeouts,8,1455,0.6352,0.6564,0.0212
pitcher_strikeouts,9,1455,0.693,0.7196,0.0266
pitcher_strikeouts,10,1456,0.7526,0.7651,0.0126
h2h,1,336,0.3768,0.3869,0.0101
h2h,2,336,0.456,0.494,0.038
h2h,3,336,0.4901,0.5,0.0099
h2h,4,336,0.5144,0.5268,0.0124
h2h,5,336,0.5334,0.506,-0.0275
h2h,6,336,0.5512,0.5327,-0.0185
h2h,7,336,0.5697,0.5893,0.0196
h2h,8,336,0.5919,0.5417,-0.0503
h2h,9,336,0.6278,0.6042,-0.0236
