market,n,signal,beta,se,zstat
batter_hits,94209,empP,0.2087,0.0273,7.66
batter_hits,94209,parP,0.1404,0.0163,8.6
batter_hits,94209,parPAdj,0.1336,0.0159,8.38
batter_hits,94209,clrEdge25,0.0514,0.0068,7.53
batter_hits,94209,clrEdge100,0.0609,0.0068,8.93
batter_hits,94209,oppAllowRel,0.0018,0.0069,0.25
batter_hits,94209,parPPark,0.1325,0.0156,8.49
batter_hits,94209,parPNb,0.1288,0.015,8.61
batter_hits,94209,parPW,0.1325,0.0156,8.49
batter_hits,94209,parkRunRel,0.007,0.0068,1.03
batter_hits,94209,parkHrRel,-0.0023,0.0068,-0.34
batter_hits,94209,oppBpKPerBf,0.0025,0.007,0.35
batter_hits,94209,oppBpRunPerOut,-0.0028,0.0069,-0.41
batter_hits,94209,teamBpOutsPerGame,0.0061,0.0069,0.88
batter_hits,94209,oppObp25,0.0015,0.0069,0.21
batter_total_bases,88372,empP,0.1279,0.0175,7.31
batter_total_bases,88372,parP,0.087,0.012,7.25
batter_total_bases,88372,parPAdj,0.0853,0.0118,7.24
batter_total_bases,88372,clrEdge25,0.0508,0.0069,7.37
batter_total_bases,88372,clrEdge100,0.0521,0.0069,7.54
batter_total_bases,88372,oppAllowRel,0.0052,0.0069,0.76
batter_total_bases,88372,parPPark,0.0881,0.0117,7.56
batter_total_bases,88372,parPNb,0.0882,0.0115,7.68
batter_total_bases,88372,parPW,0.0881,0.0117,7.56
batter_total_bases,88372,parkRunRel,0.0095,0.0069,1.38
batter_total_bases,88372,parkHrRel,0.0005,0.0069,0.07
batter_total_bases,88372,oppBpKPerBf,0.009,0.007,1.29
batter_total_bases,88372,oppBpRunPerOut,-0.0046,0.0069,-0.66
batter_total_bases,88372,teamBpOutsPerGame,0.0124,0.0069,1.79
batter_total_bases,88372,oppObp25,-0.0115,0.0069,-1.65
batter_home_runs,57013,empP,0.1006,0.025,4.02
batter_home_runs,57013,parP,0.1,0.0161,6.19
batter_home_runs,57013,parPAdj,0.0876,0.0152,5.78
batter_home_runs,57013,clrEdge25,0.063,0.0124,5.08
batter_home_runs,57013,clrEdge100,0.0619,0.0125,4.96
batter_home_runs,57013,oppAllowRel,0.0105,0.0132,0.8
batter_home_runs,57013,parPPark,0.0854,0.015,5.71
batter_home_runs,57013,parPNb,0.0851,0.0149,5.7
batter_home_runs,57013,parPW,0.0854,0.015,5.71
batter_home_runs,57013,parkRunRel,0.0058,0.013,0.44
batter_home_runs,57013,parkHrRel,0.0184,0.0132,1.4
batter_home_runs,57013,oppBpKPerBf,0.0182,0.0133,1.37
batter_home_runs,57013,oppBpRunPerOut,-0.0238,0.0133,-1.79
batter_home_runs,57013,teamBpOutsPerGame,0.014,0.0132,1.06
batter_home_runs,57013,oppObp25,-0.0247,0.0132,-1.87
batter_rbis,71864,empP,0.0802,0.0138,5.79
batter_rbis,71864,parP,0.0906,0.0096,9.49
batter_rbis,71864,parPAdj,0.095,0.0096,9.89
batter_rbis,71864,clrEdge25,0.052,0.0082,6.3
batter_rbis,71864,clrEdge100,0.0665,0.0083,7.96
batter_rbis,71864,oppAllowRel,0.0201,0.0084,2.4
batter_rbis,71864,parPPark,0.0965,0.0097,9.99
batter_rbis,71864,parPNb,0.0956,0.0097,9.88
batter_rbis,71864,parPW,0.0965,0.0097,9.99
batter_rbis,71864,parkRunRel,0.0145,0.0084,1.73
batter_rbis,71864,parkHrRel,0.005,0.0083,0.61
batter_rbis,71864,oppBpKPerBf,-0.0021,0.0084,-0.25
batter_rbis,71864,oppBpRunPerOut,0.0066,0.0083,0.79
batter_rbis,71864,teamBpOutsPerGame,0.0049,0.0084,0.58
batter_rbis,71864,oppObp25,-0.0276,0.0083,-3.32
batter_runs_scored,31012,empP,0.0244,0.0227,1.08
batter_runs_scored,31012,parP,0.0414,0.014,2.96
batter_runs_scored,31012,parPAdj,0.0392,0.014,2.8
batter_runs_scored,31012,clrEdge25,0.0124,0.0118,1.05
batter_runs_scored,31012,clrEdge100,0.0136,0.0119,1.14
batter_runs_scored,31012,oppAllowRel,0.002,0.012,0.16
batter_runs_scored,31012,parPPark,0.0422,0.014,3.02
batter_runs_scored,31012,parPNb,0.0423,0.014,3.02
batter_runs_scored,31012,parPW,0.0422,0.014,3.02
batter_runs_scored,31012,parkRunRel,0.0189,0.0119,1.59
batter_runs_scored,31012,parkHrRel,-0.0165,0.0119,-1.39
batter_runs_scored,31012,oppBpKPerBf,0.009,0.0121,0.75
batter_runs_scored,31012,oppBpRunPerOut,-0.004,0.012,-0.33
batter_runs_scored,31012,teamBpOutsPerGame,0.0235,0.012,1.97
batter_runs_scored,31012,oppObp25,-0.0079,0.0119,-0.67
batter_strikeouts,27835,empP,0.1852,0.0397,4.67
batter_strikeouts,27835,parP,0.137,0.0208,6.58
