market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,both,94209,-9.68,-11.32,1429,12.65,8.11,180.8,PASS,1510,11.39,PASS,599,9.39,2025-05-19,830,63.98,15.0,8.72,8.55,124.5,535,PASS,graded n=830 >= 500 and ROI 15.00% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,both,71864,-12.86,-0.74,1712,6.89,3.24,117.9,PASS,1805,6.29,PASS,1118,8.89,2025-06-18,594,63.8,3.13,-3.24,-3.08,18.6,391,PASS,graded n=594 >= 500 and ROI 3.13% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,under,6259,-5.71,-100.0,513,4.68,-3.97,24.0,PASS,734,2.43,PASS,277,4.03,2025-06-08,236,53.81,5.46,-7.02,-7.02,12.9,236,FAIL,graded n=236 < 500 and ROI CI lower bound -7.02% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,plus,5685,-2.64,0.44,1607,1.49,-2.61,23.9,PASS,1930,2.4,PASS,753,3.65,2025-06-10,854,61.36,-0.42,-5.86,-5.86,-3.6,854,FAIL,graded n=854 >= 500 but ROI -0.42% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,88372,-11.06,1.7,3285,3.9,1.07,128.2,PASS,3496,3.74,PASS,1878,1.6,2025-06-15,1407,63.18,6.98,2.43,2.05,98.1,672,PASS,graded n=1407 >= 500 and ROI 6.98% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,gbm,0.04,60,maxEv,ev_filtered,both,57013,-16.07,0.0,28,-16.17,-44.42,-4.5,FAIL,31,-19.36,FAIL,14,-0.25,2025-05-11,14,42.86,-32.1,-76.71,-76.71,-4.5,14,FAIL,graded n=14 < 500 and ROI CI lower bound -76.71% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,gbm,0.04,60,maxEv,ev_filtered,over,19447,-4.94,0.0,949,0.02,-5.37,0.2,PASS,1149,0.67,PASS,449,1.06,2025-06-30,500,59.0,-0.92,-8.58,-8.37,-4.6,425,FAIL,graded n=500 >= 500 but ROI -0.92% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,both,4504,-0.16,-6.16,1241,-0.04,-4.87,-0.5,FAIL,1384,0.9,PASS,695,0.89,2025-06-14,546,58.24,-1.22,-8.04,-8.04,-6.7,546,FAIL,graded n=546 >= 500 but ROI -1.22% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,gbm,0.04,60,maxEv,ev_filtered,both,31012,-11.52,2.33,4202,1.56,-0.96,65.7,PASS,4542,1.16,PASS,2470,2.89,2024-06-28,1732,60.51,-0.34,-4.14,-5.0,-5.8,422,FAIL,graded n=1732 >= 500 but ROI -0.34% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,gbm,0.04,60,maxEv,ev_filtered,over,6686,-3.44,-0.57,599,2.12,-4.87,12.7,PASS,638,2.26,PASS,335,3.33,2025-07-07,264,58.71,0.58,-9.48,-9.79,1.5,238,FAIL,graded n=264 < 500 and ROI CI lower bound -9.48% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,27835,-12.13,-0.39,1417,7.4,3.13,104.9,PASS,1472,7.39,PASS,785,10.9,2024-06-19,632,62.18,3.05,-3.56,-2.79,19.3,337,PASS,graded n=632 >= 500 and ROI 3.05% > 0%
