innerCut,rule,market,spec,tau,minConf,collapse,side,n,roi,units
0.5,baseline,batter_hits,compact+gbm+iso,0.02,0,mostBooks,under,6003,3.37,202.3
0.5,baseline,batter_rbis,compact+gbm+iso,0.02,0,mostBooks,under,444,2.12,9.4
0.5,baseline,totals,compact+gbm+iso,0.02,0,mostBooks,over,324,-13.0,-42.1
0.5,baseline,spreads,compact+gbm+iso,0.02,0,mostBooks,plus,445,6.14,27.3
0.5,baseline,batter_total_bases,compact+gbm+iso,0.02,0,mostBooks,under,4748,4.25,201.7
0.5,baseline,batter_home_runs,compact+gbm+iso,0.02,0,mostBooks,over,677,-15.88,-107.5
0.5,baseline,pitcher_strikeouts,compact+gbm+iso,0.02,0,mostBooks,both,840,-0.87,-7.3
0.5,baseline,h2h,compact+gbm+iso,0.02,0,mostBooks,under,167,-7.05,-11.8
0.5,baseline,batter_runs_scored,compact+gbm+iso,0.02,0,mostBooks,under,1864,3.54,66.0
0.5,baseline,pitcher_outs,compact+gbm+iso,0.02,0,mostBooks,both,539,-0.53,-2.9
0.5,baseline,batter_strikeouts,compact+gbm+iso,0.02,0,mostBooks,both,1491,5.46,81.5
0.5,baseline+gameEV,batter_hits,compact+gbm+iso,0.02,0,mostBooks,under,6003,3.37,202.3
0.5,baseline+gameEV,batter_rbis,compact+gbm+iso,0.02,0,mostBooks,under,444,2.12,9.4
0.5,baseline+gameEV,totals,compact+gbm+iso,0.02,0,mostBooks,over,190,-9.05,-17.2
0.5,baseline+gameEV,spreads,compact+gbm+iso,0.02,0,mostBooks,under,147,-3.26,-4.8
0.5,baseline+gameEV,batter_total_bases,compact+gbm+iso,0.02,0,mostBooks,under,4748,4.25,201.7
0.5,baseline+gameEV,batter_home_runs,compact+gbm+iso,0.02,0,mostBooks,over,677,-15.88,-107.5
0.5,baseline+gameEV,pitcher_strikeouts,compact+gbm+iso,0.02,0,mostBooks,both,840,-0.87,-7.3
0.5,baseline+gameEV,h2h,compact+gbm+iso,0.02,0,mostBooks,under,102,-10.01,-10.2
0.5,baseline+gameEV,batter_runs_scored,compact+gbm+iso,0.02,0,mostBooks,under,1864,3.54,66.0
0.5,baseline+gameEV,pitcher_outs,compact+gbm+iso,0.02,0,mostBooks,both,539,-0.53,-2.9
0.5,baseline+gameEV,batter_strikeouts,compact+gbm+iso,0.02,0,mostBooks,both,1491,5.46,81.5
0.5,baseline@conf60,batter_hits,gbm,0.0,60,maxEv,under,253,14.28,36.1
0.5,baseline@conf60,batter_rbis,gbm,0.0,60,maxEv,both,861,5.15,44.4
0.5,baseline@conf60,totals,gbm,0.0,60,maxEv,both,261,-5.47,-14.3
0.5,baseline@conf60,spreads,gbm,0.0,60,maxEv,both,437,3.24,14.2
0.5,baseline@conf60,batter_total_bases,gbm,0.0,60,maxEv,under,1725,3.34,57.6
0.5,baseline@conf60,batter_home_runs,gbm,0.0,60,maxEv,both,2,-23.68,-0.5
0.5,baseline@conf60,pitcher_strikeouts,gbm,0.0,60,maxEv,both,571,-1.59,-9.1
0.5,baseline@conf60,h2h,gbm,0.0,60,maxEv,both,344,2.41,8.3
0.5,baseline@conf60,batter_runs_scored,gbm,0.0,60,maxEv,both,1734,2.73,47.3
0.5,baseline@conf60,pitcher_outs,gbm,0.0,60,maxEv,under,253,-7.55,-19.1
0.5,baseline@conf60,batter_strikeouts,gbm,0.0,60,maxEv,under,465,6.8,31.6
0.5,v2,batter_hits,price+compact,0.03,0,mostBooks,both,3696,4.07,150.3
0.5,v2,batter_rbis,price+compact,0.03,0,mostBooks,both,159,-16.83,-26.8
0.5,v2,totals,price+compact,0.03,0,mostBooks,both,276,5.88,16.2
0.5,v2,spreads,price+compact,0.03,0,mostBooks,both,187,14.78,27.6
