innerCut,rule,market,spec,tau,minConf,collapse,side,n,roi,units
0.5,v2,batter_hits,price+compact,0.03,0,mostBooks,both,3696,4.07,150.3
0.5,v2,batter_rbis,price+compact,0.03,0,mostBooks,both,159,-16.83,-26.8
0.5,v2,totals,price+compact,0.03,0,mostBooks,both,276,5.88,16.2
0.5,v2,spreads,price+compact,0.03,0,mostBooks,both,187,14.78,27.6
0.5,v2,batter_total_bases,price+compact,0.03,0,mostBooks,both,2303,5.01,115.3
0.5,v2,batter_home_runs,price+compact,0.03,0,mostBooks,both,169,-15.68,-26.5
0.5,v2,pitcher_strikeouts,price+compact,0.03,0,mostBooks,both,171,5.02,8.6
0.5,v2,h2h,price+compact,0.03,0,mostBooks,both,212,0.74,1.6
0.5,v2,batter_runs_scored,price+compact,0.03,0,mostBooks,both,1117,-0.08,-0.9
0.5,v2,pitcher_outs,price+compact,0.03,0,mostBooks,both,232,-4.05,-9.4
0.5,v2,batter_strikeouts,price+compact,0.03,0,mostBooks,both,1130,2.54,28.6
0.5,baseline,batter_hits,price+gbm+iso,0.02,55,maxEv,under,382,9.3,35.5
0.5,baseline,batter_rbis,price+gbm+iso,0.02,55,maxEv,under,408,2.13,8.7
0.5,baseline,totals,price+gbm+iso,0.02,55,maxEv,both,226,3.92,8.9
0.5,baseline,spreads,price+gbm+iso,0.02,55,maxEv,plus,403,8.71,35.1
0.5,baseline,batter_total_bases,price+gbm+iso,0.02,55,maxEv,under,1476,3.94,58.2
0.5,baseline,batter_home_runs,price+gbm+iso,0.02,55,maxEv,both,1,52.63,0.5
0.5,baseline,pitcher_strikeouts,price+gbm+iso,0.02,55,maxEv,both,315,1.42,4.5
0.5,baseline,h2h,price+gbm+iso,0.02,55,maxEv,both,429,0.92,3.9
0.5,baseline,batter_runs_scored,price+gbm+iso,0.02,55,maxEv,under,1666,4.41,73.5
0.5,baseline,pitcher_outs,price+gbm+iso,0.02,55,maxEv,both,294,5.55,16.3
0.5,baseline,batter_strikeouts,price+gbm+iso,0.02,55,maxEv,both,401,7.06,28.3
0.6,v2,batter_hits,compact+gbm+iso,0.04,45,maxEv,both,2116,5.47,115.8
0.6,v2,batter_rbis,compact+gbm+iso,0.04,45,maxEv,both,227,11.42,25.9
0.6,v2,totals,compact+gbm+iso,0.04,45,maxEv,both,302,7.44,22.5
0.6,v2,spreads,compact+gbm+iso,0.04,45,maxEv,both,348,0.87,3.0
0.6,v2,batter_total_bases,compact+gbm+iso,0.04,45,maxEv,both,1958,6.45,126.3
0.6,v2,batter_home_runs,compact+gbm+iso,0.04,45,maxEv,both,7,133.52,9.3
0.6,v2,pitcher_strikeouts,compact+gbm+iso,0.04,45,maxEv,both,389,-12.62,-49.1
0.6,v2,h2h,compact+gbm+iso,0.04,45,maxEv,both,350,7.02,24.6
0.6,v2,batter_runs_scored,compact+gbm+iso,0.04,45,maxEv,both,955,4.18,40.0
0.6,v2,pitcher_outs,compact+gbm+iso,0.04,45,maxEv,both,302,-1.48,-4.5
0.6,v2,batter_strikeouts,compact+gbm+iso,0.04,45,maxEv,both,351,10.39,36.5
0.6,baseline,batter_hits,price+gbm+iso,0.02,55,maxEv,both,344,10.82,37.2
0.6,baseline,batter_rbis,price+gbm+iso,0.02,55,maxEv,under,328,5.35,17.6
0.6,baseline,totals,price+gbm+iso,0.02,55,maxEv,both,183,10.51,19.2
0.6,baseline,spreads,price+gbm+iso,0.02,55,maxEv,over,288,-0.12,-0.3
0.6,baseline,batter_total_bases,price+gbm+iso,0.02,55,maxEv,under,1227,4.65,57.0
0.6,baseline,batter_home_runs,price+gbm+iso,0.02,55,maxEv,both,1,52.63,0.5
0.6,baseline,pitcher_strikeouts,price+gbm+iso,0.02,55,maxEv,both,239,-3.47,-8.3
0.6,baseline,h2h,price+gbm+iso,0.02,55,maxEv,both,320,-1.01,-3.2
0.6,baseline,batter_runs_scored,price+gbm+iso,0.02,55,maxEv,under,1279,4.82,61.7
0.6,baseline,pitcher_outs,price+gbm+iso,0.02,55,maxEv,under,93,-3.29,-3.1
0.6,baseline,batter_strikeouts,price+gbm+iso,0.02,55,maxEv,both,292,15.06,44.0
0.7,v2,batter_hits,price+compact+priceflex,0.03,0,mostBooks,both,2636,2.4,63.1
0.7,v2,batter_rbis,price+compact+priceflex,0.03,0,mostBooks,both,121,-7.97,-9.6
0.7,v2,totals,price+compact+priceflex,0.03,0,mostBooks,both,111,1.87,2.1
0.7,v2,spreads,price+compact+priceflex,0.03,0,mostBooks,both,69,2.71,1.9
0.7,v2,batter_total_bases,price+compact+priceflex,0.03,0,mostBooks,both,724,2.85,20.6
0.7,v2,batter_home_runs,price+compact+priceflex,0.03,0,mostBooks,both,66,14.24,9.4
0.7,v2,pitcher_strikeouts,price+compact+priceflex,0.03,0,mostBooks,both,27,7.33,2.0
0.7,v2,h2h,price+compact+priceflex,0.03,0,mostBooks,both,103,12.49,12.9
0.7,v2,batter_runs_scored,price+compact+priceflex,0.03,0,mostBooks,both,526,-1.52,-8.0
0.7,v2,pitcher_outs,price+compact+priceflex,0.03,0,mostBooks,both,143,-0.25,-0.4
0.7,v2,batter_strikeouts,price+compact+priceflex,0.03,0,mostBooks,both,538,7.88,42.4
0.7,baseline,batter_hits,price+gbm+iso,0.02,55,maxEv,both,315,11.27,35.5
0.7,baseline,batter_rbis,price+gbm+iso,0.02,55,maxEv,both,281,7.01,19.7
