market,board,conf60,juice,breakeven,shippedOk,parity,rejected
batter_hits,1429,0,0,0,1429,ev_filtered,0
batter_rbis,1712,0,0,0,1712,ev_filtered,0
totals,513,0,0,0,513,ev_pass,0
spreads,1607,0,0,0,1607,ev_pass,0
batter_total_bases,3285,0,0,0,3285,ev_filtered,0
batter_home_runs,28,0,0,0,28,ev_filtered,0
pitcher_strikeouts,949,0,0,0,949,ev_filtered,0
h2h,1241,0,0,0,1241,ev_pass,0
batter_runs_scored,4202,0,0,0,4202,ev_filtered,0
pitcher_outs,599,0,0,0,599,ev_filtered,0
batter_strikeouts,1417,0,0,0,1417,ev_filtered,0
