arm,innerCut,market,spec,nMembers,tau,collapse,side,aN,aUnits,aPass,bN,bRoi,bUnits
off,0.5,batter_hits,price,1,0.0,maxEv,both,168,14.93,0,87,0.722,0.63
off,0.6,batter_hits,price,1,0.0,maxEv,both,193,5.32,0,62,16.505,10.23
off,0.7,batter_hits,price,1,0.0,maxEv,both,206,8.03,0,49,15.349,7.52
off,0.5,batter_hits,price,1,0.01,maxEv,both,46,-0.09,0,28,-7.401,-2.07
off,0.6,batter_hits,price,1,0.01,maxEv,both,53,-2.39,0,21,1.088,0.23
off,0.7,batter_hits,price,1,0.01,maxEv,both,57,-3.2,0,17,6.095,1.04
off,0.5,batter_hits,price,1,0.02,maxEv,both,12,0.8,0,17,-16.018,-2.72
off,0.6,batter_hits,price,1,0.02,maxEv,both,15,0.86,0,14,-19.895,-2.79
off,0.7,batter_hits,price,1,0.02,maxEv,both,17,0.37,0,12,-19.065,-2.29
off,0.5,batter_hits,price,1,0.04,maxEv,both,2,-0.46,0,5,-69.189,-3.46
off,0.6,batter_hits,price,1,0.04,maxEv,both,2,-0.46,0,5,-69.189,-3.46
off,0.7,batter_hits,price,1,0.04,maxEv,both,3,-1.46,0,4,-61.486,-2.46
off,0.5,batter_hits,price,1,0.0,mostBooks,both,168,14.82,0,87,0.722,0.63
off,0.6,batter_hits,price,1,0.0,mostBooks,both,193,5.21,0,62,16.505,10.23
off,0.7,batter_hits,price,1,0.0,mostBooks,both,206,7.92,0,49,15.349,7.52
off,0.5,batter_hits,price,1,0.01,mostBooks,both,46,-0.09,0,28,-7.401,-2.07
off,0.6,batter_hits,price,1,0.01,mostBooks,both,53,-2.39,0,21,1.088,0.23
off,0.7,batter_hits,price,1,0.01,mostBooks,both,57,-3.2,0,17,6.095,1.04
off,0.5,batter_hits,price,1,0.02,mostBooks,both,12,0.8,0,17,-16.018,-2.72
off,0.6,batter_hits,price,1,0.02,mostBooks,both,15,0.86,0,14,-19.895,-2.79
off,0.7,batter_hits,price,1,0.02,mostBooks,both,17,0.37,0,12,-19.065,-2.29
off,0.5,batter_hits,price,1,0.04,mostBooks,both,2,-0.46,0,5,-69.189,-3.46
off,0.6,batter_hits,price,1,0.04,mostBooks,both,2,-0.46,0,5,-69.189,-3.46
off,0.7,batter_hits,price,1,0.04,mostBooks,both,3,-1.46,0,4,-61.486,-2.46
on,0.5,batter_hits,price,1,0.0,maxEv,both,168,14.93,0,87,0.722,0.63
on,0.6,batter_hits,price,1,0.0,maxEv,both,193,5.32,0,62,16.505,10.23
on,0.7,batter_hits,price,1,0.0,maxEv,both,206,8.03,0,49,15.349,7.52
on,0.5,batter_hits,price,1,0.01,maxEv,both,46,-0.09,0,28,-7.401,-2.07
on,0.6,batter_hits,price,1,0.01,maxEv,both,53,-2.39,0,21,1.088,0.23
on,0.7,batter_hits,price,1,0.01,maxEv,both,57,-3.2,0,17,6.095,1.04
on,0.5,batter_hits,price,1,0.02,maxEv,both,12,0.8,0,17,-16.018,-2.72
on,0.6,batter_hits,price,1,0.02,maxEv,both,15,0.86,0,14,-19.895,-2.79
