market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",94209,49.57,-9.68,-10.35,-10.5,-9118.9,3940,FAIL,graded n=94209 >= 500 but ROI -9.68% <= 0%
batter_hits,price-only (full OOS),342,59.94,4.6,-4.21,-4.94,15.7,289,FAIL,graded n=342 < 500 and ROI CI lower bound -4.21% <= 0%
batter_hits,board (full OOS),1494,58.63,3.66,-0.61,-0.79,54.7,1040,PASS,graded n=1494 >= 500 and ROI 3.66% > 0%
batter_hits,all-lines (full OOS),1550,58.45,3.24,-1.06,-1.15,50.2,1040,PASS,graded n=1550 >= 500 and ROI 3.24% > 0%
batter_hits,board SELECT half,580,56.72,0.3,-7.08,-7.0,1.8,418,PASS,graded n=580 >= 500 and ROI 0.30% > 0%
batter_hits,board VERDICT half,914,59.85,5.79,0.17,-0.17,53.0,622,PASS,graded n=914 >= 500 and ROI 5.79% > 0%
batter_rbis,"base (every candidate, flat)",71864,28.87,-12.86,-13.91,-14.04,-9239.7,3939,FAIL,graded n=71864 >= 500 but ROI -12.86% <= 0%
batter_rbis,price-only (full OOS),1805,59.72,-3.03,-6.57,-6.87,-54.7,906,FAIL,graded n=1805 >= 500 but ROI -3.03% <= 0%
batter_rbis,board (full OOS),2137,61.86,0.83,-2.43,-2.77,17.7,1101,PASS,graded n=2137 >= 500 and ROI 0.83% > 0%
batter_rbis,all-lines (full OOS),2267,61.67,0.56,-2.46,-3.15,12.7,1101,PASS,graded n=2267 >= 500 and ROI 0.56% > 0%
batter_rbis,board SELECT half,1305,61.76,1.08,-3.16,-4.1,14.1,633,PASS,graded n=1305 >= 500 and ROI 1.08% > 0%
batter_rbis,board VERDICT half,832,62.02,0.43,-5.08,-4.96,3.5,468,PASS,graded n=832 >= 500 and ROI 0.43% > 0%
totals,"base (every candidate, flat)",6259,48.59,-5.71,-8.2,-8.62,-357.6,3865,FAIL,graded n=6259 >= 500 but ROI -5.71% <= 0%
totals,price-only (full OOS),198,48.48,-9.97,-22.86,-22.86,-19.7,198,FAIL,graded n=198 < 500 and ROI CI lower bound -22.86% <= 0%
totals,board (full OOS),1317,51.48,-1.2,-6.06,-6.06,-15.8,1317,FAIL,graded n=1317 >= 500 but ROI -1.20% <= 0%
totals,all-lines (full OOS),1712,50.7,-2.9,-7.38,-8.02,-49.7,1317,FAIL,graded n=1712 >= 500 but ROI -2.90% <= 0%
totals,board SELECT half,805,52.55,0.94,-5.6,-5.6,7.6,805,PASS,graded n=805 >= 500 and ROI 0.94% > 0%
totals,board VERDICT half,512,49.8,-4.58,-12.72,-12.72,-23.4,512,FAIL,graded n=512 >= 500 but ROI -4.58% <= 0%
spreads,"base (every candidate, flat)",5685,48.57,-2.64,-5.47,-5.67,-150.2,3941,FAIL,graded n=5685 >= 500 but ROI -2.64% <= 0%
spreads,price-only (full OOS),1326,63.27,2.85,-1.51,-1.51,37.8,1326,PASS,graded n=1326 >= 500 and ROI 2.85% > 0%
spreads,board (full OOS),1224,62.66,3.76,-0.82,-0.82,46.0,1224,PASS,graded n=1224 >= 500 and ROI 3.76% > 0%
spreads,all-lines (full OOS),1342,62.44,3.29,-0.86,-0.94,44.2,1224,PASS,graded n=1342 >= 500 and ROI 3.29% > 0%
spreads,board SELECT half,560,63.75,6.6,-0.03,-0.03,37.0,560,PASS,graded n=560 >= 500 and ROI 6.60% > 0%
spreads,board VERDICT half,664,61.75,1.37,-4.62,-4.62,9.1,664,PASS,graded n=664 >= 500 and ROI 1.37% > 0%
batter_total_bases,"base (every candidate, flat)",88372,45.0,-11.06,-11.73,-11.87,-9774.5,3940,FAIL,graded n=88372 >= 500 but ROI -11.06% <= 0%
batter_total_bases,price-only (full OOS),4623,59.2,1.63,-0.81,-0.85,75.5,2014,PASS,graded n=4623 >= 500 and ROI 1.63% > 0%
batter_total_bases,board (full OOS),6526,60.19,2.33,0.24,0.25,151.9,2197,PASS,graded n=6526 >= 500 and ROI 2.33% > 0%
batter_total_bases,all-lines (full OOS),6794,60.23,2.35,0.36,0.29,159.3,2197,PASS,graded n=6794 >= 500 and ROI 2.35% > 0%
batter_total_bases,board SELECT half,2828,60.01,1.42,-1.68,-1.83,40.1,986,PASS,graded n=2828 >= 500 and ROI 1.42% > 0%
batter_total_bases,board VERDICT half,3698,60.33,3.02,0.35,0.08,111.8,1212,PASS,graded n=3698 >= 500 and ROI 3.02% > 0%
batter_home_runs,"base (every candidate, flat)",57013,11.61,-16.07,-17.97,-18.1,-9162.9,3219,FAIL,graded n=57013 >= 500 but ROI -16.07% <= 0%
batter_home_runs,price-only (full OOS),6,66.67,3.87,-49.35,-49.35,0.2,6,FAIL,graded n=6 < 500 and ROI CI lower bound -49.35% <= 0%
batter_home_runs,board (full OOS),28,50.0,-21.8,-50.35,-50.35,-6.1,28,FAIL,graded n=28 < 500 and ROI CI lower bound -50.35% <= 0%
batter_home_runs,all-lines (full OOS),31,48.39,-24.29,-49.82,-49.82,-7.5,28,FAIL,graded n=31 < 500 and ROI CI lower bound -49.82% <= 0%
batter_home_runs,board SELECT half,14,64.29,-0.6,-34.97,-34.97,-0.1,14,FAIL,graded n=14 < 500 and ROI CI lower bound -34.97% <= 0%
batter_home_runs,board VERDICT half,14,35.71,-43.0,-77.87,-77.87,-6.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -77.87% <= 0%
pitcher_strikeouts,"base (every candidate, flat)",19447,49.11,-4.94,-6.42,-7.16,-961.6,3415,FAIL,graded n=19447 >= 500 but ROI -4.94% <= 0%
pitcher_strikeouts,price-only (full OOS),13,46.15,-15.03,-58.31,-58.31,-2.0,13,FAIL,graded n=13 < 500 and ROI CI lower bound -58.31% <= 0%
pitcher_strikeouts,board (full OOS),469,50.32,-7.74,-16.59,-16.52,-36.3,401,FAIL,graded n=469 < 500 and ROI CI lower bound -16.59% <= 0%
pitcher_strikeouts,all-lines (full OOS),512,50.2,-8.23,-16.27,-16.94,-42.2,401,FAIL,graded n=512 >= 500 but ROI -8.23% <= 0%
pitcher_strikeouts,board SELECT half,379,49.08,-8.94,-18.56,-18.29,-33.9,313,FAIL,graded n=379 < 500 and ROI CI lower bound -18.56% <= 0%
pitcher_strikeouts,board VERDICT half,90,55.56,-2.66,-21.02,-20.99,-2.4,88,FAIL,graded n=90 < 500 and ROI CI lower bound -21.02% <= 0%
h2h,"base (every candidate, flat)",4504,53.73,-0.16,-2.92,-2.92,-7.3,3941,FAIL,graded n=4504 >= 500 but ROI -0.16% <= 0%
h2h,price-only (full OOS),1401,57.32,-6.32,-10.52,-10.52,-88.6,1401,FAIL,graded n=1401 >= 500 but ROI -6.32% <= 0%
h2h,board (full OOS),1458,58.98,-0.69,-5.1,-5.1,-10.1,1458,FAIL,graded n=1458 >= 500 but ROI -0.69% <= 0%
h2h,all-lines (full OOS),1610,59.25,-0.47,-4.42,-4.42,-7.6,1458,FAIL,graded n=1610 >= 500 but ROI -0.47% <= 0%
h2h,board SELECT half,770,59.87,0.79,-5.22,-5.22,6.1,770,PASS,graded n=770 >= 500 and ROI 0.79% > 0%
h2h,board VERDICT half,688,57.99,-2.35,-8.49,-8.49,-16.2,688,FAIL,graded n=688 >= 500 but ROI -2.35% <= 0%
batter_runs_scored,"base (every candidate, flat)",31012,37.27,-11.52,-12.81,-13.28,-3573.6,1589,FAIL,graded n=31012 >= 500 but ROI -11.52% <= 0%
batter_runs_scored,price-only (full OOS),3954,57.36,-0.47,-3.13,-3.51,-18.6,942,FAIL,graded n=3954 >= 500 but ROI -0.47% <= 0%
batter_runs_scored,board (full OOS),4936,58.97,0.31,-2.06,-2.6,15.3,838,PASS,graded n=4936 >= 500 and ROI 0.31% > 0%
batter_runs_scored,all-lines (full OOS),5262,58.82,0.02,-2.22,-2.73,0.8,838,PASS,graded n=5262 >= 500 and ROI 0.02% > 0%
batter_runs_scored,board SELECT half,3491,59.44,1.39,-1.38,-1.97,48.4,510,PASS,graded n=3491 >= 500 and ROI 1.39% > 0%
batter_runs_scored,board VERDICT half,1445,57.85,-2.29,-6.65,-7.55,-33.1,328,FAIL,graded n=1445 >= 500 but ROI -2.29% <= 0%
pitcher_outs,"base (every candidate, flat)",6686,50.81,-3.44,-5.67,-6.27,-230.1,2996,FAIL,graded n=6686 >= 500 but ROI -3.44% <= 0%
pitcher_outs,price-only (full OOS),698,60.32,0.36,-5.82,-5.86,2.5,614,PASS,graded n=698 >= 500 and ROI 0.36% > 0%
pitcher_outs,board (full OOS),1200,58.92,0.28,-4.32,-4.62,3.3,1003,PASS,graded n=1200 >= 500 and ROI 0.28% > 0%
pitcher_outs,all-lines (full OOS),1244,59.24,0.92,-3.92,-3.84,11.5,1003,PASS,graded n=1244 >= 500 and ROI 0.92% > 0%
pitcher_outs,board SELECT half,768,59.11,0.86,-4.99,-5.09,6.6,621,PASS,graded n=768 >= 500 and ROI 0.86% > 0%
pitcher_outs,board VERDICT half,432,58.56,-0.75,-8.72,-8.69,-3.2,382,FAIL,graded n=432 < 500 and ROI CI lower bound -8.72% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.13,-13.21,-13.37,-3375.0,1439,FAIL,graded n=27835 >= 500 but ROI -12.13% <= 0%
batter_strikeouts,price-only (full OOS),2114,60.64,1.61,-1.9,-2.08,34.0,649,PASS,graded n=2114 >= 500 and ROI 1.61% > 0%
batter_strikeouts,board (full OOS),1829,62.77,4.32,0.75,0.38,79.0,718,PASS,graded n=1829 >= 500 and ROI 4.32% > 0%
batter_strikeouts,all-lines (full OOS),1892,63.11,4.92,1.4,1.21,93.1,718,PASS,graded n=1892 >= 500 and ROI 4.92% > 0%
batter_strikeouts,board SELECT half,1354,62.7,4.25,0.02,-0.25,57.6,482,PASS,graded n=1354 >= 500 and ROI 4.25% > 0%
batter_strikeouts,board VERDICT half,475,62.95,4.5,-2.56,-2.38,21.4,236,FAIL,graded n=475 < 500 and ROI CI lower bound -2.56% <= 0%
