market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",94209,49.57,-9.68,-10.35,-10.5,-9118.9,3940,FAIL,graded n=94209 >= 500 but ROI -9.68% <= 0%
batter_hits,price-only (full OOS),86,59.3,7.26,-11.73,-12.74,6.2,78,FAIL,graded n=86 < 500 and ROI CI lower bound -11.73% <= 0%
batter_hits,board (full OOS),2911,59.02,9.66,6.24,6.34,281.2,1636,PASS,graded n=2911 >= 500 and ROI 9.66% > 0%
batter_hits,all-lines (full OOS),3032,58.84,9.2,5.92,5.93,278.9,1636,PASS,graded n=3032 >= 500 and ROI 9.20% > 0%
batter_hits,board SELECT half,1094,58.23,6.42,0.95,0.42,70.2,649,PASS,graded n=1094 >= 500 and ROI 6.42% > 0%
batter_hits,board VERDICT half,1817,59.49,11.61,7.36,7.18,211.0,987,PASS,graded n=1817 >= 500 and ROI 11.61% > 0%
batter_rbis,"base (every candidate, flat)",71864,28.87,-12.86,-13.91,-14.04,-9239.7,3939,FAIL,graded n=71864 >= 500 but ROI -12.86% <= 0%
batter_rbis,price-only (full OOS),506,58.7,0.52,-7.05,-7.42,2.6,311,PASS,graded n=506 >= 500 and ROI 0.52% > 0%
batter_rbis,board (full OOS),1136,62.85,4.39,-0.38,-0.39,49.9,594,PASS,graded n=1136 >= 500 and ROI 4.39% > 0%
batter_rbis,all-lines (full OOS),1215,62.39,3.56,-0.86,-1.18,43.2,594,PASS,graded n=1215 >= 500 and ROI 3.56% > 0%
batter_rbis,board SELECT half,785,63.95,6.65,0.92,0.01,52.2,396,PASS,graded n=785 >= 500 and ROI 6.65% > 0%
batter_rbis,board VERDICT half,351,60.4,-0.67,-9.58,-8.59,-2.3,198,FAIL,graded n=351 < 500 and ROI CI lower bound -9.58% <= 0%
totals,"base (every candidate, flat)",6259,48.59,-5.71,-8.2,-8.62,-357.6,3865,FAIL,graded n=6259 >= 500 but ROI -5.71% <= 0%
totals,price-only (full OOS),196,48.98,-9.05,-22.18,-22.18,-17.7,196,FAIL,graded n=196 < 500 and ROI CI lower bound -22.18% <= 0%
totals,board (full OOS),708,53.25,3.07,-4.03,-4.03,21.7,708,PASS,graded n=708 >= 500 and ROI 3.07% > 0%
