market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",121450,51.17,-8.55,-9.13,-9.27,-10379.7,5390,FAIL,graded n=121450 >= 500 but ROI -8.55% <= 0%
batter_hits,price-only (full OOS),23,52.17,-15.49,-50.03,-48.38,-3.6,20,FAIL,graded n=23 < 500 and ROI CI lower bound -50.03% <= 0%
batter_hits,board (full OOS),1089,61.8,7.3,2.35,2.15,79.5,817,PASS,graded n=1089 >= 500 and ROI 7.30% > 0%
batter_hits,all-lines (full OOS),1121,61.46,6.68,1.39,1.45,74.9,817,PASS,graded n=1121 >= 500 and ROI 6.68% > 0%
batter_hits,board SELECT half,527,62.24,7.57,0.16,-0.39,39.9,371,PASS,graded n=527 >= 500 and ROI 7.57% > 0%
batter_hits,board VERDICT half,562,61.39,7.13,-0.03,0.48,40.0,446,PASS,graded n=562 >= 500 and ROI 7.13% > 0%
batter_rbis,"base (every candidate, flat)",97313,29.12,-11.34,-12.23,-12.35,-11038.4,5389,FAIL,graded n=97313 >= 500 but ROI -11.34% <= 0%
batter_rbis,price-only (full OOS),177,53.11,-13.15,-25.32,-24.73,-23.3,140,FAIL,graded n=177 < 500 and ROI CI lower bound -25.32% <= 0%
batter_rbis,board (full OOS),860,62.56,0.27,-5.13,-4.81,2.3,539,PASS,graded n=860 >= 500 and ROI 0.27% > 0%
batter_rbis,all-lines (full OOS),894,62.42,0.01,-5.09,-4.86,0.1,539,PASS,graded n=894 >= 500 and ROI 0.01% > 0%
batter_rbis,board SELECT half,597,62.65,0.41,-5.75,-5.32,2.5,377,PASS,graded n=597 >= 500 and ROI 0.41% > 0%
batter_rbis,board VERDICT half,263,62.36,0.06,-9.56,-9.25,0.2,162,FAIL,graded n=263 < 500 and ROI CI lower bound -9.56% <= 0%
totals,"base (every candidate, flat)",8246,49.47,-4.03,-6.06,-6.61,-331.9,5289,FAIL,graded n=8246 >= 500 but ROI -4.03% <= 0%
totals,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
totals,board (full OOS),600,50.67,-2.76,-10.63,-10.63,-16.6,600,FAIL,graded n=600 >= 500 but ROI -2.76% <= 0%
totals,all-lines (full OOS),785,50.06,-3.89,-10.73,-11.5,-30.5,600,FAIL,graded n=785 >= 500 but ROI -3.89% <= 0%
totals,board SELECT half,425,51.53,-0.2,-9.78,-9.78,-0.8,425,FAIL,graded n=425 < 500 and ROI CI lower bound -9.78% <= 0%
totals,board VERDICT half,175,48.57,-7.27,-21.58,-21.58,-12.7,175,FAIL,graded n=175 < 500 and ROI CI lower bound -21.58% <= 0%
spreads,"base (every candidate, flat)",7465,48.18,-2.93,-5.4,-5.66,-218.7,5391,FAIL,graded n=7465 >= 500 but ROI -2.93% <= 0%
spreads,price-only (full OOS),1392,63.36,-0.13,-4.33,-4.33,-1.8,1392,FAIL,graded n=1392 >= 500 but ROI -0.13% <= 0%
spreads,board (full OOS),1203,61.76,0.07,-4.54,-4.54,0.9,1203,PASS,graded n=1203 >= 500 and ROI 0.07% > 0%
spreads,all-lines (full OOS),1301,61.95,0.6,-3.67,-3.68,7.8,1203,PASS,graded n=1301 >= 500 and ROI 0.60% > 0%
spreads,board SELECT half,635,64.25,5.64,-0.71,-0.71,35.8,635,PASS,graded n=635 >= 500 and ROI 5.64% > 0%
spreads,board VERDICT half,569,58.7,-6.44,-13.0,-13.0,-36.7,569,FAIL,graded n=569 >= 500 but ROI -6.44% <= 0%
batter_total_bases,"base (every candidate, flat)",118053,45.88,-9.63,-10.21,-10.33,-11364.9,5390,FAIL,graded n=118053 >= 500 but ROI -9.63% <= 0%
batter_total_bases,price-only (full OOS),339,58.41,-1.53,-10.57,-10.3,-5.2,300,FAIL,graded n=339 < 500 and ROI CI lower bound -10.57% <= 0%
batter_total_bases,board (full OOS),3034,61.31,1.33,-1.68,-1.66,40.4,1562,PASS,graded n=3034 >= 500 and ROI 1.33% > 0%
batter_total_bases,all-lines (full OOS),3125,61.47,1.56,-1.22,-1.32,48.8,1562,PASS,graded n=3125 >= 500 and ROI 1.56% > 0%
batter_total_bases,board SELECT half,1819,62.78,3.58,-0.18,-0.38,65.2,882,PASS,graded n=1819 >= 500 and ROI 3.58% > 0%
batter_total_bases,board VERDICT half,1215,59.09,-2.01,-6.71,-6.42,-24.4,680,FAIL,graded n=1215 >= 500 but ROI -2.01% <= 0%
batter_home_runs,"base (every candidate, flat)",59693,11.76,-15.77,-17.81,-17.81,-9411.2,3507,FAIL,graded n=59693 >= 500 but ROI -15.77% <= 0%
batter_home_runs,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
batter_home_runs,board (full OOS),20,60.0,-5.71,-38.16,-38.16,-1.1,20,FAIL,graded n=20 < 500 and ROI CI lower bound -38.16% <= 0%
batter_home_runs,all-lines (full OOS),22,54.55,-14.28,-44.02,-44.02,-3.1,20,FAIL,graded n=22 < 500 and ROI CI lower bound -44.02% <= 0%
batter_home_runs,board SELECT half,10,60.0,-6.49,-53.55,-53.55,-0.6,10,FAIL,graded n=10 < 500 and ROI CI lower bound -53.55% <= 0%
batter_home_runs,board VERDICT half,10,60.0,-4.93,-52.86,-52.86,-0.5,10,FAIL,graded n=10 < 500 and ROI CI lower bound -52.86% <= 0%
pitcher_strikeouts,"base (every candidate, flat)",24616,48.89,-5.81,-7.17,-7.81,-1431.3,4858,FAIL,graded n=24616 >= 500 but ROI -5.81% <= 0%
pitcher_strikeouts,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
pitcher_strikeouts,board (full OOS),1547,60.05,1.94,-2.26,-2.28,30.0,1397,PASS,graded n=1547 >= 500 and ROI 1.94% > 0%
pitcher_strikeouts,all-lines (full OOS),1707,60.81,1.41,-2.52,-2.83,24.1,1397,PASS,graded n=1707 >= 500 and ROI 1.41% > 0%
pitcher_strikeouts,board SELECT half,843,60.62,3.48,-2.2,-2.15,29.3,744,PASS,graded n=843 >= 500 and ROI 3.48% > 0%
pitcher_strikeouts,board VERDICT half,704,58.95,-0.33,-6.47,-6.34,-2.3,653,FAIL,graded n=704 >= 500 but ROI -0.33% <= 0%
h2h,"base (every candidate, flat)",5956,53.63,-0.63,-2.97,-2.97,-37.5,5391,FAIL,graded n=5956 >= 500 but ROI -0.63% <= 0%
h2h,price-only (full OOS),837,61.41,-4.93,-10.08,-10.08,-41.2,837,FAIL,graded n=837 >= 500 but ROI -4.93% <= 0%
h2h,board (full OOS),1212,60.89,-0.44,-4.77,-4.77,-5.3,1212,FAIL,graded n=1212 >= 500 but ROI -0.44% <= 0%
h2h,all-lines (full OOS),1312,60.98,-0.36,-4.59,-4.59,-4.7,1212,FAIL,graded n=1312 >= 500 but ROI -0.36% <= 0%
h2h,board SELECT half,738,60.98,0.62,-5.16,-5.16,4.6,738,PASS,graded n=738 >= 500 and ROI 0.62% > 0%
h2h,board VERDICT half,474,60.76,-1.8,-9.08,-9.08,-8.5,474,FAIL,graded n=474 < 500 and ROI CI lower bound -9.08% <= 0%
batter_runs_scored,"base (every candidate, flat)",55211,37.23,-11.27,-12.25,-12.66,-6219.7,2969,FAIL,graded n=55211 >= 500 but ROI -11.27% <= 0%
batter_runs_scored,price-only (full OOS),162,56.79,-4.4,-17.33,-17.37,-7.1,130,FAIL,graded n=162 < 500 and ROI CI lower bound -17.33% <= 0%
batter_runs_scored,board (full OOS),2702,61.29,0.85,-2.22,-2.65,23.1,853,PASS,graded n=2702 >= 500 and ROI 0.85% > 0%
batter_runs_scored,all-lines (full OOS),2814,61.09,0.57,-2.4,-2.85,16.0,853,PASS,graded n=2814 >= 500 and ROI 0.57% > 0%
batter_runs_scored,board SELECT half,1980,60.96,0.35,-3.18,-3.58,7.0,575,PASS,graded n=1980 >= 500 and ROI 0.35% > 0%
