market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",120269,50.8,-9.24,-9.81,-9.97,-11116.5,5393,FAIL,graded n=120269 >= 500 but ROI -9.24% <= 0%
batter_hits,price-only (full OOS),159,68.55,8.97,-2.49,-2.68,14.3,132,FAIL,graded n=159 < 500 and ROI CI lower bound -2.49% <= 0%
batter_hits,board (full OOS),2083,64.04,13.16,9.6,9.15,274.2,1388,PASS,graded n=2083 >= 500 and ROI 13.16% > 0%
batter_hits,all-lines (full OOS),2150,63.63,12.34,8.68,8.19,265.4,1388,PASS,graded n=2150 >= 500 and ROI 12.34% > 0%
batter_hits,board SELECT half,814,63.14,11.15,5.37,4.68,90.7,516,PASS,graded n=814 >= 500 and ROI 11.15% > 0%
batter_hits,board VERDICT half,1269,64.62,14.46,9.51,9.24,183.4,872,PASS,graded n=1269 >= 500 and ROI 14.46% > 0%
batter_rbis,"base (every candidate, flat)",96439,28.92,-12.06,-12.98,-13.05,-11635.2,5409,FAIL,graded n=96439 >= 500 but ROI -12.06% <= 0%
batter_rbis,price-only (full OOS),1167,58.01,-7.31,-11.96,-11.75,-85.3,750,FAIL,graded n=1167 >= 500 but ROI -7.31% <= 0%
batter_rbis,board (full OOS),2740,62.63,-0.1,-2.91,-3.18,-2.8,1541,FAIL,graded n=2740 >= 500 but ROI -0.10% <= 0%
batter_rbis,all-lines (full OOS),2840,62.46,-0.37,-3.35,-3.41,-10.4,1541,FAIL,graded n=2840 >= 500 but ROI -0.37% <= 0%
batter_rbis,board SELECT half,1720,62.79,0.23,-3.37,-3.52,4.0,927,PASS,graded n=1720 >= 500 and ROI 0.23% > 0%
batter_rbis,board VERDICT half,1020,62.35,-0.66,-5.47,-5.62,-6.7,614,FAIL,graded n=1020 >= 500 but ROI -0.66% <= 0%
totals,"base (every candidate, flat)",8299,49.43,-4.11,-6.16,-6.75,-341.2,5287,FAIL,graded n=8299 >= 500 but ROI -4.11% <= 0%
totals,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
totals,board (full OOS),569,51.67,0.99,-7.18,-7.18,5.6,569,PASS,graded n=569 >= 500 and ROI 0.99% > 0%
totals,all-lines (full OOS),791,51.45,-0.45,-7.17,-8.92,-3.6,569,FAIL,graded n=791 >= 500 but ROI -0.45% <= 0%
totals,board SELECT half,348,52.87,3.62,-6.37,-6.37,12.6,348,FAIL,graded n=348 < 500 and ROI CI lower bound -6.37% <= 0%
totals,board VERDICT half,221,49.77,-3.17,-16.12,-16.12,-7.0,221,FAIL,graded n=221 < 500 and ROI CI lower bound -16.12% <= 0%
spreads,"base (every candidate, flat)",7457,48.28,-2.84,-5.25,-5.51,-211.6,5392,FAIL,graded n=7457 >= 500 but ROI -2.84% <= 0%
spreads,price-only (full OOS),1405,63.91,0.67,-3.23,-3.23,9.4,1405,PASS,graded n=1405 >= 500 and ROI 0.67% > 0%
spreads,board (full OOS),1242,60.55,0.17,-4.42,-4.42,2.2,1242,PASS,graded n=1242 >= 500 and ROI 0.17% > 0%
spreads,all-lines (full OOS),1356,60.55,0.12,-4.04,-4.11,1.6,1242,PASS,graded n=1356 >= 500 and ROI 0.12% > 0%
spreads,board SELECT half,652,63.65,7.07,0.82,0.82,46.1,652,PASS,graded n=652 >= 500 and ROI 7.07% > 0%
spreads,board VERDICT half,590,57.12,-7.45,-13.97,-13.97,-44.0,590,FAIL,graded n=590 >= 500 but ROI -7.45% <= 0%
batter_total_bases,"base (every candidate, flat)",116642,45.41,-10.4,-10.97,-11.08,-12131.6,5394,FAIL,graded n=116642 >= 500 but ROI -10.40% <= 0%
batter_total_bases,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
batter_total_bases,board (full OOS),409,58.44,-4.92,-12.64,-12.87,-20.1,267,FAIL,graded n=409 < 500 and ROI CI lower bound -12.64% <= 0%
batter_total_bases,all-lines (full OOS),429,58.28,-5.21,-12.95,-13.6,-22.3,267,FAIL,graded n=429 < 500 and ROI CI lower bound -12.95% <= 0%
batter_total_bases,board SELECT half,277,61.01,-0.08,-9.46,-10.8,-0.2,177,FAIL,graded n=277 < 500 and ROI CI lower bound -9.46% <= 0%
batter_total_bases,board VERDICT half,132,53.03,-15.07,-28.78,-28.95,-19.9,90,FAIL,graded n=132 < 500 and ROI CI lower bound -28.78% <= 0%
batter_home_runs,"base (every candidate, flat)",59338,11.73,-15.88,-17.82,-18.01,-9422.3,3459,FAIL,graded n=59338 >= 500 but ROI -15.88% <= 0%
batter_home_runs,price-only (full OOS),5,60.0,-5.88,-69.74,-69.74,-0.3,5,FAIL,graded n=5 < 500 and ROI CI lower bound -69.74% <= 0%
batter_home_runs,board (full OOS),29,55.17,-13.97,-41.31,-41.31,-4.1,29,FAIL,graded n=29 < 500 and ROI CI lower bound -41.31% <= 0%
batter_home_runs,all-lines (full OOS),31,51.61,-19.52,-44.95,-44.95,-6.1,29,FAIL,graded n=31 < 500 and ROI CI lower bound -44.95% <= 0%
batter_home_runs,board SELECT half,14,57.14,-11.5,-45.78,-45.78,-1.6,14,FAIL,graded n=14 < 500 and ROI CI lower bound -45.78% <= 0%
batter_home_runs,board VERDICT half,15,53.33,-16.27,-58.06,-58.06,-2.4,15,FAIL,graded n=15 < 500 and ROI CI lower bound -58.06% <= 0%
pitcher_strikeouts,"base (every candidate, flat)",24291,48.81,-5.82,-7.27,-7.81,-1414.8,4858,FAIL,graded n=24291 >= 500 but ROI -5.82% <= 0%
pitcher_strikeouts,price-only (full OOS),1,0.0,-100.0,-100.0,-100.0,-1.0,1,FAIL,graded n=1 < 500 and ROI CI lower bound -100.00% <= 0%
pitcher_strikeouts,board (full OOS),2407,60.37,2.27,-1.07,-1.17,54.6,1971,PASS,graded n=2407 >= 500 and ROI 2.27% > 0%
pitcher_strikeouts,all-lines (full OOS),2737,61.34,1.45,-1.57,-1.96,39.7,1971,PASS,graded n=2737 >= 500 and ROI 1.45% > 0%
pitcher_strikeouts,board SELECT half,1248,59.54,1.24,-3.42,-3.58,15.5,1003,PASS,graded n=1248 >= 500 and ROI 1.24% > 0%
pitcher_strikeouts,board VERDICT half,1159,61.26,3.37,-1.34,-1.28,39.1,968,PASS,graded n=1159 >= 500 and ROI 3.37% > 0%
h2h,"base (every candidate, flat)",5956,53.63,-0.54,-2.89,-2.89,-32.3,5391,FAIL,graded n=5956 >= 500 but ROI -0.54% <= 0%
h2h,price-only (full OOS),812,60.34,-6.81,-11.87,-11.87,-55.3,812,FAIL,graded n=812 >= 500 but ROI -6.81% <= 0%
h2h,board (full OOS),1524,58.53,-0.34,-4.65,-4.65,-5.1,1524,FAIL,graded n=1524 >= 500 but ROI -0.34% <= 0%
h2h,all-lines (full OOS),1645,58.97,0.23,-3.83,-3.83,3.9,1524,PASS,graded n=1645 >= 500 and ROI 0.23% > 0%
