market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",120269,50.8,-9.24,-9.81,-9.97,-11116.5,5393,FAIL,graded n=120269 >= 500 but ROI -9.24% <= 0%
batter_hits,price-only (full OOS),23,52.17,-14.62,-44.25,-46.09,-3.4,19,FAIL,graded n=23 < 500 and ROI CI lower bound -44.25% <= 0%
batter_hits,board (full OOS),1866,62.27,11.56,7.32,7.18,215.7,1273,PASS,graded n=1866 >= 500 and ROI 11.56% > 0%
batter_hits,all-lines (full OOS),1915,61.98,10.95,6.83,6.65,209.8,1273,PASS,graded n=1915 >= 500 and ROI 10.95% > 0%
batter_hits,board SELECT half,755,62.52,11.3,5.04,4.72,85.3,497,PASS,graded n=755 >= 500 and ROI 11.30% > 0%
batter_hits,board VERDICT half,1111,62.11,11.74,6.64,6.06,130.4,776,PASS,graded n=1111 >= 500 and ROI 11.74% > 0%
batter_rbis,"base (every candidate, flat)",96439,28.92,-12.06,-12.98,-13.05,-11635.2,5409,FAIL,graded n=96439 >= 500 but ROI -12.06% <= 0%
batter_rbis,price-only (full OOS),192,51.56,-15.31,-26.26,-27.27,-29.4,150,FAIL,graded n=192 < 500 and ROI CI lower bound -26.26% <= 0%
batter_rbis,board (full OOS),1574,62.33,0.1,-3.95,-3.85,1.5,973,PASS,graded n=1574 >= 500 and ROI 0.10% > 0%
batter_rbis,all-lines (full OOS),1638,62.21,-0.05,-3.96,-3.9,-0.9,973,FAIL,graded n=1638 >= 500 but ROI -0.05% <= 0%
batter_rbis,board SELECT half,1090,63.3,1.49,-3.02,-3.15,16.3,653,PASS,graded n=1090 >= 500 and ROI 1.49% > 0%
batter_rbis,board VERDICT half,484,60.12,-3.05,-10.08,-10.93,-14.8,320,FAIL,graded n=484 < 500 and ROI CI lower bound -10.08% <= 0%
totals,"base (every candidate, flat)",8299,49.43,-4.11,-6.16,-6.75,-341.2,5287,FAIL,graded n=8299 >= 500 but ROI -4.11% <= 0%
totals,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
totals,board (full OOS),580,51.03,-1.42,-9.26,-9.26,-8.2,580,FAIL,graded n=580 >= 500 but ROI -1.42% <= 0%
totals,all-lines (full OOS),772,50.52,-2.36,-9.0,-10.63,-18.2,580,FAIL,graded n=772 >= 500 but ROI -2.36% <= 0%
totals,board SELECT half,353,51.84,0.36,-9.97,-9.97,1.3,353,FAIL,graded n=353 < 500 and ROI CI lower bound -9.97% <= 0%
totals,board VERDICT half,227,49.78,-4.18,-16.7,-16.7,-9.5,227,FAIL,graded n=227 < 500 and ROI CI lower bound -16.70% <= 0%
spreads,"base (every candidate, flat)",7457,48.28,-2.84,-5.25,-5.51,-211.6,5392,FAIL,graded n=7457 >= 500 but ROI -2.84% <= 0%
spreads,price-only (full OOS),2463,62.93,-0.3,-3.4,-3.4,-7.4,2463,FAIL,graded n=2463 >= 500 but ROI -0.30% <= 0%
spreads,board (full OOS),2463,62.93,-0.3,-3.4,-3.4,-7.4,2463,FAIL,graded n=2463 >= 500 but ROI -0.30% <= 0%
spreads,all-lines (full OOS),3455,63.91,-0.31,-2.64,-2.56,-10.7,2463,FAIL,graded n=3455 >= 500 but ROI -0.31% <= 0%
spreads,board SELECT half,1076,64.31,1.93,-2.7,-2.7,20.8,1076,PASS,graded n=1076 >= 500 and ROI 1.93% > 0%
spreads,board VERDICT half,1387,61.86,-2.03,-6.17,-6.17,-28.2,1387,FAIL,graded n=1387 >= 500 but ROI -2.03% <= 0%
batter_total_bases,"base (every candidate, flat)",116642,45.41,-10.4,-10.97,-11.08,-12131.6,5394,FAIL,graded n=116642 >= 500 but ROI -10.40% <= 0%
