market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",94209,49.57,-12.83,-13.47,-13.6,-12087.4,3940,FAIL,graded n=94209 >= 500 but ROI -12.83% <= 0%
batter_hits,price-only (full OOS),26,50.0,-12.69,-46.09,-48.33,-3.3,23,FAIL,graded n=26 < 500 and ROI CI lower bound -46.09% <= 0%
batter_hits,board (full OOS),2391,59.43,7.45,4.06,3.78,178.2,1458,PASS,graded n=2391 >= 500 and ROI 7.45% > 0%
batter_hits,all-lines (full OOS),2502,59.07,6.64,2.97,3.21,166.2,1458,PASS,graded n=2502 >= 500 and ROI 6.64% > 0%
batter_hits,board SELECT half,862,59.51,6.04,0.24,0.32,52.1,567,PASS,graded n=862 >= 500 and ROI 6.04% > 0%
batter_hits,board VERDICT half,1529,59.39,8.25,3.63,3.82,126.2,891,PASS,graded n=1529 >= 500 and ROI 8.25% > 0%
batter_rbis,"base (every candidate, flat)",71864,28.87,-16.42,-17.43,-17.58,-11799.0,3939,FAIL,graded n=71864 >= 500 but ROI -16.42% <= 0%
batter_rbis,price-only (full OOS),915,59.23,-4.69,-9.94,-10.55,-42.9,421,FAIL,graded n=915 >= 500 but ROI -4.69% <= 0%
batter_rbis,board (full OOS),1693,66.04,8.85,5.0,3.62,149.8,779,PASS,graded n=1693 >= 500 and ROI 8.85% > 0%
batter_rbis,all-lines (full OOS),1801,65.57,7.96,4.27,2.55,143.4,779,PASS,graded n=1801 >= 500 and ROI 7.96% > 0%
batter_rbis,board SELECT half,1323,67.27,11.23,6.92,5.22,148.6,569,PASS,graded n=1323 >= 500 and ROI 11.23% > 0%
batter_rbis,board VERDICT half,370,61.62,0.32,-7.52,-7.94,1.2,210,FAIL,graded n=370 < 500 and ROI CI lower bound -7.52% <= 0%
totals,"base (every candidate, flat)",6259,48.59,-7.18,-9.64,-10.02,-449.1,3865,FAIL,graded n=6259 >= 500 but ROI -7.18% <= 0%
