market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",120269,50.8,-12.16,-12.71,-12.85,-14619.5,5393,FAIL,graded n=120269 >= 500 but ROI -12.16% <= 0%
batter_hits,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
batter_hits,board (full OOS),1554,62.93,13.96,9.57,9.19,216.9,1098,PASS,graded n=1554 >= 500 and ROI 13.96% > 0%
batter_hits,all-lines (full OOS),1598,62.52,13.17,8.66,8.28,210.5,1098,PASS,graded n=1598 >= 500 and ROI 13.17% > 0%
batter_hits,board SELECT half,609,61.9,11.67,4.99,3.91,71.1,407,PASS,graded n=609 >= 500 and ROI 11.67% > 0%
batter_hits,board VERDICT half,945,63.6,15.43,9.89,9.26,145.8,691,PASS,graded n=945 >= 500 and ROI 15.43% > 0%
batter_rbis,"base (every candidate, flat)",96439,28.92,-15.62,-16.49,-16.56,-15064.2,5409,FAIL,graded n=96439 >= 500 but ROI -15.62% <= 0%
batter_rbis,price-only (full OOS),12,33.33,-43.31,-85.76,-85.76,-5.2,12,FAIL,graded n=12 < 500 and ROI CI lower bound -85.76% <= 0%
batter_rbis,board (full OOS),977,62.85,0.21,-4.69,-4.9,2.0,640,PASS,graded n=977 >= 500 and ROI 0.21% > 0%
batter_rbis,all-lines (full OOS),1022,62.92,0.28,-4.29,-4.67,2.9,640,PASS,graded n=1022 >= 500 and ROI 0.28% > 0%
batter_rbis,board SELECT half,739,62.92,0.24,-5.18,-5.24,1.8,463,PASS,graded n=739 >= 500 and ROI 0.24% > 0%
batter_rbis,board VERDICT half,238,62.61,0.11,-9.93,-9.97,0.3,177,FAIL,graded n=238 < 500 and ROI CI lower bound -9.93% <= 0%
totals,"base (every candidate, flat)",8299,49.43,-5.56,-7.58,-8.17,-461.5,5287,FAIL,graded n=8299 >= 500 but ROI -5.56% <= 0%
totals,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
totals,board (full OOS),569,51.67,-0.66,-8.38,-8.38,-3.7,569,FAIL,graded n=569 >= 500 but ROI -0.66% <= 0%
totals,all-lines (full OOS),791,51.45,-1.99,-8.64,-10.29,-15.8,569,FAIL,graded n=791 >= 500 but ROI -1.99% <= 0%
totals,board SELECT half,348,52.87,1.93,-7.88,-7.88,6.7,348,FAIL,graded n=348 < 500 and ROI CI lower bound -7.88% <= 0%
totals,board VERDICT half,221,49.77,-4.72,-17.38,-17.38,-10.4,221,FAIL,graded n=221 < 500 and ROI CI lower bound -17.38% <= 0%
spreads,"base (every candidate, flat)",7457,48.28,-4.69,-7.05,-7.3,-349.9,5392,FAIL,graded n=7457 >= 500 but ROI -4.69% <= 0%
spreads,price-only (full OOS),2507,63.3,-1.64,-4.61,-4.61,-41.1,2507,FAIL,graded n=2507 >= 500 but ROI -1.64% <= 0%
spreads,board (full OOS),2507,63.3,-1.64,-4.61,-4.61,-41.1,2507,FAIL,graded n=2507 >= 500 but ROI -1.64% <= 0%
spreads,all-lines (full OOS),3524,63.88,-1.58,-4.21,-3.69,-55.6,2507,FAIL,graded n=3524 >= 500 but ROI -1.58% <= 0%
spreads,board SELECT half,1120,65.0,1.08,-3.32,-3.32,12.1,1120,PASS,graded n=1120 >= 500 and ROI 1.08% > 0%
spreads,board VERDICT half,1387,61.93,-3.84,-7.71,-7.71,-53.2,1387,FAIL,graded n=1387 >= 500 but ROI -3.84% <= 0%
batter_total_bases,"base (every candidate, flat)",116642,45.41,-12.94,-13.49,-13.6,-15089.9,5394,FAIL,graded n=116642 >= 500 but ROI -12.94% <= 0%
batter_total_bases,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
batter_total_bases,board (full OOS),1388,63.04,3.61,-0.76,-0.7,50.1,1001,PASS,graded n=1388 >= 500 and ROI 3.61% > 0%
batter_total_bases,all-lines (full OOS),1429,63.05,3.57,-0.81,-0.81,51.1,1001,PASS,graded n=1429 >= 500 and ROI 3.57% > 0%
batter_total_bases,board SELECT half,747,64.52,5.77,-0.17,-0.18,43.1,520,PASS,graded n=747 >= 500 and ROI 5.77% > 0%
batter_total_bases,board VERDICT half,641,61.31,1.09,-5.29,-4.85,7.0,481,PASS,graded n=641 >= 500 and ROI 1.09% > 0%
batter_home_runs,"base (every candidate, flat)",59338,11.73,-25.34,-27.07,-27.2,-15035.5,3459,FAIL,graded n=59338 >= 500 but ROI -25.34% <= 0%
batter_home_runs,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
batter_home_runs,board (full OOS),21,47.62,-24.93,-62.02,-62.02,-5.2,21,FAIL,graded n=21 < 500 and ROI CI lower bound -62.02% <= 0%
batter_home_runs,all-lines (full OOS),23,43.48,-31.46,-59.99,-59.99,-7.2,21,FAIL,graded n=23 < 500 and ROI CI lower bound -59.99% <= 0%
batter_home_runs,board SELECT half,7,42.86,-32.4,-78.2,-78.2,-2.3,7,FAIL,graded n=7 < 500 and ROI CI lower bound -78.20% <= 0%
batter_home_runs,board VERDICT half,14,50.0,-21.19,-65.8,-65.8,-3.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -65.80% <= 0%
pitcher_strikeouts,"base (every candidate, flat)",24291,48.81,-7.3,-8.73,-9.26,-1774.0,4858,FAIL,graded n=24291 >= 500 but ROI -7.30% <= 0%
pitcher_strikeouts,price-only (full OOS),0,0.0,0.0,0.0,,0.0,0,NO_DATA,no graded picks in ev_filtered slice
pitcher_strikeouts,board (full OOS),766,59.01,1.02,-5.11,-5.31,7.8,710,PASS,graded n=766 >= 500 and ROI 1.02% > 0%
pitcher_strikeouts,all-lines (full OOS),792,58.46,-0.12,-6.26,-6.49,-0.9,710,FAIL,graded n=792 >= 500 but ROI -0.12% <= 0%
pitcher_strikeouts,board SELECT half,396,59.09,1.6,-7.03,-7.05,6.3,366,FAIL,graded n=396 < 500 and ROI CI lower bound -7.03% <= 0%
pitcher_strikeouts,board VERDICT half,370,58.92,0.4,-7.98,-7.66,1.5,344,FAIL,graded n=370 < 500 and ROI CI lower bound -7.98% <= 0%
h2h,"base (every candidate, flat)",5956,53.63,-2.46,-4.75,-4.75,-146.3,5391,FAIL,graded n=5956 >= 500 but ROI -2.46% <= 0%
h2h,price-only (full OOS),953,62.12,-5.94,-10.71,-10.71,-56.6,953,FAIL,graded n=953 >= 500 but ROI -5.94% <= 0%
h2h,board (full OOS),1535,58.7,-1.9,-6.32,-6.32,-29.1,1535,FAIL,graded n=1535 >= 500 but ROI -1.90% <= 0%
h2h,all-lines (full OOS),1656,59.12,-1.33,-5.45,-5.45,-22.1,1535,FAIL,graded n=1656 >= 500 but ROI -1.33% <= 0%
h2h,board SELECT half,888,60.7,2.18,-3.5,-3.5,19.3,888,PASS,graded n=888 >= 500 and ROI 2.18% > 0%
h2h,board VERDICT half,647,55.95,-7.49,-13.88,-13.88,-48.5,647,FAIL,graded n=647 >= 500 but ROI -7.49% <= 0%
batter_runs_scored,"base (every candidate, flat)",53348,36.99,-14.83,-15.76,-16.14,-7908.8,2954,FAIL,graded n=53348 >= 500 but ROI -14.83% <= 0%
batter_runs_scored,price-only (full OOS),5,40.0,-29.97,-100.0,-100.0,-1.5,4,FAIL,graded n=5 < 500 and ROI CI lower bound -100.00% <= 0%
batter_runs_scored,board (full OOS),4145,60.89,-0.15,-2.65,-2.8,-6.3,1232,FAIL,graded n=4145 >= 500 but ROI -0.15% <= 0%
batter_runs_scored,all-lines (full OOS),4345,60.74,-0.43,-2.78,-3.06,-18.7,1232,FAIL,graded n=4345 >= 500 but ROI -0.43% <= 0%
batter_runs_scored,board SELECT half,2650,60.19,-1.06,-4.0,-4.66,-28.1,689,FAIL,graded n=2650 >= 500 but ROI -1.06% <= 0%
batter_runs_scored,board VERDICT half,1495,62.14,1.46,-2.47,-3.03,21.9,543,PASS,graded n=1495 >= 500 and ROI 1.46% > 0%
pitcher_outs,"base (every candidate, flat)",9821,50.64,-6.8,-8.59,-8.91,-668.2,4383,FAIL,graded n=9821 >= 500 but ROI -6.80% <= 0%
pitcher_outs,price-only (full OOS),2,0.0,-100.0,-100.0,-100.0,-2.0,2,FAIL,graded n=2 < 500 and ROI CI lower bound -100.00% <= 0%
pitcher_outs,board (full OOS),787,59.59,0.76,-4.96,-5.17,6.0,721,PASS,graded n=787 >= 500 and ROI 0.76% > 0%
pitcher_outs,all-lines (full OOS),828,58.94,-0.25,-5.75,-6.29,-2.1,721,FAIL,graded n=828 >= 500 but ROI -0.25% <= 0%
pitcher_outs,board SELECT half,388,62.11,3.51,-5.34,-5.15,13.6,357,FAIL,graded n=388 < 500 and ROI CI lower bound -5.34% <= 0%
