market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",94209,49.57,-9.68,-10.35,-10.5,-9118.9,3940,FAIL,graded n=94209 >= 500 but ROI -9.68% <= 0%
batter_hits,price-only (full OOS),35187,41.39,1.27,0.0,-0.12,448.0,3428,PASS,graded n=35187 >= 500 and ROI 1.27% > 0%
batter_hits,board (full OOS),30441,44.12,3.61,2.29,2.2,1098.3,3450,PASS,graded n=30441 >= 500 and ROI 3.61% > 0%
batter_hits,all-lines (full OOS),33284,44.11,3.19,1.93,1.81,1062.1,3450,PASS,graded n=33284 >= 500 and ROI 3.19% > 0%
batter_hits,board SELECT half,13987,43.14,3.84,1.84,1.74,536.7,1434,PASS,graded n=13987 >= 500 and ROI 3.84% > 0%
batter_hits,board VERDICT half,16454,44.95,3.41,1.67,1.55,561.6,2019,PASS,graded n=16454 >= 500 and ROI 3.41% > 0%
batter_rbis,"base (every candidate, flat)",71864,28.87,-12.86,-13.91,-14.04,-9239.7,3939,FAIL,graded n=71864 >= 500 but ROI -12.86% <= 0%
batter_rbis,price-only (full OOS),4022,60.87,-1.79,-4.3,-4.26,-71.9,1758,FAIL,graded n=4022 >= 500 but ROI -1.79% <= 0%
batter_rbis,board (full OOS),3144,62.72,1.77,-0.97,-1.11,55.6,1376,PASS,graded n=3144 >= 500 and ROI 1.77% > 0%
batter_rbis,all-lines (full OOS),3351,62.31,1.16,-1.46,-1.81,39.0,1376,PASS,graded n=3351 >= 500 and ROI 1.16% > 0%
batter_rbis,board SELECT half,2190,62.79,1.55,-1.67,-1.82,34.0,872,PASS,graded n=2190 >= 500 and ROI 1.55% > 0%
batter_rbis,board VERDICT half,954,62.58,2.26,-3.04,-3.06,21.5,505,PASS,graded n=954 >= 500 and ROI 2.26% > 0%
totals,"base (every candidate, flat)",6259,48.59,-5.71,-8.2,-8.62,-357.6,3865,FAIL,graded n=6259 >= 500 but ROI -5.71% <= 0%
totals,price-only (full OOS),3301,50.62,-1.8,-5.04,-5.04,-59.4,3301,FAIL,graded n=3301 >= 500 but ROI -1.80% <= 0%
totals,board (full OOS),3301,51.2,-0.89,-4.16,-4.16,-29.5,3301,FAIL,graded n=3301 >= 500 but ROI -0.89% <= 0%
totals,all-lines (full OOS),5315,51.31,-0.52,-3.15,-3.47,-27.8,3301,FAIL,graded n=5315 >= 500 but ROI -0.52% <= 0%
totals,board SELECT half,1612,52.36,1.0,-3.71,-3.71,16.1,1612,PASS,graded n=1612 >= 500 and ROI 1.00% > 0%
totals,board VERDICT half,1689,50.09,-2.7,-7.42,-7.42,-45.5,1689,FAIL,graded n=1689 >= 500 but ROI -2.70% <= 0%
spreads,"base (every candidate, flat)",5685,48.57,-2.64,-5.47,-5.67,-150.2,3941,FAIL,graded n=5685 >= 500 but ROI -2.64% <= 0%
spreads,price-only (full OOS),1753,57.22,-0.14,-4.17,-4.17,-2.4,1753,FAIL,graded n=1753 >= 500 but ROI -0.14% <= 0%
spreads,board (full OOS),2257,53.61,-0.36,-4.31,-4.31,-8.2,2257,FAIL,graded n=2257 >= 500 but ROI -0.36% <= 0%
spreads,all-lines (full OOS),2704,52.63,-1.89,-5.31,-5.72,-51.0,2257,FAIL,graded n=2704 >= 500 but ROI -1.89% <= 0%
spreads,board SELECT half,1104,52.36,2.11,-3.97,-3.97,23.3,1104,PASS,graded n=1104 >= 500 and ROI 2.11% > 0%
spreads,board VERDICT half,1153,54.81,-2.73,-8.1,-8.1,-31.5,1153,FAIL,graded n=1153 >= 500 but ROI -2.73% <= 0%
batter_total_bases,"base (every candidate, flat)",88372,45.0,-11.06,-11.73,-11.87,-9774.5,3940,FAIL,graded n=88372 >= 500 but ROI -11.06% <= 0%
batter_total_bases,price-only (full OOS),30761,51.87,1.59,0.49,0.4,487.7,3328,PASS,graded n=30761 >= 500 and ROI 1.59% > 0%
batter_total_bases,board (full OOS),28498,53.58,3.04,1.91,1.76,866.9,3356,PASS,graded n=28498 >= 500 and ROI 3.04% > 0%
batter_total_bases,all-lines (full OOS),31640,53.67,2.73,1.71,1.52,864.3,3356,PASS,graded n=31640 >= 500 and ROI 2.73% > 0%
batter_total_bases,board SELECT half,15181,52.74,2.49,0.92,0.87,378.3,1664,PASS,graded n=15181 >= 500 and ROI 2.49% > 0%
batter_total_bases,board VERDICT half,13317,54.53,3.67,1.97,1.95,488.6,1697,PASS,graded n=13317 >= 500 and ROI 3.67% > 0%
batter_home_runs,"base (every candidate, flat)",57013,11.61,-16.07,-17.97,-18.1,-9162.9,3219,FAIL,graded n=57013 >= 500 but ROI -16.07% <= 0%
batter_home_runs,price-only (full OOS),723,13.97,-8.16,-25.69,-26.04,-59.0,489,FAIL,graded n=723 >= 500 but ROI -8.16% <= 0%
batter_home_runs,board (full OOS),2306,16.0,1.04,-8.9,-8.61,24.1,1213,PASS,graded n=2306 >= 500 and ROI 1.04% > 0%
batter_home_runs,all-lines (full OOS),2388,16.16,1.87,-7.94,-7.71,44.6,1213,PASS,graded n=2388 >= 500 and ROI 1.87% > 0%
batter_home_runs,board SELECT half,1011,15.03,2.04,-13.29,-12.68,20.7,537,PASS,graded n=1011 >= 500 and ROI 2.04% > 0%
batter_home_runs,board VERDICT half,1295,16.76,0.26,-12.07,-12.79,3.4,676,PASS,graded n=1295 >= 500 and ROI 0.26% > 0%
pitcher_strikeouts,"base (every candidate, flat)",19447,49.11,-4.94,-6.42,-7.16,-961.6,3415,FAIL,graded n=19447 >= 500 but ROI -4.94% <= 0%
pitcher_strikeouts,price-only (full OOS),589,47.37,1.88,-7.25,-6.53,11.1,527,PASS,graded n=589 >= 500 and ROI 1.88% > 0%
pitcher_strikeouts,board (full OOS),2951,46.66,1.86,-2.33,-2.48,54.9,2120,PASS,graded n=2951 >= 500 and ROI 1.86% > 0%
pitcher_strikeouts,all-lines (full OOS),4530,45.63,-0.85,-4.21,-4.99,-38.3,2120,FAIL,graded n=4530 >= 500 but ROI -0.85% <= 0%
pitcher_strikeouts,board SELECT half,1846,45.99,2.02,-3.26,-3.83,37.3,1264,PASS,graded n=1846 >= 500 and ROI 2.02% > 0%
pitcher_strikeouts,board VERDICT half,1105,47.78,1.59,-4.36,-4.93,17.6,856,PASS,graded n=1105 >= 500 and ROI 1.59% > 0%
h2h,"base (every candidate, flat)",4504,53.73,-0.16,-2.92,-2.92,-7.3,3941,FAIL,graded n=4504 >= 500 but ROI -0.16% <= 0%
h2h,price-only (full OOS),2524,53.49,-0.82,-4.42,-4.42,-20.6,2524,FAIL,graded n=2524 >= 500 but ROI -0.82% <= 0%
h2h,board (full OOS),2171,54.35,2.7,-1.06,-1.06,58.5,2171,PASS,graded n=2171 >= 500 and ROI 2.70% > 0%
h2h,all-lines (full OOS),2390,54.27,2.43,-1.51,-1.51,58.0,2171,PASS,graded n=2390 >= 500 and ROI 2.43% > 0%
h2h,board SELECT half,968,54.65,3.77,-2.33,-2.33,36.5,968,PASS,graded n=968 >= 500 and ROI 3.77% > 0%
h2h,board VERDICT half,1203,54.11,1.84,-3.68,-3.68,22.1,1203,PASS,graded n=1203 >= 500 and ROI 1.84% > 0%
batter_runs_scored,"base (every candidate, flat)",31012,37.27,-11.52,-12.81,-13.28,-3573.6,1589,FAIL,graded n=31012 >= 500 but ROI -11.52% <= 0%
batter_runs_scored,price-only (full OOS),9985,57.98,1.61,-0.13,-0.47,161.1,1315,PASS,graded n=9985 >= 500 and ROI 1.61% > 0%
batter_runs_scored,board (full OOS),8955,59.45,2.12,0.38,-0.05,190.0,1082,PASS,graded n=8955 >= 500 and ROI 2.12% > 0%
batter_runs_scored,all-lines (full OOS),9684,59.15,1.55,-0.11,-0.71,150.1,1082,PASS,graded n=9684 >= 500 and ROI 1.55% > 0%
batter_runs_scored,board SELECT half,5069,60.43,4.32,1.82,1.29,219.0,585,PASS,graded n=5069 >= 500 and ROI 4.32% > 0%
batter_runs_scored,board VERDICT half,3886,58.18,-0.74,-3.3,-4.17,-28.9,497,FAIL,graded n=3886 >= 500 but ROI -0.74% <= 0%
pitcher_outs,"base (every candidate, flat)",6686,50.81,-3.44,-5.67,-6.27,-230.1,2996,FAIL,graded n=6686 >= 500 but ROI -3.44% <= 0%
pitcher_outs,price-only (full OOS),144,63.19,3.75,-9.71,-10.19,5.4,140,FAIL,graded n=144 < 500 and ROI CI lower bound -9.71% <= 0%
pitcher_outs,board (full OOS),671,56.33,0.1,-6.62,-6.58,0.6,562,PASS,graded n=671 >= 500 and ROI 0.10% > 0%
pitcher_outs,all-lines (full OOS),685,56.35,0.29,-6.41,-6.37,2.0,562,PASS,graded n=685 >= 500 and ROI 0.29% > 0%
pitcher_outs,board SELECT half,352,57.95,3.66,-5.27,-5.75,12.9,297,FAIL,graded n=352 < 500 and ROI CI lower bound -5.27% <= 0%
pitcher_outs,board VERDICT half,319,54.55,-3.84,-13.06,-13.11,-12.3,265,FAIL,graded n=319 < 500 and ROI CI lower bound -13.06% <= 0%
batter_strikeouts,"base (every candidate, flat)",27835,49.73,-12.13,-13.21,-13.37,-3375.0,1439,FAIL,graded n=27835 >= 500 but ROI -12.13% <= 0%
batter_strikeouts,price-only (full OOS),10707,48.61,0.67,-1.3,-1.32,71.4,964,PASS,graded n=10707 >= 500 and ROI 0.67% > 0%
batter_strikeouts,board (full OOS),8238,48.45,2.8,0.42,0.47,230.9,1156,PASS,graded n=8238 >= 500 and ROI 2.80% > 0%
batter_strikeouts,all-lines (full OOS),8740,48.23,2.27,0.01,-0.18,198.0,1156,PASS,graded n=8740 >= 500 and ROI 2.27% > 0%
batter_strikeouts,board SELECT half,5291,48.61,3.46,0.58,0.09,183.1,610,PASS,graded n=5291 >= 500 and ROI 3.46% > 0%
batter_strikeouts,board VERDICT half,2947,48.15,1.62,-2.22,-2.39,47.9,548,PASS,graded n=2947 >= 500 and ROI 1.62% > 0%
