market,board,n,winPct,roi,ciLo,clusCiLo,units,events,verdict,why
batter_hits,"base (every candidate, flat)",94209,49.57,-9.68,-10.35,-10.5,-9118.9,3940,FAIL,graded n=94209 >= 500 but ROI -9.68% <= 0%
batter_hits,price-only (full OOS),20,50.0,-18.94,-51.81,-56.61,-3.8,17,FAIL,graded n=20 < 500 and ROI CI lower bound -51.81% <= 0%
batter_hits,board (full OOS),1516,62.27,10.46,6.32,5.59,158.6,986,PASS,graded n=1516 >= 500 and ROI 10.46% > 0%
batter_hits,all-lines (full OOS),1604,61.47,8.75,4.51,4.23,140.4,986,PASS,graded n=1604 >= 500 and ROI 8.75% > 0%
batter_hits,board SELECT half,620,61.45,6.28,-0.61,-1.08,39.0,406,PASS,graded n=620 >= 500 and ROI 6.28% > 0%
batter_hits,board VERDICT half,896,62.83,13.35,7.46,6.83,119.7,580,PASS,graded n=896 >= 500 and ROI 13.35% > 0%
batter_rbis,"base (every candidate, flat)",71864,28.87,-12.86,-13.91,-14.04,-9239.7,3939,FAIL,graded n=71864 >= 500 but ROI -12.86% <= 0%
batter_rbis,price-only (full OOS),450,57.56,-2.98,-10.99,-11.81,-13.4,312,FAIL,graded n=450 < 500 and ROI CI lower bound -10.99% <= 0%
batter_rbis,board (full OOS),2494,63.63,3.32,0.19,0.2,82.8,1260,PASS,graded n=2494 >= 500 and ROI 3.32% > 0%
batter_rbis,all-lines (full OOS),2666,63.47,2.99,-0.08,-0.2,79.8,1260,PASS,graded n=2666 >= 500 and ROI 2.99% > 0%
batter_rbis,board SELECT half,1687,64.26,4.69,1.02,0.52,79.1,757,PASS,graded n=1687 >= 500 and ROI 4.69% > 0%
batter_rbis,board VERDICT half,807,62.33,0.47,-5.03,-4.84,3.8,503,PASS,graded n=807 >= 500 and ROI 0.47% > 0%
totals,"base (every candidate, flat)",6259,48.59,-5.71,-8.2,-8.62,-357.6,3865,FAIL,graded n=6259 >= 500 but ROI -5.71% <= 0%
totals,price-only (full OOS),6,66.67,20.87,-40.0,-40.0,1.3,6,FAIL,graded n=6 < 500 and ROI CI lower bound -40.00% <= 0%
totals,board (full OOS),637,53.69,5.37,-2.34,-2.34,34.2,637,PASS,graded n=637 >= 500 and ROI 5.37% > 0%
totals,all-lines (full OOS),959,52.66,2.11,-4.2,-5.58,20.2,637,PASS,graded n=959 >= 500 and ROI 2.11% > 0%
totals,board SELECT half,367,52.59,3.41,-6.86,-6.86,12.5,367,FAIL,graded n=367 < 500 and ROI CI lower bound -6.86% <= 0%
totals,board VERDICT half,270,55.19,8.03,-3.21,-3.21,21.7,270,FAIL,graded n=270 < 500 and ROI CI lower bound -3.21% <= 0%
