market,oldStatus,newStatus,oldFullRoi,newFullRoi,oldFullN,newFullN,oldVerdictRoi,newVerdictRoi,oldVerdictN,newVerdictN,oldCiLo,newCiLo,oldUnits,newUnits,oldRobust,newRobust,decision
batter_hits,PASS,PASS,8.95,12.65,2415,1429,10.57,15.0,1521,830,5.95,8.72,160.8,124.5,6,,held
batter_rbis,PASS_WITH_RESTRICTIONS,PASS,2.03,6.89,2091,1712,-0.76,3.13,709,594,-6.75,-3.24,-5.4,18.6,6,,improved
totals,PASS_WITH_RESTRICTIONS,PASS_WITH_RESTRICTIONS,3.94,4.68,544,513,2.99,5.46,240,236,-9.34,-7.02,7.2,12.9,2,,held
spreads,PASS_WITH_RESTRICTIONS,PASS_WITH_RESTRICTIONS,1.06,1.49,1877,1607,-0.18,-0.42,1106,854,-4.72,-5.86,-2.0,-3.6,4,,held
batter_total_bases,PASS,PASS,3.38,3.9,7039,3285,4.27,6.98,3795,1407,1.51,2.43,162.0,98.1,6,,held
batter_home_runs,VETO,VETO,-25.49,-16.17,23,28,-44.16,-32.1,14,14,-78.2,-76.71,-6.2,-4.5,1,,held
pitcher_strikeouts,PASS_WITH_RESTRICTIONS,PASS_WITH_RESTRICTIONS,4.35,0.02,624,949,0.21,-0.92,334,500,-9.11,-8.58,0.7,-4.6,6,,held
h2h,PASS_WITH_RESTRICTIONS,FAIL_AFTER_ITERATION,0.35,-0.04,966,1241,-0.7,-1.22,387,546,-9.18,-8.04,-2.7,-6.7,3,,REGRESSED
batter_runs_scored,PASS_WITH_RESTRICTIONS,PASS_WITH_RESTRICTIONS,1.26,1.56,5049,4202,-1.74,-0.34,1623,1732,-6.02,-4.14,-28.2,-5.8,6,,held
pitcher_outs,PASS_WITH_RESTRICTIONS,PASS_WITH_RESTRICTIONS,4.21,2.12,960,599,0.69,0.58,306,264,-9.01,-9.48,2.1,1.5,4,,held
batter_strikeouts,PASS,PASS,6.78,7.4,1869,1417,5.84,3.05,720,632,0.16,-3.56,42.1,19.3,6,,held
