market,n,signal,beta,se,zstat
batter_hits,94209,empP,0.1089,0.0328,3.32
batter_hits,94209,parP,0.0344,0.0154,2.23
batter_hits,94209,parPAdj,0.0398,0.015,2.64
batter_hits,94209,clrEdge25,0.0204,0.0067,3.04
batter_hits,94209,clrEdge100,0.0312,0.0067,4.65
batter_hits,94209,oppAllowRel,0.0158,0.0067,2.35
batter_total_bases,88372,empP,0.0698,0.0202,3.46
batter_total_bases,88372,parP,0.0283,0.0115,2.46
batter_total_bases,88372,parPAdj,0.0335,0.0111,3.01
batter_total_bases,88372,clrEdge25,0.024,0.0069,3.5
batter_total_bases,88372,clrEdge100,0.0318,0.0069,4.63
batter_total_bases,88372,oppAllowRel,0.0154,0.0069,2.24
batter_home_runs,57013,empP,0.0355,0.0288,1.23
batter_home_runs,57013,parP,0.0328,0.0135,2.42
batter_home_runs,57013,parPAdj,0.0284,0.0135,2.1
batter_home_runs,57013,clrEdge25,0.0302,0.0124,2.43
batter_home_runs,57013,clrEdge100,0.0167,0.0122,1.37
batter_home_runs,57013,oppAllowRel,-0.0007,0.0132,-0.05
batter_rbis,71864,empP,0.0247,0.0165,1.5
batter_rbis,71864,parP,0.0645,0.0087,7.39
batter_rbis,71864,parPAdj,0.0643,0.0087,7.37
batter_rbis,71864,clrEdge25,0.0179,0.0083,2.16
batter_rbis,71864,clrEdge100,0.0166,0.0083,2.01
batter_rbis,71864,oppAllowRel,0.0162,0.0083,1.95
batter_runs_scored,31012,empP,0.1385,0.3304,0.42
batter_runs_scored,31012,parP,0.0087,0.0134,0.65
batter_runs_scored,31012,parPAdj,0.0107,0.0136,0.79
batter_runs_scored,31012,clrEdge25,0.018,0.0137,1.31
batter_runs_scored,31012,clrEdge100,0.0398,0.0195,2.04
batter_runs_scored,31012,oppAllowRel,0.0085,0.0121,0.7
batter_strikeouts,27835,empP,0.2724,0.7537,0.36
batter_strikeouts,27835,parP,0.0614,0.0205,3.0
batter_strikeouts,27835,parPAdj,0.0616,0.0205,3.01
batter_strikeouts,27835,clrEdge25,0.0655,0.0358,1.83
batter_strikeouts,27835,clrEdge100,0.0934,0.0502,1.86
batter_strikeouts,27835,oppAllowRel,0.0472,0.0259,1.82
pitcher_strikeouts,19447,empP,-0.0001,0.0588,-0.0
pitcher_strikeouts,19447,parP,-0.0048,0.0189,-0.25
pitcher_strikeouts,19447,parPAdj,0.0044,0.0188,0.24
pitcher_strikeouts,19447,clrEdge25,-0.0023,0.0153,-0.15
pitcher_strikeouts,19447,clrEdge100,-0.0027,0.0153,-0.18
pitcher_strikeouts,19447,oppAllowRel,0.0277,0.0153,1.81
pitcher_outs,6686,empP,-0.0635,0.041,-1.55
pitcher_outs,6686,parP,-0.0138,0.0249,-0.55
pitcher_outs,6686,parPAdj,-0.0053,0.0249,-0.21
pitcher_outs,6686,clrEdge25,-0.0384,0.0249,-1.54
pitcher_outs,6686,clrEdge100,-0.0328,0.0249,-1.32
pitcher_outs,6686,oppAllowRel,0.051,0.0248,2.06
totals,6259,empP,0.0479,0.0257,1.87
totals,6259,parP,0.0406,0.0256,1.58
totals,6259,expMargin,-0.0357,0.0253,-1.41
h2h,4504,empP,0.0322,0.0316,1.02
h2h,4504,parP,0.0284,0.0315,0.9
h2h,4504,expMargin,0.0338,0.0316,1.07
spreads,5685,empP,-0.0044,0.0407,-0.11
spreads,5685,parP,-0.0044,0.0407,-0.11
spreads,5685,expMargin,-0.0032,0.0273,-0.12
