bucket,n,predEdgePct,realEdgePct,gapPct,market,spec
<0%,15852,-2.926345357595067,-4.089935535133321,1.1635901775382544,batter_hits,gbm
0-1%,2371,0.4936626667098351,-4.198259085804095,4.69192175251393,batter_hits,gbm
1-2%,2134,1.4953692085145918,-2.994897371030375,4.490266579544967,batter_hits,gbm
2-3%,1880,2.4941305267940392,0.285386733051196,2.208743793742843,batter_hits,gbm
3-5%,3012,3.964685459604303,-1.0843949875701469,5.0490804471744495,batter_hits,gbm
5-7%,2585,5.9781952548479556,5.950079290415471,0.028115964432484652,batter_hits,gbm
7-10%,2925,8.380479574190998,2.1542054420048258,6.226274132186172,batter_hits,gbm
10%+,4554,15.804396345640829,6.5980959172929285,9.2063004283479,batter_hits,gbm
<0%,12815,-2.2899203645589137,-4.113314081530763,1.8233937169718497,batter_hits,price
0-1%,6747,0.5043645766091894,1.5284052654033038,-1.0240406887941145,batter_hits,price
1-2%,6785,1.4891210334743088,2.7516774437959364,-1.2625564103216276,batter_hits,price
2-3%,4506,2.447807697084622,1.5638323000072518,0.8839753970773703,batter_hits,price
3-5%,3258,3.778443571245258,1.1275984439646813,2.6508451272805766,batter_hits,price
5-7%,818,5.773897171786854,2.458379902180202,3.315517269606652,batter_hits,price
7-10%,325,8.057964732634373,2.542506301038426,5.515458431595947,batter_hits,price
10%+,59,11.675846279270115,23.11864406779666,-11.442797788526544,batter_hits,price
<0%,16799,-2.8514608901991623,-4.2639311081596585,1.4124702179604962,batter_hits,price+gbm+iso
0-1%,2798,0.502693683975169,-1.8698005631095633,2.3724942470847323,batter_hits,price+gbm+iso
1-2%,2665,1.4904266025548258,-4.195672702945747,5.686099305500573,batter_hits,price+gbm+iso
2-3%,2528,2.4901060836326847,0.42879292919214046,2.061313154440544,batter_hits,price+gbm+iso
3-5%,4065,3.9584192683813533,2.660105927830253,1.2983133405511005,batter_hits,price+gbm+iso
5-7%,2894,5.931234138050125,4.611452501993133,1.3197816360569918,batter_hits,price+gbm+iso
7-10%,2369,8.293833538649134,7.298539796145234,0.9952937425038995,batter_hits,price+gbm+iso
10%+,1195,12.484680838701625,15.191177386811633,-2.7064965481100085,batter_hits,price+gbm+iso
<0%,15969,-2.6817649670331067,-3.2042387577041103,0.5224737906710035,batter_rbis,gbm
0-1%,2317,0.47981807088607026,-3.246311764058394,3.726129834944464,batter_rbis,gbm
1-2%,1970,1.4846893563058725,-2.513106494186831,3.997795850492704,batter_rbis,gbm
2-3%,1437,2.473583556524302,-4.121904326544302,6.5954878830686035,batter_rbis,gbm
3-5%,1981,3.887289433932491,0.102360166527562,3.784929267404929,batter_rbis,gbm
5-7%,1070,5.938428542624959,-3.7527183888825197,9.691146931507479,batter_rbis,gbm
7-10%,878,8.381986695686221,-0.24653824369187016,8.62852493937809,batter_rbis,gbm
10%+,1324,36.62607623196551,3.68639434395166,32.93968188801385,batter_rbis,gbm
<0%,20904,-1.7641994670950183,-1.7902983453487138,0.0260988782536955,batter_rbis,price
0-1%,2867,0.4541941256550122,0.7213049080140961,-0.26711078235908386,batter_rbis,price
1-2%,1461,1.4521383245661654,-2.579771123257468,4.031909447823633,batter_rbis,price
2-3%,718,2.4377138965109126,-1.1835810128815838,3.621294909392496,batter_rbis,price
3-5%,576,3.779795429921715,-13.202253182996088,16.982048612917804,batter_rbis,price
5-7%,155,5.761234446413129,-2.331842433737449,8.093076880150578,batter_rbis,price
7-10%,44,8.018780318226083,22.476218989254626,-14.457438671028543,batter_rbis,price
10%+,221,211.3984137623211,-16.412661867309186,227.8110756296303,batter_rbis,price
<0%,19726,-2.4776312660628474,-3.423469082894531,0.9458378168316837,batter_rbis,price+gbm+iso
0-1%,2586,0.4709902382962326,1.4774011730382874,-1.006410934742055,batter_rbis,price+gbm+iso
1-2%,1620,1.4569143249153607,0.3506853009536992,1.1062290239616615,batter_rbis,price+gbm+iso
2-3%,981,2.4579540696169704,3.746998275036119,-1.2890442054191484,batter_rbis,price+gbm+iso
3-5%,982,3.7981976217729696,1.765586984806163,2.0326106369668064,batter_rbis,price+gbm+iso
5-7%,442,5.855937158160473,6.467719419627703,-0.6117822614672299,batter_rbis,price+gbm+iso
7-10%,269,8.208871033039314,6.417069967988234,1.7918010650510796,batter_rbis,price+gbm+iso
10%+,340,106.58872479027004,-8.47823100352511,115.06695579379515,batter_rbis,price+gbm+iso
<0%,257,-1.526514545901971,-2.382153648496501,0.85563910259453,totals,gbm
0-1%,94,0.48329036154008836,-8.832588860681104,9.315879222221193,totals,gbm
1-2%,102,1.4686889693738545,-10.778699284178131,12.247388253551986,totals,gbm
2-3%,70,2.532064101564794,8.617425776635939,-6.085361675071145,totals,gbm
3-5%,133,3.891008252408562,7.707267330553432,-3.8162590781448698,totals,gbm
5-7%,144,5.970053043256614,-5.019999048763993,10.990052092020608,totals,gbm
7-10%,232,8.49847542741595,-15.638229449803188,24.136704877219138,totals,gbm
10%+,1308,23.32454493392831,-4.767691115516481,28.09223604944479,totals,gbm
<0%,1526,-1.60159284922873,0.2001581353397882,-1.801750984568518,totals,price
0-1%,335,0.46208839592072387,-8.841536202988653,9.303624598909376,totals,price
1-2%,185,1.488167924486347,-6.344870145494797,7.833038069981144,totals,price
2-3%,115,2.4635919758533764,-10.42106636396223,12.884658339815607,totals,price
3-5%,121,3.8505821984752617,-6.732185335401167,10.582767533876428,totals,price
5-7%,53,5.850028587976916,0.8831544809275255,4.9668741070493905,totals,price
7-10%,5,7.5265834992699485,-23.12659303313506,30.653176532405006,totals,price
10%+,0,,,,totals,price
<0%,586,-1.6090153646915073,-0.8376252961657485,-0.7713900685257588,totals,price+gbm+iso
0-1%,219,0.5032907980442911,-11.853217255047307,12.356508053091598,totals,price+gbm+iso
1-2%,175,1.491040734217996,-8.787119193571275,10.278159927789272,totals,price+gbm+iso
2-3%,182,2.538852377147209,-1.1702876843558565,3.7091400615030654,totals,price+gbm+iso
3-5%,319,3.9025902742618754,-1.7034397203577807,5.606029994619656,totals,price+gbm+iso
5-7%,253,5.956852243819251,-15.166093532300465,21.122945776119714,totals,price+gbm+iso
7-10%,246,8.375874322778989,-8.669085545798438,17.04495986857743,totals,price+gbm+iso
10%+,360,15.36567199832864,5.41274917028628,9.952922828042361,totals,price+gbm+iso
<0%,187,-1.3033795005488613,-9.002041093190869,7.698661592642007,spreads,gbm
0-1%,79,0.49957534379165636,4.408293824334508,-3.908718480542851,spreads,gbm
1-2%,85,1.5000007813234644,1.9818119868560728,-0.4818112055326085,spreads,gbm
2-3%,92,2.5090030933763385,8.233525880829418,-5.72452278745308,spreads,gbm
3-5%,172,4.062645432920531,-10.650789759624713,14.713435192545244,spreads,gbm
5-7%,160,6.029913154410836,0.22391689770886042,5.805996256701976,spreads,gbm
7-10%,232,8.566235414536811,-2.122147378751597,10.688382793288408,spreads,gbm
10%+,1113,23.327745308054656,-5.107565305810917,28.435310613865575,spreads,gbm
<0%,1591,-1.3737437735954972,-2.8197885288320537,1.4460447552365565,spreads,price
0-1%,307,0.4570352909452205,-3.9146073796350724,4.371642670580293,spreads,price
1-2%,161,1.4483414336189837,0.09066738854585205,1.3576740450731317,spreads,price
2-3%,52,2.3379810290003022,9.525253536183337,-7.187272507183035,spreads,price
3-5%,7,3.344407152825114,1.440054035798742,1.9043531170263719,spreads,price
5-7%,0,,,,spreads,price
7-10%,2,7.95981761296731,-100.0,107.95981761296731,spreads,price
10%+,0,,,,spreads,price
<0%,340,-1.3262841932121952,-20.774678501551954,19.448394308339758,spreads,price+gbm+iso
0-1%,175,0.4899995342197151,2.003701491356522,-1.5137019571368069,spreads,price+gbm+iso
1-2%,173,1.4897461420398572,-0.21431934524628926,1.7040654872861465,spreads,price+gbm+iso
2-3%,162,2.5116543282133823,2.791762781650856,-0.2801084534374736,spreads,price+gbm+iso
3-5%,252,3.8949025954642607,-11.979131015722167,15.874033611186428,spreads,price+gbm+iso
5-7%,234,6.004226558573013,10.128086038233036,-4.123859479660023,spreads,price+gbm+iso
7-10%,242,8.39203741190698,-0.11927562171933263,8.511313033626312,spreads,price+gbm+iso
