market,member,n,skill_base,skill_hands,d_skill,d_logloss
batter_hits,compact,35313,0.0899,0.0904,0.0005,-0.00034
batter_hits,box,35313,0.09,0.0904,0.0004,-0.00027
batter_hits,gbm,35313,0.0895,0.0904,0.0008,-0.00057
batter_hits,offset,35313,0.0901,0.0905,0.0005,-0.00031
batter_hits,iso,35313,0.0858,0.087,0.0012,-0.00082
batter_rbis,compact,26946,0.0109,0.011,0.0002,-0.0001
batter_rbis,box,26946,0.0115,0.0114,-0.0,2e-05
batter_rbis,gbm,26946,0.0101,0.0106,0.0005,-0.00032
batter_rbis,offset,26946,0.0116,0.0114,-0.0002,0.00011
batter_rbis,iso,26946,0.0032,0.0058,0.0026,-0.00156
totals,compact,2340,-0.0052,-0.0052,0.0,0.0
totals,box,2340,-0.0331,-0.0331,0.0,0.0
totals,gbm,2340,-0.0398,-0.0398,0.0,0.0
totals,offset,2340,-0.0331,-0.0331,0.0,0.0
totals,iso,2340,-0.0201,-0.0201,0.0,0.0
spreads,compact,2120,0.0543,0.0543,0.0,0.0
spreads,box,2120,0.0336,0.0336,0.0,0.0
spreads,gbm,2120,0.0246,0.0246,0.0,0.0
spreads,offset,2120,0.0335,0.0335,0.0,0.0
spreads,iso,2120,-0.0044,-0.0044,0.0,0.0
batter_total_bases,compact,33111,0.0295,0.03,0.0005,-0.00035
batter_total_bases,box,33111,0.0294,0.0297,0.0003,-0.00022
batter_total_bases,gbm,33111,0.0288,0.0304,0.0016,-0.00108
batter_total_bases,offset,33111,0.0294,0.0297,0.0003,-0.00022
batter_total_bases,iso,33111,0.0242,0.0252,0.001,-0.00067
batter_home_runs,compact,20838,0.0265,0.0268,0.0003,-0.00012
batter_home_runs,box,20838,0.0258,0.0275,0.0017,-0.00062
batter_home_runs,gbm,20838,0.0254,0.0262,0.0008,-0.0003
batter_home_runs,offset,20838,0.0254,0.027,0.0016,-0.00058
batter_home_runs,iso,20838,0.0211,0.022,0.0009,-0.00034
pitcher_strikeouts,compact,7276,0.076,0.0759,-0.0002,0.00011
pitcher_strikeouts,box,7276,0.0695,0.0682,-0.0013,0.00087
pitcher_strikeouts,gbm,7276,0.0651,0.0656,0.0005,-0.00038
pitcher_strikeouts,offset,7276,0.0695,0.0681,-0.0014,0.00097
pitcher_strikeouts,iso,7276,0.0557,0.0552,-0.0005,0.00038
h2h,compact,1680,0.0199,0.0199,0.0,0.0
h2h,box,1680,0.0073,0.0073,0.0,0.0
h2h,gbm,1680,0.0033,0.0033,0.0,0.0
h2h,offset,1680,0.0074,0.0074,0.0,0.0
h2h,iso,1680,-0.0307,-0.0307,0.0,0.0
batter_runs_scored,compact,11612,0.0153,0.0149,-0.0004,0.00029
batter_runs_scored,box,11612,0.0134,0.0133,-0.0,2e-05
batter_runs_scored,gbm,11612,0.0126,0.0121,-0.0005,0.00034
batter_runs_scored,offset,11612,0.0134,0.0133,-0.0001,4e-05
batter_runs_scored,iso,11612,0.0071,0.0025,-0.0046,0.00307
pitcher_outs,compact,2501,0.0142,0.0143,0.0001,-9e-05
pitcher_outs,box,2501,-0.0017,-0.0043,-0.0026,0.0018
pitcher_outs,gbm,2501,0.0036,-0.0014,-0.005,0.00343
pitcher_outs,offset,2501,-0.0014,-0.0039,-0.0026,0.00178
pitcher_outs,iso,2501,-0.0149,-0.0212,-0.0063,0.00437
batter_strikeouts,compact,10406,0.0516,0.0517,0.0,-3e-05
batter_strikeouts,box,10406,0.0506,0.0501,-0.0004,0.0003
batter_strikeouts,gbm,10406,0.0488,0.0495,0.0007,-0.00048
batter_strikeouts,offset,10406,0.0506,0.0501,-0.0005,0.00037
batter_strikeouts,iso,10406,0.0441,0.0398,-0.0043,0.00298
