market,price,gbm,hyb_gbm,w_median,w_last,hyb_vs_price,hyb_vs_gbm
batter_hits,0.0895,0.0895,0.0903,0.5,0.55,0.0008,0.0008
batter_rbis,0.0086,0.0101,0.0085,0.7,0.6,-0.0001,-0.0016
totals,-0.0019,-0.0398,-0.003,0.0,0.05,-0.0011,0.0368
spreads,0.055,0.0246,0.0547,0.0,0.0,-0.0003,0.0301
batter_total_bases,0.029,0.0288,0.0296,0.45,0.5,0.0006,0.0008
batter_home_runs,0.0261,0.0254,0.0267,0.5,0.35,0.0006,0.0013
pitcher_strikeouts,0.0776,0.0651,0.0779,0.15,0.2,0.0003,0.0128
h2h,0.0218,0.0033,0.0226,0.2,0.2,0.0008,0.0193
batter_runs_scored,0.015,0.0126,0.0157,0.3,0.25,0.0007,0.0031
pitcher_outs,0.0195,0.0036,0.0197,0.2,0.2,0.0002,0.0161
batter_strikeouts,0.0499,0.0488,0.0507,0.2,0.5,0.0008,0.0019
