market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,94209,-9.68,4.6,1494,3.66,-0.61,54.7,PASS,1550,3.24,PASS,580,0.3,2025-05-19,914,59.85,5.79,0.17,-0.17,53.0,622,PASS,graded n=914 >= 500 and ROI 5.79% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,71864,-12.86,-3.03,2137,0.83,-2.43,17.7,PASS,2267,0.56,PASS,1305,1.08,2025-06-18,832,62.02,0.43,-5.08,-4.96,3.5,468,PASS,graded n=832 >= 500 and ROI 0.43% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_pass,both,6259,-5.71,-9.97,1317,-1.2,-6.06,-15.8,FAIL,1712,-2.9,FAIL,805,0.94,2025-06-08,512,49.8,-4.58,-12.72,-12.72,-23.4,512,FAIL,graded n=512 >= 500 but ROI -4.58% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_pass,over,5685,-2.64,2.85,1224,3.76,-0.82,46.0,PASS,1342,3.29,PASS,560,6.6,2025-06-10,664,61.75,1.37,-4.62,-4.62,9.1,664,PASS,graded n=664 >= 500 and ROI 1.37% > 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,under,88372,-11.06,1.63,6526,2.33,0.24,151.9,PASS,6794,2.35,PASS,2828,1.42,2025-06-15,3698,60.33,3.02,0.35,0.08,111.8,1212,PASS,graded n=3698 >= 500 and ROI 3.02% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,price+compact+gbm,0.02,55,ev_filtered,both,57013,-16.07,3.87,28,-21.8,-50.35,-6.1,FAIL,31,-24.29,FAIL,14,-0.6,2025-05-11,14,35.71,-43.0,-77.87,-77.87,-6.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -77.87% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,price+compact+gbm,0.02,55,ev_filtered,under,19447,-4.94,-15.03,469,-7.74,-16.59,-36.3,FAIL,512,-8.23,FAIL,379,-8.94,2025-06-30,90,55.56,-2.66,-21.02,-20.99,-2.4,88,FAIL,graded n=90 < 500 and ROI CI lower bound -21.02% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_pass,both,4504,-0.16,-6.32,1458,-0.69,-5.1,-10.1,FAIL,1610,-0.47,FAIL,770,0.79,2025-06-14,688,57.99,-2.35,-8.49,-8.49,-16.2,688,FAIL,graded n=688 >= 500 but ROI -2.35% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,price+compact+gbm,0.02,55,ev_filtered,under,31012,-11.52,-0.47,4936,0.31,-2.06,15.3,PASS,5262,0.02,PASS,3491,1.39,2024-06-28,1445,57.85,-2.29,-6.65,-7.55,-33.1,328,FAIL,graded n=1445 >= 500 but ROI -2.29% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,price+compact+gbm,0.02,55,ev_filtered,both,6686,-3.44,0.36,1200,0.28,-4.32,3.3,PASS,1244,0.92,PASS,768,0.86,2025-07-07,432,58.56,-0.75,-8.72,-8.69,-3.2,382,FAIL,graded n=432 < 500 and ROI CI lower bound -8.72% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,27835,-12.13,1.61,1829,4.32,0.75,79.0,PASS,1892,4.92,PASS,1354,4.25,2024-06-19,475,62.95,4.5,-2.56,-2.38,21.4,236,FAIL,graded n=475 < 500 and ROI CI lower bound -2.56% <= 0%
