market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,121450,121450,5390,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_filtered,under,121450,-8.55,-15.49,1089,7.3,2.35,79.5,PASS,1121,6.68,PASS,527,7.57,2025-08-11,562,61.39,7.13,-0.03,0.48,40.0,446,PASS,graded n=562 >= 500 and ROI 7.13% > 0%
batter_rbis,97313,97313,5389,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_filtered,both,97313,-11.34,-13.15,860,0.27,-5.13,2.3,PASS,894,0.01,PASS,597,0.41,2025-09-09,263,62.36,0.06,-9.56,-9.25,0.2,162,FAIL,graded n=263 < 500 and ROI CI lower bound -9.56% <= 0%
totals,8597,8246,5289,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_pass,both,8246,-4.03,0.0,600,-2.76,-10.63,-16.6,FAIL,785,-3.89,FAIL,425,-0.2,2025-08-25,175,48.57,-7.27,-21.58,-21.58,-12.7,175,FAIL,graded n=175 < 500 and ROI CI lower bound -21.58% <= 0%
spreads,7497,7465,5391,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_pass,over,7465,-2.93,-0.13,1203,0.07,-4.54,0.9,PASS,1301,0.6,PASS,635,5.64,2025-08-25,569,58.7,-6.44,-13.0,-13.0,-36.7,569,FAIL,graded n=569 >= 500 but ROI -6.44% <= 0%
batter_total_bases,118053,118053,5390,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_filtered,under,118053,-9.63,-1.53,3034,1.33,-1.68,40.4,PASS,3125,1.56,PASS,1819,3.58,2025-09-03,1215,59.09,-2.01,-6.71,-6.42,-24.4,680,FAIL,graded n=1215 >= 500 but ROI -2.01% <= 0%
batter_home_runs,59693,59693,3507,2024-04-01,2026-06-18,gbm+offset,0.04,60,mostBooks,ev_filtered,both,59693,-15.77,0.0,20,-5.71,-38.16,-1.1,FAIL,22,-14.28,FAIL,10,-6.49,2025-05-26,10,60.0,-4.93,-52.86,-52.86,-0.5,10,FAIL,graded n=10 < 500 and ROI CI lower bound -52.86% <= 0%
pitcher_strikeouts,24616,24616,4858,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_filtered,both,24616,-5.81,0.0,1547,1.94,-2.26,30.0,PASS,1707,1.41,PASS,843,3.48,2025-08-29,704,58.95,-0.33,-6.47,-6.34,-2.3,653,FAIL,graded n=704 >= 500 but ROI -0.33% <= 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_pass,both,5956,-0.63,-4.93,1212,-0.44,-4.77,-5.3,FAIL,1312,-0.36,FAIL,738,0.62,2025-08-29,474,60.76,-1.8,-9.08,-9.08,-8.5,474,FAIL,graded n=474 < 500 and ROI CI lower bound -9.08% <= 0%
batter_runs_scored,55211,55211,2969,2024-04-01,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_filtered,both,55211,-11.27,-4.4,2702,0.85,-2.22,23.1,PASS,2814,0.57,PASS,1980,0.35,2025-04-25,722,62.19,2.22,-3.67,-4.6,16.0,278,PASS,graded n=722 >= 500 and ROI 2.22% > 0%
pitcher_outs,10251,10123,4403,2024-04-02,2026-09-16,gbm+offset,0.04,60,mostBooks,ev_filtered,over,10123,-3.79,-1.32,801,2.95,-2.76,23.6,PASS,822,3.16,PASS,412,9.0,2026-04-08,389,56.3,-3.46,-11.99,-11.75,-13.4,357,FAIL,graded n=389 < 500 and ROI CI lower bound -11.99% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm+offset,0.04,60,mostBooks,ev_filtered,both,27835,-12.13,-0.39,1180,6.0,1.3,70.8,PASS,1209,6.28,PASS,743,9.09,2024-06-19,437,60.87,0.75,-6.95,-6.93,3.3,266,FAIL,graded n=437 < 500 and ROI CI lower bound -6.95% <= 0%
