market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_filtered,both,94209,-9.68,1.66,2709,8.74,5.62,236.8,PASS,2860,7.89,PASS,987,7.38,2025-05-19,1722,61.32,9.52,5.3,5.42,164.0,959,PASS,graded n=1722 >= 500 and ROI 9.52% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_filtered,under,71864,-12.86,-2.13,2922,0.95,-1.81,27.9,PASS,3088,0.58,PASS,1809,1.29,2025-06-18,1113,62.08,0.4,-4.06,-4.69,4.5,588,PASS,graded n=1113 >= 500 and ROI 0.40% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_pass,both,6259,-5.71,-9.97,981,-1.15,-7.21,-11.3,FAIL,1287,-4.66,FAIL,554,0.4,2025-06-08,427,50.59,-3.16,-12.4,-12.4,-13.5,427,FAIL,graded n=427 < 500 and ROI CI lower bound -12.40% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_pass,over,5685,-2.64,2.85,1154,3.73,-0.94,43.1,PASS,1287,3.24,PASS,593,7.16,2025-06-10,561,60.96,0.12,-6.75,-6.75,0.6,561,PASS,graded n=561 >= 500 and ROI 0.12% > 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_filtered,under,88372,-11.06,0.97,10074,2.42,0.81,243.4,PASS,10581,2.44,PASS,4375,0.89,2025-06-15,5699,60.33,3.59,1.47,1.33,204.6,1400,PASS,graded n=5699 >= 500 and ROI 3.59% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,price+gbm+iso,0.01,55,maxEv,ev_filtered,both,57013,-16.07,8.77,24,-23.83,-55.65,-5.7,FAIL,27,-26.46,FAIL,10,19.91,2025-05-11,14,28.57,-55.07,-89.1,-89.1,-7.7,14,FAIL,graded n=14 < 500 and ROI CI lower bound -89.10% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,price+gbm+iso,0.01,55,maxEv,ev_filtered,both,19447,-4.94,4.18,1531,1.39,-2.82,21.3,PASS,1623,1.42,PASS,887,2.27,2025-06-30,644,58.07,0.19,-6.3,-6.33,1.2,556,PASS,graded n=644 >= 500 and ROI 0.19% > 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_pass,over,4504,-0.16,-6.15,982,-0.9,-6.27,-8.8,FAIL,1095,0.97,PASS,579,0.64,2025-06-14,403,56.58,-3.11,-11.43,-11.43,-12.5,403,FAIL,graded n=403 < 500 and ROI CI lower bound -11.43% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,price+gbm+iso,0.01,55,maxEv,ev_filtered,both,31012,-11.52,-0.57,6174,0.58,-1.54,35.8,PASS,6649,0.25,PASS,3957,2.33,2024-06-28,2217,58.23,-2.55,-6.0,-6.76,-56.5,455,FAIL,graded n=2217 >= 500 but ROI -2.55% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,price+gbm+iso,0.01,55,maxEv,ev_filtered,both,6686,-3.44,0.22,1141,-0.05,-5.26,-0.6,FAIL,1200,-0.28,FAIL,741,0.68,2025-07-07,400,57.5,-1.41,-9.65,-9.53,-5.6,354,FAIL,graded n=400 < 500 and ROI CI lower bound -9.65% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,price+gbm+iso,0.01,55,maxEv,ev_filtered,both,27835,-12.13,1.42,2219,5.53,2.27,122.7,PASS,2310,5.86,PASS,1350,6.57,2024-06-19,869,62.95,3.92,-1.5,-0.9,34.0,399,PASS,graded n=869 >= 500 and ROI 3.92% > 0%
