market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,94209,-9.68,4.6,1626,4.8,0.64,78.0,PASS,1687,4.54,PASS,614,0.99,2025-05-19,1012,59.78,7.11,1.67,1.18,71.9,666,PASS,graded n=1012 >= 500 and ROI 7.11% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,71864,-12.86,-3.03,2214,0.82,-2.71,18.2,PASS,2339,0.51,PASS,1381,1.51,2025-06-18,833,60.86,-0.32,-5.99,-5.71,-2.7,484,FAIL,graded n=833 >= 500 but ROI -0.32% <= 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_pass,both,6259,-5.71,-9.97,1223,0.05,-5.11,0.6,PASS,1538,-2.65,FAIL,774,2.95,2025-06-08,449,49.89,-4.95,-14.13,-14.13,-22.2,449,FAIL,graded n=449 < 500 and ROI CI lower bound -14.13% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_pass,over,5685,-2.64,2.85,1258,3.55,-0.75,44.7,PASS,1379,2.92,PASS,557,8.04,2025-06-10,701,60.91,-0.01,-6.1,-6.1,-0.1,701,FAIL,graded n=701 >= 500 but ROI -0.01% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,88372,-11.06,1.63,5565,1.6,-0.57,89.1,PASS,5795,1.5,PASS,2514,0.76,2025-06-15,3051,59.69,2.29,-0.73,-0.9,69.9,1125,PASS,graded n=3051 >= 500 and ROI 2.29% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,price+compact+gbm,0.02,55,ev_filtered,both,57013,-16.07,3.87,28,-21.8,-50.35,-6.1,FAIL,31,-24.29,FAIL,14,-0.6,2025-05-11,14,35.71,-43.0,-77.87,-77.87,-6.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -77.87% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,price+compact+gbm,0.02,55,ev_filtered,under,19447,-4.94,-15.03,416,-8.68,-17.54,-36.1,FAIL,441,-8.01,FAIL,355,-8.28,2025-06-30,61,50.82,-11.01,-32.76,-33.93,-6.7,59,FAIL,graded n=61 < 500 and ROI CI lower bound -32.76% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_pass,both,4504,-0.16,-6.32,1441,-2.49,-6.82,-35.8,FAIL,1583,-1.93,FAIL,767,0.28,2025-06-14,674,56.08,-5.63,-12.04,-12.04,-38.0,674,FAIL,graded n=674 >= 500 but ROI -5.63% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,price+compact+gbm,0.02,55,ev_filtered,under,31012,-11.52,-0.47,4936,0.31,-2.06,15.3,PASS,5262,0.02,PASS,3491,1.39,2024-06-28,1445,57.85,-2.29,-6.65,-7.55,-33.1,328,FAIL,graded n=1445 >= 500 but ROI -2.29% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,price+compact+gbm,0.02,55,ev_filtered,both,6686,-3.44,0.36,1145,-0.1,-4.91,-1.2,FAIL,1186,-0.0,FAIL,756,2.22,2025-07-07,389,56.81,-4.63,-12.94,-12.98,-18.0,351,FAIL,graded n=389 < 500 and ROI CI lower bound -12.94% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,price+compact+gbm,0.02,55,ev_filtered,both,27835,-12.13,1.61,1830,4.26,0.36,78.0,PASS,1893,4.87,PASS,1354,4.25,2024-06-19,476,62.82,4.28,-3.03,-2.23,20.4,236,FAIL,graded n=476 < 500 and ROI CI lower bound -3.03% <= 0%
