market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,both,94209,-9.68,-11.32,1491,9.44,5.17,140.8,PASS,1558,8.34,PASS,590,5.37,2025-05-19,901,63.6,12.11,6.38,5.77,109.1,601,PASS,graded n=901 >= 500 and ROI 12.11% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,both,71864,-12.86,-0.74,1763,2.58,-1.18,45.5,PASS,1860,1.99,PASS,1097,3.93,2025-06-18,666,62.16,0.37,-5.59,-5.93,2.5,424,PASS,graded n=666 >= 500 and ROI 0.37% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,over,6259,-5.71,0.0,496,1.74,-6.66,8.6,FAIL,714,0.08,PASS,316,2.78,2025-06-08,180,51.67,-0.1,-14.19,-14.19,-0.2,180,FAIL,graded n=180 < 500 and ROI CI lower bound -14.19% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,plus,5685,-2.64,0.44,1658,3.63,-0.13,60.2,PASS,1976,3.27,PASS,764,4.49,2025-06-10,894,63.2,2.9,-2.22,-2.22,26.0,894,PASS,graded n=894 >= 500 and ROI 2.90% > 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,88372,-11.06,1.7,3303,5.29,2.47,174.8,PASS,3499,5.08,PASS,1869,3.29,2025-06-15,1434,63.95,7.9,3.67,3.03,113.2,673,PASS,graded n=1434 >= 500 and ROI 7.90% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,gbm,0.04,60,maxEv,ev_filtered,both,57013,-16.07,0.0,29,-19.23,-46.9,-5.6,FAIL,32,-21.88,FAIL,14,-0.6,2025-05-11,15,40.0,-36.62,-78.41,-78.41,-5.5,15,FAIL,graded n=15 < 500 and ROI CI lower bound -78.41% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,gbm,0.04,60,maxEv,ev_filtered,over,19447,-4.94,0.0,953,4.95,-0.67,47.1,PASS,1181,4.69,PASS,454,7.67,2025-06-30,499,60.92,2.47,-4.89,-4.46,12.3,432,FAIL,graded n=499 < 500 and ROI CI lower bound -4.89% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,over,4504,-0.16,-6.48,962,2.04,-3.02,19.7,PASS,1079,2.13,PASS,505,5.32,2025-06-14,457,58.21,-1.57,-9.26,-9.26,-7.2,457,FAIL,graded n=457 < 500 and ROI CI lower bound -9.26% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,gbm,0.04,60,maxEv,ev_filtered,under,31012,-11.52,2.33,4008,1.72,-0.87,69.1,PASS,4283,1.0,PASS,2403,2.45,2024-06-28,1605,61.12,0.63,-3.45,-4.55,10.1,430,PASS,graded n=1605 >= 500 and ROI 0.63% > 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,gbm,0.04,60,maxEv,ev_filtered,over,6686,-3.44,-0.57,621,3.62,-3.14,22.5,PASS,654,3.52,PASS,370,4.65,2025-07-07,251,59.36,2.09,-9.13,-7.99,5.2,234,FAIL,graded n=251 < 500 and ROI CI lower bound -9.13% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,both,27835,-12.13,-0.39,1394,6.3,2.42,87.8,PASS,1444,6.0,PASS,765,9.72,2024-06-19,629,61.84,2.14,-4.39,-3.47,13.5,327,PASS,graded n=629 >= 500 and ROI 2.14% > 0%
