market,candidates,graded,events,fromDate,toDate,spec,override,globalSpec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,120269,-9.24,-11.76,1906,10.98,7.14,209.4,PASS,1969,10.71,PASS,837,10.48,2025-08-08,1069,62.96,11.38,6.41,5.77,121.7,755,PASS,graded n=1069 >= 500 and ROI 11.38% > 0%
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,96439,-12.06,-15.33,1614,2.24,-1.75,36.2,PASS,1670,2.18,PASS,1101,1.39,2025-09-06,513,64.72,4.07,-3.17,-2.67,20.9,350,PASS,graded n=513 >= 500 and ROI 4.07% > 0%
totals,8653,8299,5287,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_pass,both,8299,-4.11,0.0,1140,5.54,-0.45,63.2,PASS,1564,3.77,PASS,700,4.25,2025-08-27,440,55.68,7.61,-1.03,-1.03,33.5,440,FAIL,graded n=440 < 500 and ROI CI lower bound -1.03% <= 0%
spreads,7489,7457,5392,2024-04-01,2026-09-16,price,price,gbm,0.04,60,maxEv,ev_pass,both,7457,-2.84,-0.8,2463,-0.8,-3.96,-19.6,FAIL,3455,-0.31,FAIL,1076,1.92,2025-08-25,1387,61.43,-2.91,-6.82,-6.82,-40.3,1387,FAIL,graded n=1387 >= 500 but ROI -2.91% <= 0%
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,116642,-10.4,3.87,3920,5.13,2.58,200.9,PASS,4083,4.99,PASS,2442,4.07,2025-08-31,1478,63.13,6.87,2.37,2.2,101.5,755,PASS,graded n=1478 >= 500 and ROI 6.87% > 0%
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,59338,-15.88,0.0,28,-16.35,-44.6,-4.6,FAIL,30,-21.92,FAIL,12,3.25,2025-05-24,16,43.75,-31.04,-70.08,-70.08,-5.0,16,FAIL,graded n=16 < 500 and ROI CI lower bound -70.08% <= 0%
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,24291,-5.82,0.0,974,2.63,-2.52,25.6,PASS,997,2.07,PASS,512,5.01,2025-08-25,462,57.79,-0.02,-8.02,-7.71,-0.1,429,FAIL,graded n=462 < 500 and ROI CI lower bound -8.02% <= 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,price,price,gbm,0.04,60,maxEv,ev_pass,over,5956,-0.54,-7.12,762,-7.12,-12.37,-54.2,FAIL,796,-7.58,FAIL,465,-4.99,2025-08-29,297,57.24,-10.44,-19.23,-19.23,-31.0,297,FAIL,graded n=297 < 500 and ROI CI lower bound -19.23% <= 0%
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,53348,-12.32,-3.68,5132,0.32,-1.84,16.5,PASS,5335,0.16,PASS,3133,0.64,2025-04-19,1999,60.93,-0.18,-3.6,-3.94,-3.5,656,FAIL,graded n=1999 >= 500 but ROI -0.18% <= 0%
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,9821,-4.02,2.53,1723,1.6,-2.32,27.5,PASS,1847,1.6,PASS,1022,2.3,2026-04-01,701,58.06,0.57,-6.09,-5.95,4.0,608,PASS,graded n=701 >= 500 and ROI 0.57% > 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,27835,-12.13,-0.39,1392,6.15,2.09,85.7,PASS,1447,6.08,PASS,771,8.86,2024-06-19,621,62.16,2.8,-3.28,-3.17,17.4,333,PASS,graded n=621 >= 500 and ROI 2.80% > 0%
