Market,Priced candidates,Graded,Games,From,To,Side policy,Flat-bet ROI %,Price-recalibration ROI %,Full OOS board n,Full OOS board ROI %,Full OOS ROI 95% CI low,Full OOS units,Gate (full OOS),Verdict window from,Verdict board n,Verdict win %,Verdict ROI %,Verdict ROI 95% CI low,Verdict game-clustered CI low,Verdict units,Gate (verdict window),Robustness variants passed (of 6),Final status
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,both,-9.68,4.6,2415,8.95,5.6,216.0,PASS,2025-05-19,1521,61.08,10.57,5.95,5.77,160.8,PASS,6,PASS
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,both,-12.86,-3.03,2091,2.03,-1.39,42.5,PASS,2025-06-18,709,60.93,-0.76,-6.75,-6.96,-5.4,FAIL,6,PASS_WITH_RESTRICTIONS
totals,6530,6259,3865,2024-04-01,2026-07-17,under,-5.71,-9.05,544,3.94,-4.38,21.4,PASS,2025-06-08,240,53.33,2.99,-9.34,-9.34,7.2,FAIL,2,PASS_WITH_RESTRICTIONS
spreads,5714,5685,3941,2024-04-01,2026-07-17,plus,-2.64,0.58,1877,1.06,-2.46,19.9,PASS,2025-06-10,1106,60.85,-0.18,-4.72,-4.72,-2.0,FAIL,4,PASS_WITH_RESTRICTIONS
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,under,-11.06,1.63,7039,3.38,1.38,237.7,PASS,2025-06-15,3795,59.89,4.27,1.51,1.57,162.0,PASS,6,PASS
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,both,-16.07,3.87,23,-25.49,-59.24,-5.9,FAIL,2025-05-11,14,35.71,-44.16,-78.2,-78.2,-6.2,FAIL,1,VETO
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,over,-4.94,-10.0,624,4.35,-2.52,27.2,PASS,2025-06-30,334,57.49,0.21,-9.11,-9.19,0.7,FAIL,6,PASS_WITH_RESTRICTIONS
h2h,4504,4504,3941,2024-04-01,2026-07-17,over,-0.16,-6.15,966,0.35,-5.27,3.4,PASS,2025-06-14,387,57.62,-0.7,-9.18,-9.18,-2.7,FAIL,3,PASS_WITH_RESTRICTIONS
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,both,-11.52,-0.47,5049,1.26,-1.02,63.5,PASS,2024-06-28,1623,58.53,-1.74,-6.02,-6.73,-28.2,FAIL,6,PASS_WITH_RESTRICTIONS
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,both,-3.44,0.36,960,4.21,-1.41,40.4,PASS,2025-07-07,306,58.5,0.69,-9.01,-8.97,2.1,FAIL,4,PASS_WITH_RESTRICTIONS
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,both,-12.13,1.61,1869,6.78,3.03,126.7,PASS,2024-06-19,720,63.47,5.84,0.16,0.25,42.1,PASS,6,PASS
