Market,Priced candidates,Graded,Games,From,To,Side policy,Flat-bet ROI %,Price-recalibration ROI %,Full OOS board n,Full OOS board ROI %,Full OOS ROI 95% CI low,Full OOS units,Gate (full OOS),Verdict window from,Verdict board n,Verdict win %,Verdict ROI %,Verdict ROI 95% CI low,Verdict game-clustered CI low,Verdict units,Gate (verdict window),Robustness variants passed (of 6),Final status
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,both,-9.68,-11.32,1429,12.65,8.11,180.8,PASS,2025-05-19,830,63.98,15.0,8.72,8.55,124.5,PASS,6,PASS
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,both,-12.86,-0.74,1712,6.89,3.24,117.9,PASS,2025-06-18,594,63.8,3.13,-3.24,-3.08,18.6,PASS,6,PASS
totals,6530,6259,3865,2024-04-01,2026-07-17,under,-5.71,-100.0,513,4.68,-3.97,24.0,PASS,2025-06-08,236,53.81,5.46,-7.02,-7.02,12.9,FAIL,3,PASS_WITH_RESTRICTIONS
spreads,5714,5685,3941,2024-04-01,2026-07-17,plus,-2.64,0.44,1607,1.49,-2.61,23.9,PASS,2025-06-10,854,61.36,-0.42,-5.86,-5.86,-3.6,FAIL,6,PASS_WITH_RESTRICTIONS
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,under,-11.06,1.7,3285,3.9,1.07,128.2,PASS,2025-06-15,1407,63.18,6.98,2.43,2.05,98.1,PASS,6,PASS
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,both,-16.07,0.0,28,-16.17,-44.42,-4.5,FAIL,2025-05-11,14,42.86,-32.1,-76.71,-76.71,-4.5,FAIL,0,VETO
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,over,-4.94,0.0,949,0.02,-5.37,0.2,PASS,2025-06-30,500,59.0,-0.92,-8.58,-8.37,-4.6,FAIL,5,PASS_WITH_RESTRICTIONS
h2h,4504,4504,3941,2024-04-01,2026-07-17,both,-0.16,-6.16,1241,-0.04,-4.87,-0.5,FAIL,2025-06-14,546,58.24,-1.22,-8.04,-8.04,-6.7,FAIL,2,FAIL_AFTER_ITERATION
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,both,-11.52,2.33,4202,1.56,-0.96,65.7,PASS,2024-06-28,1732,60.51,-0.34,-4.14,-5.0,-5.8,FAIL,5,PASS_WITH_RESTRICTIONS
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,over,-3.44,-0.57,599,2.12,-4.87,12.7,PASS,2025-07-07,264,58.71,0.58,-9.48,-9.79,1.5,FAIL,4,PASS_WITH_RESTRICTIONS
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,under,-12.13,-0.39,1417,7.4,3.13,104.9,PASS,2024-06-19,632,62.18,3.05,-3.56,-2.79,19.3,PASS,6,PASS
