Market,Priced candidates,Graded,Games,From,To,Side policy,Flat-bet ROI %,Price-recalibration ROI %,Full OOS board n,Full OOS board ROI %,Full OOS ROI 95% CI low,Full OOS units,Gate (full OOS),Verdict window from,Verdict board n,Verdict win %,Verdict ROI %,Verdict ROI 95% CI low,Verdict game-clustered CI low,Verdict units,Gate (verdict window),Robustness variants passed (of 6),Final status
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,under,-9.24,8.97,2083,13.16,9.6,274.2,PASS,2025-08-08,1269,64.62,14.46,9.51,9.24,183.4,PASS,6,PASS
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,under,-12.06,-7.31,2740,-0.1,-2.91,-2.8,FAIL,2025-09-06,1020,62.35,-0.66,-5.47,-5.62,-6.7,FAIL,5,VETO
totals,8653,8299,5287,2024-04-01,2026-09-16,under,-4.11,0.0,569,0.99,-7.18,5.6,PASS,2025-08-27,221,49.77,-3.17,-16.12,-16.12,-7.0,FAIL,3,PASS_WITH_RESTRICTIONS
spreads,7489,7457,5392,2024-04-01,2026-09-16,both,-2.84,-0.8,2463,-0.8,-3.96,-19.6,FAIL,2025-08-25,1387,61.43,-2.91,-6.82,-6.82,-40.3,FAIL,1,FAIL_AFTER_ITERATION
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,under,-10.4,-0.62,5356,1.65,-0.47,88.4,PASS,2025-08-31,2424,61.39,1.07,-2.06,-2.02,25.9,PASS,6,PASS
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,both,-15.88,-5.88,29,-13.97,-41.31,-4.1,FAIL,2025-05-24,15,53.33,-16.27,-58.06,-58.06,-2.4,FAIL,0,VETO
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,both,-5.82,-100.0,2407,2.27,-1.07,54.6,PASS,2025-08-25,1159,61.26,3.37,-1.34,-1.28,39.1,PASS,6,PASS
h2h,5956,5956,5391,2024-04-01,2026-09-16,both,-0.54,-6.81,1524,-0.34,-4.65,-5.1,FAIL,2025-08-29,639,55.71,-6.16,-12.95,-12.95,-39.3,FAIL,0,FAIL_AFTER_ITERATION
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,both,-12.32,1.73,7337,0.41,-1.48,29.7,PASS,2025-04-19,2931,61.92,0.41,-2.46,-2.96,12.0,PASS,5,PASS
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,both,-4.02,0.83,1957,1.09,-2.73,21.4,PASS,2026-04-01,871,58.32,0.43,-5.12,-5.22,3.7,PASS,6,PASS
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,under,-12.13,2.75,1676,6.98,3.14,117.0,PASS,2024-06-19,751,63.52,4.57,-1.15,-0.25,34.3,PASS,6,PASS
