market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_filtered,under,94209,-12.83,3.09,5811,9.78,6.72,568.4,PASS,6082,9.53,PASS,3552,9.26,2025-05-19,2259,52.63,10.6,6.44,6.11,239.4,1126,PASS,graded n=2259 >= 500 and ROI 10.60% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_filtered,under,71864,-16.42,7.66,485,16.67,9.5,80.9,PASS,505,15.13,PASS,415,17.94,2025-06-18,70,61.43,9.18,-11.37,-10.43,6.4,32,FAIL,graded n=70 < 500 and ROI CI lower bound -11.37% <= 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_pass,both,6259,-7.18,-4.17,2924,-1.81,-5.25,-52.8,FAIL,4680,-3.46,FAIL,1420,0.96,2025-06-08,1504,49.53,-4.42,-9.26,-9.26,-66.5,1504,FAIL,graded n=1504 >= 500 but ROI -4.42% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_pass,plus,5685,-4.53,0.05,2177,-1.13,-4.67,-24.7,FAIL,2848,-1.19,FAIL,893,-0.22,2025-06-10,1284,59.97,-1.77,-6.2,-6.2,-22.7,1284,FAIL,graded n=1284 >= 500 but ROI -1.77% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_filtered,under,88372,-13.74,8.96,3053,6.21,2.5,189.5,PASS,3228,5.78,PASS,1805,5.57,2025-06-15,1248,53.69,7.13,1.68,1.92,89.0,719,PASS,graded n=1248 >= 500 and ROI 7.13% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,price+compact+iso,0.04,0,maxEv,ev_filtered,both,57013,-25.66,-16.67,65,-25.98,-58.82,-16.9,FAIL,68,-27.04,FAIL,39,-4.22,2025-05-11,26,15.38,-58.63,-94.13,-94.13,-15.2,26,FAIL,graded n=26 < 500 and ROI CI lower bound -94.13% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,price+compact+iso,0.04,0,maxEv,ev_filtered,under,19447,-6.41,0.0,518,2.22,-8.82,11.5,PASS,693,-1.31,FAIL,439,3.97,2025-06-30,79,32.91,-7.5,-36.32,-38.22,-5.9,73,FAIL,graded n=79 < 500 and ROI CI lower bound -36.32% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_pass,both,4504,-2.13,-3.13,2940,0.08,-3.34,2.4,PASS,3360,-1.26,FAIL,1460,1.83,2025-06-14,1480,47.84,-1.64,-7.0,-7.0,-24.3,1480,FAIL,graded n=1480 >= 500 but ROI -1.64% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,price+compact+iso,0.04,0,maxEv,ev_filtered,under,31012,-14.69,2.52,1401,3.82,-0.88,53.5,PASS,1489,3.07,PASS,1181,5.25,2024-06-28,220,51.82,-3.86,-17.0,-19.09,-8.5,76,FAIL,graded n=220 < 500 and ROI CI lower bound -17.00% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,price+compact+iso,0.04,0,maxEv,ev_filtered,both,6686,-6.37,-13.09,179,-7.63,-20.44,-13.6,FAIL,189,-8.2,FAIL,131,-15.61,2025-07-07,48,66.67,14.17,-10.0,-9.6,6.8,45,FAIL,graded n=48 < 500 and ROI CI lower bound -10.00% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,price+compact+iso,0.04,0,maxEv,ev_filtered,both,27835,-12.49,7.57,2924,4.86,0.87,142.0,PASS,3048,4.33,PASS,2192,5.13,2024-06-19,732,46.99,4.02,-4.23,-4.07,29.5,318,PASS,graded n=732 >= 500 and ROI 4.02% > 0%
