market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_filtered,under,94209,-12.83,0.0,775,8.36,2.28,64.8,PASS,799,7.55,PASS,295,4.79,2025-05-19,480,62.71,10.55,2.45,2.53,50.6,371,PASS,graded n=480 < 500 but ROI CI lower bound 2.45% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_filtered,both,71864,-16.42,-0.78,793,18.92,13.11,150.0,PASS,833,17.7,PASS,662,22.61,2025-06-18,131,61.83,0.28,-13.55,-13.23,0.4,85,FAIL,graded n=131 < 500 and ROI CI lower bound -13.55% <= 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_pass,both,6259,-7.18,-100.0,647,-2.62,-9.96,-16.9,FAIL,883,-5.76,FAIL,445,-5.2,2025-06-08,202,54.46,3.08,-10.05,-10.05,6.2,202,FAIL,graded n=202 < 500 and ROI CI lower bound -10.05% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_pass,plus,5685,-4.53,-1.02,1599,0.57,-3.29,9.1,PASS,1999,0.26,PASS,722,3.23,2025-06-10,877,61.8,-1.62,-6.8,-6.8,-14.2,877,FAIL,graded n=877 >= 500 but ROI -1.62% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_filtered,under,88372,-13.74,0.0,1359,7.16,2.8,97.3,PASS,1422,6.73,PASS,822,7.49,2025-06-15,537,64.99,6.66,-0.07,-0.32,35.8,341,PASS,graded n=537 >= 500 and ROI 6.66% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,box+gbm,0.04,60,maxEv,ev_filtered,both,57013,-25.66,0.0,20,-20.95,-53.22,-4.2,FAIL,23,-24.74,FAIL,6,5.05,2025-05-11,14,42.86,-32.1,-76.03,-76.03,-4.5,14,FAIL,graded n=14 < 500 and ROI CI lower bound -76.03% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,box+gbm,0.04,60,maxEv,ev_filtered,over,19447,-6.41,0.0,669,4.85,-1.62,32.5,PASS,807,4.38,PASS,351,6.71,2025-06-30,318,62.58,2.8,-5.81,-5.95,8.9,297,FAIL,graded n=318 < 500 and ROI CI lower bound -5.81% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_pass,over,4504,-2.13,-6.61,841,-5.96,-11.24,-50.1,FAIL,932,-5.03,FAIL,462,-4.13,2025-06-14,379,57.26,-8.19,-15.92,-15.92,-31.0,379,FAIL,graded n=379 < 500 and ROI CI lower bound -15.92% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,box+gbm,0.04,60,maxEv,ev_filtered,both,31012,-14.69,12.27,1881,3.36,-0.16,63.1,PASS,1977,2.9,PASS,1254,4.18,2024-06-28,627,62.04,1.7,-4.63,-6.07,10.7,224,PASS,graded n=627 >= 500 and ROI 1.70% > 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,box+gbm,0.04,60,maxEv,ev_filtered,both,6686,-6.37,-13.09,910,1.28,-4.04,11.6,PASS,961,0.06,PASS,553,0.07,2025-07-07,357,62.46,3.15,-4.82,-5.67,11.2,324,FAIL,graded n=357 < 500 and ROI CI lower bound -4.82% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,box+gbm,0.04,60,maxEv,ev_filtered,both,27835,-12.49,22.12,1070,6.25,1.34,66.8,PASS,1100,6.76,PASS,664,9.15,2024-06-19,406,61.33,1.49,-6.44,-6.01,6.1,252,FAIL,graded n=406 < 500 and ROI CI lower bound -6.44% <= 0%
