market,candidates,graded,events,fromDate,toDate,spec,override,globalSpec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,120269,-12.16,0.0,1554,13.96,9.57,216.9,PASS,1598,13.17,PASS,609,11.67,2025-08-08,945,63.6,15.43,9.89,9.26,145.8,691,PASS,graded n=945 >= 500 and ROI 15.43% > 0%
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,96439,-15.62,-43.31,977,0.21,-4.69,2.0,PASS,1022,0.28,PASS,739,0.24,2025-09-06,238,62.61,0.11,-9.93,-9.97,0.3,177,FAIL,graded n=238 < 500 and ROI CI lower bound -9.93% <= 0%
totals,8653,8299,5287,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_pass,under,8299,-5.56,0.0,569,-0.66,-8.38,-3.7,FAIL,791,-1.99,FAIL,348,1.93,2025-08-27,221,49.77,-4.72,-17.38,-17.38,-10.4,221,FAIL,graded n=221 < 500 and ROI CI lower bound -17.38% <= 0%
spreads,7489,7457,5392,2024-04-01,2026-09-16,price,price,gbm,0.04,60,maxEv,ev_pass,both,7457,-4.69,-1.64,2507,-1.64,-4.61,-41.1,FAIL,3524,-1.58,FAIL,1120,1.08,2025-08-25,1387,61.93,-3.84,-7.71,-7.71,-53.2,1387,FAIL,graded n=1387 >= 500 but ROI -3.84% <= 0%
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,rf,rf,gbm,0.04,60,maxEv,ev_filtered,both,116642,-12.94,0.0,1388,3.61,-0.76,50.1,PASS,1429,3.57,PASS,747,5.77,2025-08-31,641,61.31,1.09,-5.29,-4.85,7.0,481,PASS,graded n=641 >= 500 and ROI 1.09% > 0%
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,gbm,,gbm,0.04,60,maxEv,ev_filtered,both,59338,-25.34,0.0,21,-24.93,-62.02,-5.2,FAIL,23,-31.46,FAIL,7,-32.4,2025-05-24,14,50.0,-21.19,-65.8,-65.8,-3.0,14,FAIL,graded n=14 < 500 and ROI CI lower bound -65.80% <= 0%
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,24291,-7.3,0.0,766,1.02,-5.11,7.8,PASS,792,-0.12,FAIL,396,1.6,2025-08-25,370,58.92,0.4,-7.98,-7.66,1.5,344,FAIL,graded n=370 < 500 and ROI CI lower bound -7.98% <= 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_pass,both,5956,-2.46,-5.94,1535,-1.9,-6.32,-29.1,FAIL,1656,-1.33,FAIL,888,2.18,2025-08-29,647,55.95,-7.49,-13.88,-13.88,-48.5,647,FAIL,graded n=647 >= 500 but ROI -7.49% <= 0%
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,53348,-14.83,-29.97,4145,-0.15,-2.65,-6.3,FAIL,4345,-0.43,FAIL,2650,-1.06,2025-04-19,1495,62.14,1.46,-2.47,-3.03,21.9,543,PASS,graded n=1495 >= 500 and ROI 1.46% > 0%
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,gbm,,gbm,0.04,60,maxEv,ev_filtered,over,9821,-6.8,-100.0,787,0.76,-4.96,6.0,PASS,828,-0.25,FAIL,388,3.51,2026-04-01,399,57.14,-1.9,-11.24,-10.27,-7.6,364,FAIL,graded n=399 < 500 and ROI CI lower bound -11.24% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,,gbm,0.04,60,maxEv,ev_filtered,under,27835,-12.49,22.12,1349,6.95,2.75,93.8,PASS,1409,6.71,PASS,742,10.0,2024-06-19,607,62.11,3.23,-3.45,-2.4,19.6,332,PASS,graded n=607 >= 500 and ROI 3.23% > 0%
