market,candidates,graded,events,fromDate,toDate,spec,override,globalSpec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,120269,120269,5393,2024-04-01,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_filtered,under,120269,-9.24,8.97,2083,13.16,9.6,274.2,PASS,2150,12.34,PASS,814,11.15,2025-08-08,1269,64.62,14.46,9.51,9.24,183.4,872,PASS,graded n=1269 >= 500 and ROI 14.46% > 0%
batter_rbis,96439,96439,5409,2024-04-01,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_filtered,under,96439,-12.06,-7.31,2740,-0.1,-2.91,-2.8,FAIL,2840,-0.37,FAIL,1720,0.23,2025-09-06,1020,62.35,-0.66,-5.47,-5.62,-6.7,614,FAIL,graded n=1020 >= 500 but ROI -0.66% <= 0%
totals,8653,8299,5287,2024-04-01,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_pass,under,8299,-4.11,0.0,569,0.99,-7.18,5.6,PASS,791,-0.45,FAIL,348,3.62,2025-08-27,221,49.77,-3.17,-16.12,-16.12,-7.0,221,FAIL,graded n=221 < 500 and ROI CI lower bound -16.12% <= 0%
spreads,7489,7457,5392,2024-04-01,2026-09-16,price,price,gbm,0.02,60,maxEv,ev_pass,both,7457,-2.84,-0.8,2463,-0.8,-3.96,-19.6,FAIL,3455,-0.31,FAIL,1076,1.92,2025-08-25,1387,61.43,-2.91,-6.82,-6.82,-40.3,1387,FAIL,graded n=1387 >= 500 but ROI -2.91% <= 0%
batter_total_bases,116642,116642,5394,2024-04-01,2026-09-16,rf,rf,gbm,0.02,60,maxEv,ev_filtered,under,116642,-10.4,-0.62,5356,1.65,-0.47,88.4,PASS,5521,1.78,PASS,2932,2.13,2025-08-31,2424,61.39,1.07,-2.06,-2.02,25.9,1265,PASS,graded n=2424 >= 500 and ROI 1.07% > 0%
batter_home_runs,59338,59338,3459,2024-04-01,2026-06-19,gbm,,gbm,0.02,60,maxEv,ev_filtered,both,59338,-15.88,-5.88,29,-13.97,-41.31,-4.1,FAIL,31,-19.52,FAIL,14,-11.5,2025-05-24,15,53.33,-16.27,-58.06,-58.06,-2.4,15,FAIL,graded n=15 < 500 and ROI CI lower bound -58.06% <= 0%
pitcher_strikeouts,24291,24291,4858,2024-04-01,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_filtered,both,24291,-5.82,-100.0,2407,2.27,-1.07,54.6,PASS,2737,1.45,PASS,1248,1.24,2025-08-25,1159,61.26,3.37,-1.34,-1.28,39.1,968,PASS,graded n=1159 >= 500 and ROI 3.37% > 0%
h2h,5956,5956,5391,2024-04-01,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_pass,both,5956,-0.54,-6.81,1524,-0.34,-4.65,-5.1,FAIL,1645,0.23,PASS,885,3.86,2025-08-29,639,55.71,-6.16,-12.95,-12.95,-39.3,639,FAIL,graded n=639 >= 500 but ROI -6.16% <= 0%
batter_runs_scored,53348,53348,2954,2024-04-01,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_filtered,both,53348,-12.32,1.73,7337,0.41,-1.48,29.7,PASS,7690,0.2,PASS,4406,0.4,2025-04-19,2931,61.92,0.41,-2.46,-2.96,12.0,874,PASS,graded n=2931 >= 500 and ROI 0.41% > 0%
pitcher_outs,9933,9821,4383,2024-04-02,2026-09-16,gbm,,gbm,0.02,60,maxEv,ev_filtered,both,9821,-4.02,0.83,1957,1.09,-2.73,21.4,PASS,2095,0.43,PASS,1086,1.63,2026-04-01,871,58.32,0.43,-5.12,-5.22,3.7,745,PASS,graded n=871 >= 500 and ROI 0.43% > 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,,gbm,0.02,60,maxEv,ev_filtered,under,27835,-12.13,2.75,1676,6.98,3.14,117.0,PASS,1748,6.7,PASS,925,8.94,2024-06-19,751,63.52,4.57,-1.15,-0.25,34.3,375,PASS,graded n=751 >= 500 and ROI 4.57% > 0%
