market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_filtered,both,94209,-9.68,8.14,2614,10.35,6.9,270.6,PASS,2727,9.49,PASS,882,7.98,2025-04-26,1732,60.33,11.56,7.2,7.38,200.2,1014,PASS,graded n=1732 >= 500 and ROI 11.56% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_filtered,both,71864,-12.86,-2.56,1690,3.28,-0.62,55.5,PASS,1810,3.11,PASS,1255,3.22,2025-05-31,435,62.3,3.49,-4.14,-4.33,15.2,244,FAIL,graded n=435 < 500 and ROI CI lower bound -4.14% <= 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_pass,both,6259,-5.71,-5.18,1566,1.18,-3.65,18.5,PASS,2156,-0.6,FAIL,935,1.37,2025-05-22,631,52.46,0.91,-6.19,-6.19,5.7,631,PASS,graded n=631 >= 500 and ROI 0.91% > 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_pass,both,5685,-2.64,1.62,2311,0.48,-2.96,11.2,PASS,2864,0.44,PASS,1015,3.56,2025-05-23,1296,59.49,-1.93,-6.45,-6.45,-24.9,1296,FAIL,graded n=1296 >= 500 but ROI -1.93% <= 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_filtered,under,88372,-11.06,3.88,4918,5.35,2.96,263.2,PASS,5147,5.21,PASS,2562,4.3,2025-05-25,2356,60.48,6.5,3.11,2.7,153.1,1080,PASS,graded n=2356 >= 500 and ROI 6.50% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,compact+gbm+iso,0.04,55,maxEv,ev_filtered,both,57013,-16.07,59.65,22,-7.87,-37.24,-1.7,FAIL,25,-12.82,FAIL,9,21.4,2025-04-26,13,46.15,-28.13,-64.78,-64.78,-3.7,13,FAIL,graded n=13 < 500 and ROI CI lower bound -64.78% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,compact+gbm+iso,0.04,55,maxEv,ev_filtered,over,19447,-4.94,0.0,679,-0.5,-7.21,-3.4,FAIL,794,-1.41,FAIL,352,-2.69,2025-06-14,327,57.8,1.86,-7.42,-7.77,6.1,310,FAIL,graded n=327 < 500 and ROI CI lower bound -7.42% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_pass,both,4504,-0.16,-6.88,1513,-0.52,-4.83,-7.9,FAIL,1671,0.51,PASS,871,0.67,2025-05-27,642,57.32,-2.13,-8.72,-8.72,-13.7,642,FAIL,graded n=642 >= 500 but ROI -2.13% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,compact+gbm+iso,0.04,55,maxEv,ev_filtered,both,31012,-11.52,2.16,4318,2.93,0.43,126.7,PASS,4609,2.5,PASS,2846,3.54,2024-06-21,1472,60.05,1.76,-2.53,-3.24,25.9,358,PASS,graded n=1472 >= 500 and ROI 1.76% > 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,compact+gbm+iso,0.04,55,maxEv,ev_filtered,both,6686,-3.44,3.62,1045,2.48,-2.88,25.9,PASS,1138,0.41,PASS,790,3.8,2025-06-21,255,56.08,-1.59,-12.99,-12.2,-4.1,236,FAIL,graded n=255 < 500 and ROI CI lower bound -12.99% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,compact+gbm+iso,0.04,55,maxEv,ev_filtered,both,27835,-12.13,1.27,1747,6.03,2.04,105.3,PASS,1792,5.99,PASS,1222,6.16,2024-06-13,525,63.24,5.73,-1.3,-1.31,30.1,320,PASS,graded n=525 >= 500 and ROI 5.73% > 0%
