market,candidates,graded,events,fromDate,toDate,spec,tau,minConf,collapse,parity,side,baseN,baseRoi,priceOnlyRoi,fullN,fullRoi,fullCiLo,fullUnits,fullVerdict,allLinesN,allLinesRoi,allLinesVerdict,selectN,selectRoi,verdictFrom,n,winPct,roi,ciLo,clusCiLo,units,events_v,verdict,why
batter_hits,94209,94209,3940,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,94209,-9.68,-18.94,1516,10.46,6.32,158.6,PASS,1604,8.75,PASS,620,6.28,2025-04-26,896,62.83,13.35,7.46,6.83,119.7,580,PASS,graded n=896 >= 500 and ROI 13.35% > 0%
batter_rbis,71864,71864,3939,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,71864,-12.86,-2.98,2494,3.32,0.19,82.8,PASS,2666,2.99,PASS,1687,4.69,2025-05-31,807,62.33,0.47,-5.03,-4.84,3.8,503,PASS,graded n=807 >= 500 and ROI 0.47% > 0%
totals,6530,6259,3865,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,under,6259,-5.71,20.87,637,5.37,-2.34,34.2,PASS,959,2.11,PASS,367,3.41,2025-05-22,270,55.19,8.03,-3.21,-3.21,21.7,270,FAIL,graded n=270 < 500 and ROI CI lower bound -3.21% <= 0%
spreads,5714,5685,3941,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,over,5685,-2.64,3.98,1152,3.75,-1.24,43.1,PASS,1295,3.93,PASS,591,5.12,2025-05-23,561,61.85,2.3,-4.57,-4.57,12.9,561,PASS,graded n=561 >= 500 and ROI 2.30% > 0%
batter_total_bases,88372,88372,3940,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,88372,-11.06,1.75,4354,3.03,0.75,131.7,PASS,4600,3.08,PASS,2602,0.84,2025-05-25,1752,62.73,6.27,2.29,1.81,109.9,798,PASS,graded n=1752 >= 500 and ROI 6.27% > 0%
batter_home_runs,57013,57013,3219,2024-04-01,2025-10-29,gbm,0.04,60,maxEv,ev_filtered,both,57013,-16.07,59.65,32,-12.49,-38.2,-4.0,FAIL,35,-15.49,FAIL,14,-0.6,2025-04-26,18,50.0,-21.75,-57.1,-57.1,-3.9,18,FAIL,graded n=18 < 500 and ROI CI lower bound -57.10% <= 0%
pitcher_strikeouts,19447,19447,3415,2024-04-01,2026-05-23,gbm,0.04,60,maxEv,ev_filtered,under,19447,-4.94,66.96,917,-2.43,-8.12,-22.3,FAIL,970,-1.93,FAIL,613,-2.66,2025-06-14,304,57.24,-1.96,-11.62,-11.57,-6.0,277,FAIL,graded n=304 < 500 and ROI CI lower bound -11.62% <= 0%
h2h,4504,4504,3941,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_pass,both,4504,-0.16,-6.03,1346,-1.79,-6.53,-24.1,FAIL,1487,-1.1,FAIL,694,0.52,2025-05-27,652,56.6,-4.26,-10.52,-10.52,-27.8,652,FAIL,graded n=652 >= 500 but ROI -4.26% <= 0%
batter_runs_scored,31012,31012,1589,2024-04-01,2026-08-17,gbm,0.04,60,maxEv,ev_filtered,under,31012,-11.52,5.77,5393,2.03,-0.07,109.7,PASS,5833,1.12,PASS,3123,4.18,2024-06-21,2270,60.0,-0.92,-4.26,-5.14,-21.0,498,FAIL,graded n=2270 >= 500 but ROI -0.92% <= 0%
pitcher_outs,6753,6686,2996,2024-04-02,2026-05-24,gbm,0.04,60,maxEv,ev_filtered,over,6686,-3.44,3.56,820,0.89,-5.31,7.3,PASS,907,-0.68,FAIL,524,1.84,2025-06-21,296,57.77,-0.81,-10.62,-10.43,-2.4,266,FAIL,graded n=296 < 500 and ROI CI lower bound -10.62% <= 0%
batter_strikeouts,27835,27835,1439,2024-04-01,2026-07-17,gbm,0.04,60,maxEv,ev_filtered,under,27835,-12.13,0.0,1568,6.15,2.25,96.5,PASS,1613,6.16,PASS,907,7.33,2024-06-13,661,63.24,4.53,-1.86,-1.29,30.0,365,PASS,graded n=661 >= 500 and ROI 4.53% > 0%
