spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+gbm+iso,0.02,55,maxEv,10,421.0,13743,3
price+gbm+iso,0.02,55,mostBooks,10,400.1,13743,3
price+gbm+iso,0.01,55,maxEv,10,384.7,16365,3
price+gbm+iso,0.0,55,maxEv,10,368.4,19112,3
price+gbm+iso,0.01,55,mostBooks,10,365.3,16364,3
price+gbm+iso,0.04,55,maxEv,10,357.2,9299,3
price+gbm+iso,0.0,55,mostBooks,10,343.7,19111,3
compact+gbm+iso,0.02,55,maxEv,9,475.4,14938,3
compact+gbm+iso,0.04,55,maxEv,9,472.3,10770,3
compact+gbm+iso,0.01,55,maxEv,9,460.5,17324,3
compact+gbm+iso,0.02,55,mostBooks,9,460.4,14937,3
compact+gbm+iso,0.04,55,mostBooks,9,459.0,10769,3
gbm+iso,0.01,55,maxEv,9,455.2,18540,2
compact+gbm+iso,0.01,55,mostBooks,9,448.4,17322,3
gbm+iso,0.02,55,maxEv,9,432.2,16460,2
gbm+iso,0.04,55,maxEv,9,426.5,12821,2
gbm+offset+iso,0.04,55,maxEv,9,421.6,11864,3
compact+gbm+iso,0.0,55,maxEv,9,420.0,19816,3
box+gbm+iso,0.04,55,maxEv,9,417.5,11992,3
gbm+iso,0.02,55,mostBooks,9,414.6,16459,2
gbm+iso,0.04,55,mostBooks,9,409.7,12820,2
gbm+offset+iso,0.04,55,mostBooks,9,408.2,11863,3
compact+gbm+iso,0.0,55,mostBooks,9,404.3,19814,3
box+gbm+iso,0.04,55,mostBooks,9,400.1,11991,3
box+gbm+iso,0.01,55,maxEv,9,393.3,18212,3
gbm+offset+iso,0.0,55,maxEv,9,391.1,20502,3
box+gbm+iso,0.0,55,maxEv,9,378.3,20605,3
gbm+offset+iso,0.02,55,maxEv,9,377.7,15871,3
box+gbm+iso,0.01,55,mostBooks,9,376.7,18210,3
gbm+offset+iso,0.0,55,mostBooks,9,373.3,20500,3
box+gbm+iso,0.0,55,mostBooks,9,360.9,20603,3
gbm+offset+iso,0.02,55,mostBooks,9,358.9,15870,3
gbm,0.04,60,maxEv,9,357.4,10917,1
box+gbm+iso,0.02,55,maxEv,9,352.8,16004,3
gbm+offset+iso,0.01,55,mostBooks,9,351.2,18106,3
price+gbm+iso,0.04,55,mostBooks,9,340.5,9299,3
gbm,0.02,60,maxEv,9,339.3,13582,1
gbm,0.02,60,mostBooks,9,336.4,13581,1
box+gbm+iso,0.02,55,mostBooks,9,332.1,16003,3
gbm,0.01,60,maxEv,9,329.2,15183,1
gbm,0.01,60,mostBooks,9,324.6,15182,1
gbm,0.0,60,maxEv,9,313.0,16855,1
gbm,0.0,60,mostBooks,9,312.1,16854,1
box+offset+iso,0.04,55,maxEv,9,285.6,12237,3
box+offset+iso,0.04,55,mostBooks,9,282.2,12235,3
compact,0.04,0,maxEv,8,1073.4,24860,1
compact+gbm+iso,0.02,0,mostBooks,8,1029.0,40780,3
price+gbm+iso,0.02,0,mostBooks,8,1020.2,39609,3
compact,0.04,0,mostBooks,8,1019.9,24858,1
price+gbm+offset,0.02,0,mostBooks,8,1017.4,39393,3
price+gbm+iso,0.02,0,maxEv,8,1003.4,39605,3
price+offset,0.01,0,mostBooks,8,1002.0,45145,2
price+box,0.01,0,mostBooks,8,951.9,45273,2
price+box,0.01,0,maxEv,8,950.8,45274,2
compact+gbm+iso,0.01,0,mostBooks,8,894.6,46775,3
price+offset+iso,0.04,0,maxEv,8,866.0,26074,3
compact+iso,0.02,0,maxEv,8,850.1,39617,2
price+compact,0.02,0,mostBooks,8,838.4,34567,2
price+iso,0.02,0,maxEv,8,797.0,37715,2
price+iso,0.02,0,mostBooks,8,793.5,37715,2
price+gbm+iso,0.04,0,maxEv,8,778.8,27691,3
gbm+iso,0.04,0,mostBooks,8,775.6,35001,2
price+compact,0.01,0,maxEv,8,764.1,45840,2
price+compact,0.01,0,mostBooks,8,694.7,45833,2
compact+gbm,0.04,55,maxEv,8,464.3,11242,2
compact+box+gbm,0.04,55,maxEv,8,458.6,10720,3
compact+gbm+offset,0.04,55,maxEv,8,456.4,10599,3
compact+gbm+offset,0.02,55,maxEv,8,455.4,14975,3
compact+gbm,0.04,55,mostBooks,8,455.2,11238,2
gbm,0.02,55,mostBooks,8,449.5,18665,1
compact+gbm,0.02,55,mostBooks,8,445.1,15510,2
gbm+iso,0.01,55,mostBooks,8,440.8,18538,2
gbm+offset,0.04,55,maxEv,8,434.3,12267,2
compact+box+gbm,0.02,55,maxEv,8,429.6,15107,3
gbm+offset,0.04,55,mostBooks,8,428.6,12265,2
gbm+iso,0.0,55,maxEv,8,408.8,20744,2
compact+gbm+offset,0.01,55,maxEv,8,406.2,17628,3
gbm,0.0,55,mostBooks,8,404.1,22905,1
box+gbm,0.04,55,maxEv,8,401.6,12470,2
price+compact+gbm,0.02,55,maxEv,8,396.0,13501,3
price+compact+gbm,0.02,55,mostBooks,8,390.0,13498,3
compact+box+gbm,0.01,55,maxEv,8,389.3,17774,3
gbm+iso,0.0,55,mostBooks,8,385.2,20742,2
box+gbm+offset,0.04,55,mostBooks,8,383.8,11900,3
box+gbm+offset,0.04,55,maxEv,8,379.8,11901,3
compact+gbm+offset,0.0,55,maxEv,8,370.2,20390,3
gbm+offset+iso,0.01,55,maxEv,8,365.5,18108,3
compact+box+gbm,0.0,55,maxEv,8,364.1,20488,3
price+box+gbm,0.02,55,maxEv,8,363.7,13976,3
gbm+iso,0.01,60,maxEv,8,361.4,12971,2
price+gbm+offset,0.02,55,maxEv,8,359.2,13794,3
