spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
box+gbm+iso,0.04,55,maxEv,10,528.6,12019,3
box+gbm+iso,0.04,55,mostBooks,10,509.9,12018,3
gbm+offset+iso,0.04,55,maxEv,10,505.8,11892,3
box+gbm+iso,0.02,55,maxEv,10,467.1,16007,3
gbm+offset+iso,0.02,55,maxEv,10,458.2,15876,3
box+gbm+iso,0.01,55,maxEv,10,454.7,18260,3
box+gbm+iso,0.0,55,maxEv,10,453.6,20732,3
gbm+offset+iso,0.0,55,maxEv,10,451.1,20588,3
box+gbm+iso,0.02,55,mostBooks,10,444.0,16006,3
gbm+offset+iso,0.01,55,maxEv,10,436.3,18111,3
box+gbm+iso,0.01,55,mostBooks,10,434.4,18259,3
box+gbm+iso,0.0,55,mostBooks,10,431.5,20730,3
price+compact,0.01,0,maxEv,9,821.5,45906,2
price+compact,0.02,0,maxEv,9,765.6,33819,2
compact+gbm+iso,0.02,55,maxEv,9,506.9,14757,3
gbm+offset+iso,0.04,55,mostBooks,9,488.0,11891,3
compact+gbm+iso,0.02,55,mostBooks,9,484.7,14756,3
compact+gbm+iso,0.04,55,maxEv,9,459.2,10546,3
compact+gbm+iso,0.01,55,maxEv,9,452.8,17200,3
box+gbm,0.04,55,maxEv,9,452.3,12248,2
compact+box+gbm,0.04,55,maxEv,9,449.2,10406,3
gbm+offset,0.04,55,maxEv,9,448.5,11999,2
compact+gbm,0.04,55,maxEv,9,447.6,10884,2
price+gbm+iso,0.01,55,maxEv,9,446.6,16350,3
gbm+offset,0.04,55,mostBooks,9,441.0,11996,2
box+gbm,0.04,55,mostBooks,9,440.3,12245,2
compact+gbm+iso,0.04,55,mostBooks,9,439.7,10545,3
compact+gbm,0.04,55,mostBooks,9,438.2,10883,2
gbm+offset+iso,0.02,55,mostBooks,9,435.9,15875,3
compact+gbm+iso,0.01,55,mostBooks,9,429.4,17200,3
gbm+offset+iso,0.0,55,mostBooks,9,429.2,20586,3
compact+gbm,0.02,55,mostBooks,9,427.4,15243,2
price+gbm+iso,0.01,55,mostBooks,9,422.4,16350,3
price+gbm+iso,0.04,55,maxEv,9,421.1,9353,3
price+gbm+iso,0.0,55,maxEv,9,420.3,19202,3
compact+gbm+iso,0.0,55,maxEv,9,419.1,19852,3
gbm+offset+iso,0.01,55,mostBooks,9,413.8,18110,3
price+gbm+iso,0.04,55,mostBooks,9,409.3,9353,3
compact+gbm+iso,0.0,55,mostBooks,9,394.4,19852,3
