spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm,0.04,60,maxEv,9,357.4,10917,1
gbm,0.02,60,maxEv,9,339.3,13582,1
gbm,0.02,60,mostBooks,9,336.4,13581,1
gbm,0.01,60,maxEv,9,329.2,15183,1
gbm,0.01,60,mostBooks,9,324.6,15182,1
gbm,0.0,60,maxEv,9,313.0,16855,1
gbm,0.0,60,mostBooks,9,312.1,16854,1
gbm+iso,0.01,60,maxEv,8,361.4,12971,2
gbm+iso,0.01,60,mostBooks,8,354.3,12970,2
gbm,0.04,60,mostBooks,8,353.4,10916,1
compact+gbm+offset,0.02,60,mostBooks,8,305.6,10207,3
compact+box+gbm,0.02,60,mostBooks,8,295.8,10306,3
compact+box+gbm,0.04,60,maxEv,7,355.1,6995,3
compact+box+gbm,0.04,60,mostBooks,7,352.9,6994,3
gbm+offset,0.04,60,maxEv,7,349.2,8341,2
gbm+offset,0.04,60,mostBooks,7,343.9,8341,2
box+gbm,0.04,60,maxEv,7,341.5,8485,2
gbm+iso,0.02,60,maxEv,7,336.9,11431,2
box+gbm,0.04,60,mostBooks,7,334.4,8485,2
compact+gbm+offset,0.04,60,maxEv,7,333.9,6914,3
compact+gbm+offset,0.04,60,mostBooks,7,331.7,6913,3
gbm+iso,0.02,60,mostBooks,7,326.3,11431,2
gbm+iso,0.0,60,maxEv,7,326.1,14603,2
compact+gbm,0.01,60,maxEv,7,320.9,12789,2
gbm+iso,0.0,60,mostBooks,7,311.5,14602,2
gbm+offset,0.01,60,maxEv,7,310.2,13132,2
compact+gbm+offset,0.02,60,maxEv,7,305.0,10208,3
gbm+offset,0.02,60,maxEv,7,304.9,11356,2
gbm+offset,0.01,60,mostBooks,7,303.9,13132,2
gbm+offset,0.02,60,mostBooks,7,298.3,11356,2
compact+box+gbm,0.02,60,maxEv,7,295.4,10307,3
box+gbm,0.0,60,maxEv,7,293.3,15092,2
gbm+offset,0.0,60,maxEv,7,287.4,14945,2
box+gbm,0.01,60,maxEv,7,284.7,13283,2
box+gbm,0.0,60,mostBooks,7,284.3,15092,2
gbm+offset,0.0,60,mostBooks,7,280.3,14945,2
box+gbm,0.01,60,mostBooks,7,276.3,13283,2
box+gbm,0.02,60,maxEv,7,273.8,11478,2
compact+box+gbm,0.0,60,maxEv,7,270.4,14424,3
compact+box+gbm,0.0,60,mostBooks,7,267.9,14423,3
gbm+offset+iso,0.01,60,maxEv,7,266.3,12542,3
box+gbm+iso,0.01,60,maxEv,7,266.2,12623,3
compact+gbm+iso,0.0,60,maxEv,7,265.4,13599,3
box+gbm,0.02,60,mostBooks,7,265.2,11478,2
box+gbm+iso,0.04,60,maxEv,7,265.2,7956,3
compact+gbm+offset,0.0,60,maxEv,7,262.9,14336,3
gbm+offset+iso,0.01,60,mostBooks,7,262.4,12541,3
compact+gbm+offset,0.0,60,mostBooks,7,261.9,14335,3
box+gbm+iso,0.01,60,mostBooks,7,260.8,12622,3
gbm+offset+iso,0.04,60,maxEv,7,259.1,7882,3
box+gbm+iso,0.04,60,mostBooks,7,256.5,7956,3
compact+gbm+iso,0.0,60,mostBooks,7,254.8,13598,3
gbm+offset+iso,0.02,60,maxEv,7,254.6,10880,3
compact+gbm,0.0,60,maxEv,7,253.0,14714,2
gbm+offset+iso,0.04,60,mostBooks,7,251.9,7882,3
compact+gbm,0.0,60,mostBooks,7,249.3,14712,2
gbm+offset+iso,0.02,60,mostBooks,7,246.7,10880,3
box+gbm+offset,0.01,60,maxEv,7,245.0,12848,3
box+gbm+offset,0.04,60,mostBooks,7,242.2,7878,3
box+gbm+offset,0.04,60,maxEv,7,239.9,7879,3
box+gbm+iso,0.02,60,maxEv,7,226.1,10968,3
compact+box+offset,0.0,60,mostBooks,7,219.8,14342,3
box+gbm+iso,0.02,60,mostBooks,7,216.8,10968,3
box+gbm+offset,0.02,60,mostBooks,7,205.2,11013,3
box+gbm+offset,0.02,60,maxEv,7,202.9,11014,3
compact+box+offset,0.02,60,mostBooks,7,188.7,10065,3
price+box+iso,0.0,60,mostBooks,7,165.6,13309,3
compact+box+iso,0.0,60,maxEv,7,164.8,13824,3
price+box+iso,0.0,60,maxEv,7,162.1,13312,3
compact+offset+iso,0.0,60,mostBooks,7,160.4,13708,3
compact+offset+iso,0.0,60,maxEv,7,159.8,13711,3
box+offset+iso,0.04,60,mostBooks,7,122.7,8009,3
box+offset+iso,0.02,60,maxEv,7,95.7,11081,3
