spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm+offset,0.04,60,mostBooks,9,259.8,9677,2
gbm+offset,0.04,60,maxEv,9,255.0,9678,2
gbm,0.04,60,maxEv,8,281.9,13641,1
compact+box+gbm,0.04,60,maxEv,8,261.6,7852,3
gbm,0.02,60,maxEv,8,260.0,17694,1
box+gbm,0.04,60,mostBooks,8,258.3,9824,2
gbm,0.02,60,mostBooks,8,256.8,17693,1
box+gbm,0.04,60,maxEv,8,252.7,9825,2
compact+box+gbm,0.01,60,maxEv,8,206.0,15403,3
gbm+offset,0.02,60,mostBooks,8,197.6,14094,2
gbm,0.01,60,maxEv,8,196.5,20025,1
gbm+offset,0.02,60,maxEv,8,194.4,14095,2
gbm,0.01,60,mostBooks,8,192.8,20024,1
compact+box+gbm,0.02,60,maxEv,8,191.4,12369,3
box+gbm,0.02,60,mostBooks,8,189.9,14207,2
box+gbm,0.0,60,maxEv,8,186.8,19746,2
box+gbm,0.02,60,maxEv,8,186.0,14208,2
gbm+offset,0.01,60,mostBooks,8,182.4,16839,2
gbm+offset,0.01,60,maxEv,8,180.0,16840,2
gbm+offset,0.0,60,mostBooks,8,178.4,19679,2
price+compact+gbm,0.01,60,mostBooks,8,176.4,13902,3
box+gbm,0.01,60,mostBooks,8,174.3,16961,2
price+compact+gbm,0.01,60,maxEv,8,172.0,13902,3
box+gbm,0.01,60,maxEv,8,171.4,16962,2
price+compact+gbm,0.02,60,mostBooks,7,280.5,10247,3
gbm,0.04,60,mostBooks,7,276.4,13640,1
price+compact+gbm,0.02,60,maxEv,7,275.1,10247,3
compact+gbm+offset,0.04,60,maxEv,7,270.9,7756,3
compact+gbm+offset,0.04,60,mostBooks,7,267.8,7755,3
compact+box+gbm,0.04,60,mostBooks,7,258.0,7851,3
box+gbm+iso,0.04,60,mostBooks,7,241.4,8807,3
box+gbm+iso,0.04,60,maxEv,7,239.9,8808,3
gbm+iso,0.04,60,maxEv,7,229.5,9839,2
gbm+iso,0.04,60,mostBooks,7,228.0,9839,2
price+gbm+iso,0.02,60,mostBooks,7,221.5,10518,3
compact+gbm+iso,0.02,60,mostBooks,7,220.4,11778,3
