spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm,0.04,60,mostBooks,8,326.7,13450,1
gbm,0.04,60,maxEv,8,321.0,13450,1
gbm,0.02,60,mostBooks,8,254.9,17496,1
gbm,0.02,60,maxEv,8,248.7,17496,1
box+gbm,0.02,60,maxEv,8,213.9,13986,2
gbm+iso,0.02,60,maxEv,8,211.2,13638,2
gbm+offset,0.01,60,maxEv,8,209.5,16580,2
gbm+offset,0.02,60,maxEv,8,209.4,13909,2
box+gbm,0.02,60,mostBooks,8,206.5,13985,2
gbm+iso,0.02,60,mostBooks,8,204.4,13637,2
box+gbm,0.01,60,maxEv,8,203.2,16650,2
gbm+offset,0.01,60,mostBooks,8,201.6,16579,2
gbm+offset,0.02,60,mostBooks,8,200.8,13908,2
box+gbm,0.01,60,mostBooks,8,195.0,16649,2
gbm,0.0,60,mostBooks,8,180.2,22417,1
gbm,0.0,60,maxEv,8,175.6,22417,1
box+gbm+offset,0.01,60,maxEv,8,171.1,16112,3
gbm+offset,0.0,60,maxEv,8,163.5,19398,2
gbm+offset,0.0,60,mostBooks,8,153.8,19398,2
gbm+iso,0.04,60,maxEv,7,262.7,9832,2
gbm+iso,0.04,60,mostBooks,7,259.3,9831,2
gbm+offset,0.04,60,maxEv,7,216.6,9722,2
gbm+offset,0.04,60,mostBooks,7,209.2,9721,2
compact+gbm+offset,0.01,60,maxEv,7,208.7,15225,3
compact+gbm,0.01,60,maxEv,7,203.3,15957,2
offset+iso,0.04,60,maxEv,7,203.1,8969,2
box+gbm,0.04,60,maxEv,7,200.6,9813,2
gbm,0.01,60,mostBooks,7,199.1,19887,1
offset+iso,0.04,60,mostBooks,7,197.8,8968,2
gbm,0.01,60,maxEv,7,195.1,19887,1
compact+gbm+offset,0.01,60,mostBooks,7,194.8,15224,3
box+gbm,0.04,60,mostBooks,7,194.5,9812,2
compact+box+gbm,0.01,60,maxEv,7,191.7,15274,3
compact+gbm,0.02,60,maxEv,7,189.7,13025,2
compact+gbm,0.01,60,mostBooks,7,186.3,15956,2
compact+box+gbm,0.01,60,mostBooks,7,174.8,15273,3
compact+gbm,0.02,60,mostBooks,7,173.3,13024,2
box+gbm+offset,0.0,60,maxEv,7,171.8,18938,3
gbm+iso,0.01,60,maxEv,7,170.2,15985,2
box+offset+iso,0.04,60,maxEv,7,168.5,8917,3
box+iso,0.04,60,maxEv,7,164.0,9064,2
box+iso,0.04,60,mostBooks,7,160.1,9063,2
box+offset+iso,0.04,60,mostBooks,7,158.8,8916,3
box+gbm+offset,0.01,60,mostBooks,7,153.3,16112,3
box+gbm+offset,0.0,60,mostBooks,7,152.1,18938,3
box+gbm,0.0,60,maxEv,7,145.8,19460,2
gbm+iso,0.0,60,maxEv,7,141.1,18663,2
box+gbm,0.0,60,mostBooks,7,135.9,19460,2
compact+box,0.02,60,maxEv,7,127.6,11737,2
price+gbm,0.04,60,maxEv,6,245.7,6672,2
price+gbm,0.04,60,mostBooks,6,242.3,6671,2
compact+gbm+offset,0.04,60,maxEv,6,226.2,7794,3
compact+box+gbm,0.04,60,maxEv,6,215.9,7894,3
compact+gbm+offset,0.04,60,mostBooks,6,211.7,7793,3
gbm+offset+iso,0.0,60,maxEv,6,204.6,17915,3
price+gbm+iso,0.02,60,maxEv,6,202.7,10587,3
compact+box+gbm,0.04,60,mostBooks,6,198.1,7893,3
price+gbm+iso,0.02,60,mostBooks,6,194.0,10586,3
gbm+offset+iso,0.0,60,mostBooks,6,190.6,17915,3
box+gbm+iso,0.0,60,maxEv,6,189.9,17969,3
compact+gbm+offset,0.02,60,maxEv,6,183.1,12263,3
price+box+gbm,0.01,60,maxEv,6,182.4,14163,3
price+box+gbm,0.01,60,mostBooks,6,176.2,14162,3
box+gbm+iso,0.0,60,mostBooks,6,173.9,17969,3
compact+gbm+offset,0.02,60,mostBooks,6,170.1,12262,3
