spec,tau,minConf,selectPasses,selectUnits,selectN,nMembers
price+compact+gbm,0.02,55,9,197.8,13053,3
compact+gbm,0.04,55,9,178.9,9860,2
price+compact+gbm,0.04,55,8,200.6,7601,3
box+gbm+iso,0.01,55,8,164.8,18193,3
price+gbm,0.04,55,8,144.7,8642,2
compact+gbm,0.02,55,8,143.1,14678,2
compact+gbm,0.01,55,8,106.3,17643,2
price+compact+gbm,0.01,55,8,104.8,16806,3
compact+gbm,0.0,55,8,50.4,20971,2
price+compact+gbm,0.04,0,7,333.3,21159,3
compact+gbm+iso,0.01,0,7,239.8,46731,3
compact,0.02,55,7,238.1,12917,1
gbm+offset+iso,0.04,0,7,231.2,29485,3
gbm+offset+iso,0.01,0,7,226.4,47730,3
box+gbm,0.04,55,7,224.9,11757,2
compact+box+gbm,0.02,55,7,221.8,14794,3
compact+gbm+offset,0.02,55,7,217.4,14535,3
box+gbm+iso,0.01,0,7,216.1,47846,3
compact+gbm+iso,0.02,0,7,209.8,39588,3
gbm+offset,0.04,55,7,201.0,11472,2
box+gbm+offset,0.04,55,7,199.0,11291,3
compact+gbm+iso,0.04,55,7,190.6,9464,3
compact+offset,0.02,55,7,189.8,14278,2
compact+offset,0.0,60,7,188.7,14570,2
price+compact+offset,0.02,55,7,187.1,12583,3
compact+offset,0.04,55,7,182.2,8957,2
compact+gbm+iso,0.04,0,7,181.4,26738,3
gbm+offset+iso,0.01,55,7,174.7,17993,3
gbm,0.04,60,7,164.2,10176,1
compact+offset,0.02,60,7,157.8,9016,2
price+box+gbm,0.04,55,7,152.1,8729,3
price+gbm+iso,0.01,55,7,146.5,16380,3
price+gbm+iso,0.02,0,7,145.7,38871,3
price+gbm+offset,0.04,55,7,143.3,8531,3
compact+gbm+iso,0.0,55,7,122.7,19510,3
box+offset,0.02,60,7,121.8,11675,2
price+gbm+iso,0.0,55,7,106.1,19631,3
price+gbm,0.02,55,7,84.8,13943,2
gbm+offset+iso,0.0,0,7,72.2,54153,3
box+gbm+iso,0.0,0,7,70.3,54250,3
price+gbm,0.0,0,7,67.8,58617,2
gbm,0.01,55,7,67.6,20216,1
compact+gbm,0.01,0,7,58.2,49878,2
price+gbm,0.01,55,7,46.6,17471,2
price+compact+gbm,0.0,55,7,24.6,20995,3
box+gbm,0.0,0,7,11.9,56702,2
price+gbm,0.0,55,7,11.1,21191,2
compact+gbm,0.0,0,7,-20.5,57359,2
gbm+iso,0.04,0,7,-134.8,32118,2
price+offset,0.02,0,6,624.8,38022,2
compact+offset,0.02,0,6,551.6,38789,2
compact+box,0.02,0,6,528.2,39216,2
price+compact,0.01,0,6,507.8,49758,2
compact+box+offset,0.02,0,6,498.8,40096,3
box,0.02,0,6,478.9,42056,1
price+offset,0.01,0,6,432.0,48865,2
box,0.01,0,6,417.6,48904,1
box,0.04,0,6,404.1,29131,1
compact+box+offset,0.01,0,6,398.8,48024,3
compact+offset,0.01,0,6,396.2,47558,2
box+offset,0.04,0,6,382.6,28886,2
compact+gbm+offset,0.02,0,6,377.0,40632,3
compact+box,0.01,0,6,376.7,47735,2
offset,0.04,0,6,369.1,28685,1
price+compact+gbm,0.02,0,6,353.5,39511,3
compact+box+gbm,0.02,0,6,349.4,40772,3
price+gbm+offset,0.01,0,6,334.4,49124,3
price+gbm+offset,0.04,0,6,322.3,24209,3
price+box+gbm,0.01,0,6,292.4,49280,3
compact+gbm+offset,0.04,0,6,291.9,25976,3
compact+gbm+offset,0.01,0,6,286.3,48825,3
price+compact+box,0.04,0,6,283.3,18438,3
price+box+gbm,0.04,0,6,283.1,24330,3
compact+offset,0.04,0,6,283.0,23382,2
compact+offset,0.0,0,6,279.4,55658,2
price+gbm+offset,0.02,0,6,275.3,40351,3
price+gbm+iso,0.01,0,6,275.3,46380,3
price+gbm+offset,0.0,0,6,260.8,57555,3
box+gbm+iso,0.02,0,6,260.1,41497,3
compact+box+gbm,0.01,0,6,259.9,48960,3
compact+box+offset,0.04,0,6,259.0,25354,3
price+box+gbm,0.02,0,6,250.8,40495,3
price+gbm,0.02,0,6,246.3,41409,2
compact+box+gbm,0.04,0,6,246.2,26126,3
compact+box,0.04,0,6,230.0,23634,2
price+box+gbm,0.0,0,6,229.8,57676,3
compact+gbm+iso,0.01,55,6,223.2,16505,3
gbm+offset+iso,0.02,0,6,220.4,41367,3
box,0.0,0,6,215.3,55721,1
