spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm,0.04,60,maxEv,10,352.3,10863,1
gbm,0.04,60,mostBooks,9,341.3,10863,1
gbm,0.01,60,maxEv,9,280.9,15404,1
gbm+offset+iso,0.0,60,maxEv,9,279.3,13897,3
gbm+offset+iso,0.01,60,maxEv,9,261.0,12054,3
gbm,0.0,60,maxEv,9,260.6,17125,1
box+gbm+iso,0.01,60,maxEv,9,258.8,12131,3
gbm+offset+iso,0.0,60,mostBooks,9,257.6,13897,3
gbm,0.02,60,maxEv,9,255.2,13775,1
gbm+offset+iso,0.01,60,mostBooks,9,236.2,12054,3
box+gbm+iso,0.01,60,mostBooks,9,233.2,12131,3
gbm+offset+iso,0.02,60,maxEv,9,222.0,10346,3
box+gbm+iso,0.02,60,maxEv,9,212.8,10441,3
gbm+offset+iso,0.02,60,mostBooks,9,202.0,10346,3
box+gbm+iso,0.02,60,mostBooks,9,192.0,10441,3
gbm+iso,0.02,60,maxEv,8,311.5,11324,2
gbm+iso,0.02,60,mostBooks,8,302.9,11325,2
gbm+iso,0.01,60,maxEv,8,287.1,12924,2
gbm+iso,0.01,60,mostBooks,8,277.7,12925,2
gbm+iso,0.0,60,maxEv,8,274.8,14511,2
gbm,0.01,60,mostBooks,8,269.2,15405,1
gbm+iso,0.0,60,mostBooks,8,266.9,14512,2
box+gbm+iso,0.0,60,maxEv,8,266.4,13963,3
gbm+offset+iso,0.04,60,maxEv,8,243.7,7427,3
box+gbm+iso,0.0,60,mostBooks,8,242.4,13963,3
compact+box+gbm,0.0,60,maxEv,8,238.9,14288,3
box+gbm+iso,0.04,60,maxEv,8,237.7,7508,3
compact+gbm+offset,0.0,60,maxEv,8,235.7,14191,3
box+offset+iso,0.0,60,mostBooks,8,226.8,14200,3
gbm+offset+iso,0.04,60,mostBooks,8,224.5,7427,3
compact+box+gbm,0.0,60,mostBooks,8,222.3,14287,3
box+offset+iso,0.0,60,maxEv,8,220.9,14201,3
compact+gbm+offset,0.0,60,mostBooks,8,220.3,14190,3
box+iso,0.0,60,mostBooks,8,219.3,14433,2
box+iso,0.0,60,maxEv,8,218.2,14434,2
box+gbm+iso,0.04,60,mostBooks,8,217.7,7508,3
