spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
price+gbm+iso,0.02,55,maxEv,10,405.1,13478,3
price+gbm+iso,0.02,55,mostBooks,10,388.6,13478,3
price+gbm+iso,0.01,55,maxEv,10,336.8,16120,3
price+gbm+iso,0.01,55,mostBooks,10,318.1,16120,3
compact+iso,0.01,55,mostBooks,10,267.9,16450,2
compact+iso,0.02,55,mostBooks,10,261.3,13976,2
box,0.01,0,maxEv,9,1148.2,46720,1
box+offset,0.01,0,maxEv,9,1131.8,46659,2
compact+gbm+iso,0.02,55,maxEv,9,425.1,14476,3
compact+gbm+iso,0.02,55,mostBooks,9,409.5,14479,3
gbm+offset+iso,0.02,55,maxEv,9,387.0,15593,3
box+gbm+iso,0.02,55,mostBooks,9,385.8,15719,3
price+gbm+iso,0.0,55,maxEv,9,379.9,18991,3
gbm+offset+iso,0.02,55,mostBooks,9,374.3,15595,3
price+gbm+iso,0.0,55,mostBooks,9,355.8,18991,3
box+gbm+iso,0.04,55,maxEv,9,352.5,11792,3
compact+gbm+iso,0.04,55,maxEv,9,352.4,10307,3
compact+box+iso,0.0,55,maxEv,9,349.5,19726,3
box+gbm+iso,0.04,55,mostBooks,9,341.2,11794,3
compact+gbm+iso,0.04,55,mostBooks,9,340.8,10310,3
compact+offset+iso,0.0,55,maxEv,9,340.7,19620,3
compact+gbm+iso,0.01,55,maxEv,9,336.6,16864,3
compact+box+iso,0.0,55,mostBooks,9,335.6,19727,3
compact+offset+iso,0.0,55,mostBooks,9,327.4,19621,3
box+gbm+iso,0.02,60,maxEv,9,327.3,11046,3
offset,0.01,55,mostBooks,9,324.7,18535,1
compact+gbm+iso,0.01,55,mostBooks,9,320.3,16867,3
box+offset+iso,0.0,55,maxEv,9,319.5,20719,3
compact+gbm+iso,0.0,55,mostBooks,9,317.5,19502,3
offset,0.0,55,mostBooks,9,316.5,21040,1
compact+box+offset,0.0,55,mostBooks,9,315.2,20474,3
box+gbm+offset,0.02,55,maxEv,9,313.7,16208,3
box,0.0,55,mostBooks,9,308.3,21337,1
