spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm+iso,0.01,55,maxEv,9,400.0,13172,3
compact+gbm+iso,0.01,55,mostBooks,9,363.6,13171,3
compact+gbm+iso,0.02,55,maxEv,8,427.0,11170,3
compact+gbm+iso,0.02,55,mostBooks,8,395.1,11169,3
box+gbm+iso,0.04,55,mostBooks,8,393.9,9414,3
box+gbm+iso,0.02,55,mostBooks,8,376.0,12618,3
price+compact+box,0.01,0,maxEv,7,823.9,29182,3
compact+offset+iso,0.04,0,maxEv,7,805.9,19387,3
compact+offset,0.04,0,maxEv,7,791.3,17396,2
compact+offset+iso,0.04,0,mostBooks,7,762.5,19384,3
price+compact+box,0.02,0,maxEv,7,756.2,21943,3
compact+box,0.04,0,maxEv,7,745.8,17527,2
price+offset,0.01,0,maxEv,7,743.2,30095,2
compact,0.02,0,maxEv,7,686.2,24234,1
price+offset,0.02,0,maxEv,7,674.9,22713,2
compact,0.02,0,mostBooks,7,632.3,24234,1
price+offset+iso,0.04,0,maxEv,7,616.4,17057,3
price+compact+box,0.0,0,maxEv,7,595.5,37843,3
price+compact+iso,0.04,0,maxEv,7,559.1,13664,3
price+compact+iso,0.04,0,mostBooks,7,548.5,13661,3
compact+gbm+offset,0.02,55,maxEv,7,446.0,10980,3
compact+box+gbm,0.02,55,maxEv,7,426.4,11134,3
box+gbm+iso,0.04,55,maxEv,7,419.9,9415,3
box+gbm+iso,0.02,55,maxEv,7,407.0,12619,3
box+gbm+offset,0.04,55,maxEv,7,404.9,9201,3
compact+gbm+iso,0.04,55,maxEv,7,385.1,7961,3
compact+gbm,0.04,55,maxEv,7,370.7,8263,2
compact+gbm+offset,0.01,55,maxEv,7,367.8,13173,3
price+box+gbm,0.02,55,maxEv,7,366.1,9803,3
compact+gbm+iso,0.04,55,mostBooks,7,362.5,7960,3
box+gbm+iso,0.01,55,mostBooks,7,360.8,14503,3
compact+gbm,0.02,55,maxEv,7,357.5,11534,2
compact+iso,0.04,55,maxEv,7,350.7,7412,2
compact+box+gbm,0.01,55,maxEv,7,349.3,13314,3
price+gbm+iso,0.02,55,maxEv,7,346.1,9960,3
compact+iso,0.04,55,mostBooks,7,342.7,7411,2
compact+gbm+iso,0.0,55,maxEv,7,340.9,15458,3
compact+gbm,0.02,55,mostBooks,7,337.4,11532,2
box+gbm+offset,0.02,55,maxEv,7,337.0,12474,3
price+gbm+iso,0.01,55,maxEv,7,336.0,12052,3
price+box+gbm,0.01,55,maxEv,7,334.0,12079,3
price+gbm+iso,0.02,55,mostBooks,7,325.8,9960,3
box+gbm+iso,0.0,55,mostBooks,7,313.3,16613,3
compact+gbm,0.01,55,maxEv,7,309.6,13637,2
price+gbm+iso,0.01,55,mostBooks,7,309.5,12052,3
compact+iso,0.02,55,maxEv,7,306.0,11000,2
price+gbm+iso,0.0,55,maxEv,7,305.0,14491,3
gbm+iso,0.02,55,maxEv,7,302.4,13281,2
compact+gbm+iso,0.0,55,mostBooks,7,301.1,15457,3
compact+iso,0.01,55,maxEv,7,297.7,13146,2
compact+iso,0.01,55,mostBooks,7,281.9,13145,2
price+gbm+iso,0.0,55,mostBooks,7,273.5,14491,3
compact+offset+iso,0.02,55,mostBooks,7,256.9,11078,3
compact+box+iso,0.04,55,mostBooks,7,240.4,7866,3
iso,0.04,55,maxEv,7,195.7,12065,1
iso,0.04,55,mostBooks,7,194.3,12066,1
offset+iso,0.04,55,maxEv,7,158.5,9939,2
box+offset+iso,0.04,55,maxEv,7,158.0,9626,3
box+offset+iso,0.04,55,mostBooks,7,155.8,9626,3
offset+iso,0.04,55,mostBooks,7,152.3,9940,2
price+offset+iso,0.02,55,mostBooks,7,129.9,9665,3
iso,0.01,55,maxEv,7,117.2,16974,1
iso,0.01,55,mostBooks,7,109.5,16975,1
compact+box,0.02,0,maxEv,6,845.6,26411,2
compact+offset,0.02,0,maxEv,6,843.9,26340,2
price+compact+offset,0.02,0,maxEv,6,827.1,21874,3
