spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
box+gbm,0.04,60,maxEv,7,327.5,6738,2
compact+gbm+offset,0.01,60,maxEv,6,345.6,9254,3
gbm+offset,0.04,60,maxEv,6,336.4,6602,2
gbm+iso,0.04,60,maxEv,6,334.0,7048,2
compact+gbm+offset,0.01,60,mostBooks,6,331.6,9253,3
gbm+offset,0.04,60,mostBooks,6,329.1,6602,2
compact+box+gbm,0.01,60,maxEv,6,326.4,9335,3
gbm+iso,0.04,60,mostBooks,6,320.1,7048,2
box+gbm,0.04,60,mostBooks,6,318.8,6738,2
gbm+offset,0.02,60,mostBooks,6,318.2,8935,2
compact+box+gbm,0.01,60,mostBooks,6,312.1,9334,3
gbm,0.04,60,maxEv,6,300.9,9187,1
gbm,0.04,60,mostBooks,6,283.8,9186,1
gbm+iso,0.0,60,maxEv,6,275.2,11930,2
gbm,0.02,60,maxEv,6,267.0,11359,1
box+gbm+iso,0.04,60,maxEv,6,254.0,6195,3
box+gbm+iso,0.04,60,mostBooks,6,247.8,6194,3
gbm,0.02,60,mostBooks,6,242.0,11358,1
box+gbm+offset,0.04,60,mostBooks,6,235.3,6086,3
compact+gbm+offset,0.02,60,maxEv,5,346.5,7683,3
compact+gbm,0.04,60,maxEv,5,340.1,5571,2
compact+gbm+offset,0.02,60,mostBooks,5,337.8,7682,3
compact+gbm,0.04,60,mostBooks,5,334.9,5569,2
compact+box+gbm,0.02,60,maxEv,5,332.6,7772,3
gbm+offset,0.01,60,maxEv,5,329.5,10442,2
gbm+offset,0.02,60,maxEv,5,328.7,8935,2
compact+box+gbm,0.02,60,mostBooks,5,323.4,7771,3
compact+gbm+iso,0.04,60,maxEv,5,321.5,4896,3
compact+gbm+offset,0.04,60,maxEv,5,320.9,4942,3
compact+gbm+offset,0.04,60,mostBooks,5,318.8,4941,3
compact+gbm,0.02,60,maxEv,5,313.0,8302,2
compact+gbm+iso,0.04,60,mostBooks,5,313.0,4896,3
compact+box+gbm,0.04,60,maxEv,5,306.3,4973,3
compact+box+gbm,0.04,60,mostBooks,5,301.9,4972,3
box+gbm,0.02,60,maxEv,5,301.0,9072,2
gbm+iso,0.01,60,maxEv,5,297.3,10557,2
compact+gbm+iso,0.02,60,maxEv,5,297.0,7534,3
compact+gbm,0.02,60,mostBooks,5,296.2,8300,2
box+gbm,0.02,60,mostBooks,5,288.9,9072,2
price+gbm+offset,0.02,60,maxEv,5,288.2,6087,3
price+box+gbm,0.01,60,maxEv,5,286.4,8139,3
price+gbm+offset,0.02,60,mostBooks,5,279.4,6086,3
gbm+iso,0.01,60,mostBooks,5,279.1,10557,2
compact+gbm+iso,0.02,60,mostBooks,5,279.0,7534,3
price+gbm+offset,0.01,60,maxEv,5,278.3,8020,3
price+compact+gbm,0.02,60,maxEv,5,274.6,5508,3
compact+box+gbm,0.0,60,maxEv,5,273.2,11188,3
price+box+gbm,0.01,60,mostBooks,5,272.7,8138,3
price+compact+gbm,0.02,60,mostBooks,5,270.3,5507,3
compact+gbm+offset,0.0,60,maxEv,5,269.9,11116,3
price+gbm+offset,0.01,60,mostBooks,5,264.6,8019,3
gbm+offset+iso,0.02,60,maxEv,5,262.3,8548,3
compact+box+gbm,0.0,60,mostBooks,5,259.2,11187,3
gbm+offset+iso,0.04,60,maxEv,5,256.4,6139,3
compact+gbm+offset,0.0,60,mostBooks,5,256.3,11115,3
gbm,0.01,60,maxEv,5,256.2,12655,1
price+box+gbm,0.02,60,maxEv,5,255.4,6161,3
