spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm,0.04,60,maxEv,6,143.3,10846,1
gbm,0.04,60,mostBooks,6,139.8,10845,1
gbm+iso,0.04,60,maxEv,6,125.5,7395,2
box+gbm+offset,0.04,60,mostBooks,6,54.6,6812,3
box+gbm+offset,0.04,60,maxEv,6,52.5,6813,3
compact+gbm,0.04,60,maxEv,5,211.3,6247,2
box+gbm+iso,0.04,60,maxEv,5,144.0,6401,3
box+gbm+iso,0.04,60,mostBooks,5,141.5,6401,3
gbm+iso,0.04,60,mostBooks,5,117.8,7395,2
box+gbm,0.04,60,maxEv,5,112.2,7407,2
box+gbm,0.04,60,mostBooks,5,107.3,7406,2
gbm+offset,0.04,60,maxEv,5,102.8,7248,2
gbm,0.02,60,maxEv,5,101.4,13788,1
gbm+offset,0.04,60,mostBooks,5,100.0,7247,2
gbm,0.02,60,mostBooks,5,98.5,13787,1
compact+gbm,0.01,60,maxEv,5,74.1,11199,2
gbm,0.01,60,maxEv,5,50.5,15507,1
gbm,0.01,60,mostBooks,5,45.3,15506,1
box+gbm,0.02,60,maxEv,5,24.8,10224,2
compact+offset+iso,0.0,60,maxEv,5,10.9,11950,3
compact+offset+iso,0.0,60,mostBooks,5,-3.3,11949,3
gbm+offset,0.01,60,maxEv,5,-11.1,12072,2
gbm,0.0,60,maxEv,5,-33.7,17518,1
gbm,0.0,60,mostBooks,5,-37.3,17517,1
compact+gbm,0.0,60,maxEv,5,-47.6,13652,2
compact+gbm,0.0,60,mostBooks,5,-50.1,13652,2
box+gbm,0.0,60,maxEv,5,-63.9,14492,2
box+gbm,0.0,60,mostBooks,5,-70.2,14491,2
gbm+iso,0.0,60,maxEv,5,-108.3,13658,2
gbm+iso,0.0,60,mostBooks,5,-119.5,13658,2
compact+gbm,0.04,60,mostBooks,4,207.2,6247,2
compact+gbm+iso,0.04,60,mostBooks,4,178.4,5038,3
compact+gbm+iso,0.04,60,maxEv,4,175.1,5038,3
compact+gbm+offset,0.04,60,mostBooks,4,132.2,5538,3
price+gbm+iso,0.04,60,mostBooks,4,131.4,3648,3
gbm+offset+iso,0.04,60,maxEv,4,131.4,6317,3
compact+gbm+offset,0.04,60,maxEv,4,130.3,5539,3
price+compact+gbm,0.02,60,maxEv,4,127.2,5587,3
price+gbm+iso,0.04,60,maxEv,4,126.7,3648,3
gbm+offset+iso,0.04,60,mostBooks,4,126.2,6317,3
compact+box+gbm,0.04,60,mostBooks,4,125.1,5614,3
compact+box+gbm,0.04,60,maxEv,4,124.7,5615,3
price+compact+gbm,0.02,60,mostBooks,4,123.2,5587,3
price+gbm+offset,0.02,60,mostBooks,4,115.3,6642,3
price+gbm+offset,0.02,60,maxEv,4,110.7,6642,3
price+box+gbm,0.02,60,mostBooks,4,102.7,6738,3
compact+gbm,0.02,60,maxEv,4,98.5,9088,2
price+box+gbm,0.02,60,maxEv,4,98.0,6738,3
compact+gbm+iso,0.02,60,mostBooks,4,93.9,7960,3
compact+gbm,0.02,60,mostBooks,4,93.8,9088,2
compact+gbm+iso,0.02,60,maxEv,4,92.9,7960,3
compact+gbm+offset,0.02,60,maxEv,4,86.9,8356,3
compact+gbm,0.01,60,mostBooks,4,70.6,11199,2
compact+box+gbm,0.01,60,maxEv,4,54.6,10502,3
compact+box+gbm,0.01,60,mostBooks,4,53.7,10501,3
offset+iso,0.04,60,maxEv,4,47.7,6376,2
compact+gbm+offset,0.01,60,mostBooks,4,46.8,10408,3
compact+offset,0.02,60,maxEv,4,46.5,7622,2
compact+gbm+offset,0.01,60,maxEv,4,46.3,10409,3
offset+iso,0.04,60,mostBooks,4,39.9,6376,2
box+iso,0.04,60,maxEv,4,37.6,6727,2
price+gbm+offset,0.01,60,mostBooks,4,30.9,8681,3
box+iso,0.04,60,mostBooks,4,29.7,6727,2
compact+box+iso,0.02,60,maxEv,4,28.9,7743,3
compact+box,0.02,60,maxEv,4,28.6,7741,2
compact+gbm+iso,0.01,60,mostBooks,4,28.5,9709,3
price+gbm,0.01,60,mostBooks,4,28.3,9235,2
compact+gbm+iso,0.01,60,maxEv,4,27.8,9709,3
price+gbm+offset,0.01,60,maxEv,4,26.5,8681,3
compact+offset+iso,0.02,60,maxEv,4,26.5,7657,3
compact+offset+iso,0.01,60,maxEv,4,24.2,9486,3
price+gbm,0.01,60,maxEv,4,22.8,9235,2
box+gbm,0.02,60,mostBooks,4,18.9,10223,2
compact+iso,0.01,60,maxEv,4,15.7,9131,2
compact+box+iso,0.02,60,mostBooks,4,14.4,7743,3
compact+offset+iso,0.02,60,mostBooks,4,12.7,7656,3
box+offset+iso,0.04,60,mostBooks,4,12.7,6328,3
compact+offset+iso,0.01,60,mostBooks,4,9.9,9485,3
gbm+iso,0.02,60,maxEv,4,8.6,10162,2
compact+box+offset,0.04,60,maxEv,4,8.2,5240,3
gbm+iso,0.02,60,mostBooks,4,-0.5,10162,2
compact+iso,0.01,60,mostBooks,4,-1.6,9131,2
box+gbm+offset,0.01,60,maxEv,4,-7.4,11648,3
box+gbm+offset,0.01,60,mostBooks,4,-8.3,11647,3
compact+box+offset,0.04,60,mostBooks,4,-11.5,5239,3
box+gbm,0.01,60,maxEv,4,-12.6,12236,2
gbm+offset,0.01,60,mostBooks,4,-14.8,12071,2
price+gbm,0.0,60,mostBooks,4,-16.9,11979,2
price+offset+iso,0.0,60,maxEv,4,-18.1,10488,3
box+gbm,0.01,60,mostBooks,4,-18.5,12235,2
compact+box+iso,0.0,60,maxEv,4,-19.8,12047,3
price+gbm,0.0,60,maxEv,4,-23.7,11979,2
price+offset+iso,0.0,60,mostBooks,4,-23.7,10488,3
