spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact,0.01,0,maxEv,9,1238.8,51891,1
compact+gbm+iso,0.04,55,mostBooks,9,418.4,13482,3
compact+gbm+iso,0.02,55,mostBooks,9,372.9,18018,3
gbm,0.04,60,maxEv,9,280.4,14169,1
compact,0.01,0,mostBooks,8,1187.6,51897,1
compact,0.02,0,maxEv,8,1092.6,44258,1
compact,0.0,0,maxEv,8,1075.0,59454,1
compact+gbm,0.04,60,maxEv,8,434.8,10029,2
compact+gbm+iso,0.04,55,maxEv,8,428.3,13483,3
compact+iso,0.01,55,maxEv,8,412.7,20616,2
price+compact+gbm,0.04,55,maxEv,8,404.5,10948,3
price+compact+gbm,0.02,55,maxEv,8,401.2,17131,3
price+compact+gbm,0.04,55,mostBooks,8,398.7,10950,3
compact+iso,0.02,55,maxEv,8,389.9,17814,2
price+compact+gbm,0.02,55,mostBooks,8,387.3,17133,3
compact+gbm+iso,0.02,55,maxEv,8,386.9,18019,3
compact+iso,0.04,55,maxEv,8,371.0,12995,2
compact+iso,0.0,55,maxEv,8,366.8,23494,2
price+gbm+iso,0.0,55,maxEv,8,360.3,22820,3
compact+gbm+iso,0.01,55,mostBooks,8,358.8,20694,3
price+gbm+iso,0.01,55,maxEv,8,354.5,19743,3
price+gbm+iso,0.02,55,maxEv,8,345.2,16903,3
price+gbm+iso,0.01,55,mostBooks,8,337.4,19743,3
price+gbm+iso,0.02,55,mostBooks,8,332.9,16903,3
compact+gbm+iso,0.0,55,mostBooks,8,320.0,23594,3
compact+box+iso,0.04,55,maxEv,8,315.8,13504,3
price+iso,0.01,55,maxEv,8,315.3,19002,2
compact+box+iso,0.0,55,mostBooks,8,312.4,24004,3
compact+offset+iso,0.01,55,maxEv,8,307.1,20873,3
compact+box+iso,0.04,55,mostBooks,8,303.0,13504,3
compact+box+iso,0.01,55,maxEv,8,299.3,21007,3
price+iso,0.01,55,mostBooks,8,291.7,19003,2
compact+offset+iso,0.01,55,mostBooks,8,289.3,20874,3
price+compact+iso,0.0,55,maxEv,8,289.2,22931,3
compact+box+iso,0.02,55,maxEv,8,286.0,18346,3
compact+box+iso,0.01,55,mostBooks,8,280.0,21008,3
gbm,0.04,60,mostBooks,8,271.0,14171,1
gbm+iso,0.04,60,maxEv,8,241.6,10921,2
gbm,0.01,60,maxEv,8,233.8,19020,1
price+iso,0.02,55,maxEv,8,228.4,15787,2
price+compact+iso,0.04,55,maxEv,8,225.6,9836,3
gbm,0.02,60,maxEv,8,219.8,17275,1
price+box+iso,0.04,55,maxEv,8,219.2,11842,3
gbm,0.0,60,maxEv,8,207.0,20835,1
price+offset+iso,0.04,55,maxEv,8,183.9,11695,3
price+iso,0.04,55,maxEv,8,182.7,10536,2
price+iso,0.04,55,mostBooks,8,173.3,10535,2
iso,0.04,55,maxEv,8,168.3,17768,1
iso,0.04,55,mostBooks,8,165.4,17767,1
iso,0.04,60,mostBooks,8,93.3,12456,1
iso,0.04,60,maxEv,8,91.0,12457,1
compact,0.02,0,mostBooks,7,1058.9,44265,1
compact,0.0,0,mostBooks,7,1000.7,59459,1
compact,0.04,0,maxEv,7,954.0,30375,1
compact+gbm,0.04,0,mostBooks,7,531.7,37459,2
compact+offset+iso,0.04,0,maxEv,7,521.3,34814,3
compact+box+iso,0.04,0,maxEv,7,512.1,34880,3
compact+offset+iso,0.02,0,maxEv,7,490.6,46425,3
compact+offset+iso,0.04,0,mostBooks,7,487.7,34818,3
compact+box+offset,0.04,0,mostBooks,7,485.3,34468,3
compact+box+iso,0.02,0,maxEv,7,460.8,46449,3
compact+offset+iso,0.02,0,mostBooks,7,444.7,46428,3
compact+gbm,0.04,60,mostBooks,7,418.4,10030,2
compact+iso,0.01,55,mostBooks,7,387.7,20616,2
compact+box+offset,0.02,0,mostBooks,7,383.3,46301,3
compact+gbm+iso,0.01,55,maxEv,7,374.3,20695,3
compact+iso,0.02,55,mostBooks,7,368.4,17813,2
compact+iso,0.04,55,mostBooks,7,359.5,12994,2
compact,0.01,55,maxEv,7,350.8,21872,1
price+gbm,0.02,55,maxEv,7,350.4,17591,2
compact+gbm+offset,0.04,55,maxEv,7,348.1,13649,3
compact+offset+iso,0.01,0,maxEv,7,347.2,52720,3
compact,0.01,55,mostBooks,7,347.1,21871,1
compact+gbm+offset,0.04,55,mostBooks,7,342.1,13646,3
compact+iso,0.0,55,mostBooks,7,341.2,23494,2
compact+gbm,0.0,60,maxEv,7,340.9,18212,2
price+gbm+iso,0.0,55,mostBooks,7,340.6,22820,3
compact+box+offset,0.0,0,mostBooks,7,340.3,59205,3
compact+gbm+iso,0.0,55,maxEv,7,338.5,23595,3
gbm,0.04,55,maxEv,7,337.3,19169,1
gbm+iso,0.0,55,maxEv,7,336.5,24671,2
price+gbm,0.02,55,mostBooks,7,334.8,17592,2
compact+offset+iso,0.04,55,maxEv,7,332.9,13372,3
compact+gbm,0.02,60,maxEv,7,332.3,13899,2
gbm+iso,0.0,55,mostBooks,7,332.2,24668,2
compact+box+iso,0.0,55,maxEv,7,331.9,24003,3
compact+box+gbm,0.04,55,maxEv,7,331.8,13781,3
gbm,0.04,55,mostBooks,7,329.7,19170,1
compact,0.02,55,mostBooks,7,327.8,18339,1
compact,0.02,55,maxEv,7,326.9,18340,1
compact+gbm,0.0,60,mostBooks,7,326.2,18213,2
compact+box+gbm,0.04,55,mostBooks,7,324.4,13778,3
compact+offset+iso,0.04,55,mostBooks,7,322.7,13372,3
compact+offset+iso,0.0,55,maxEv,7,319.9,23847,3
price+compact+iso,0.02,55,maxEv,7,319.8,15629,3
compact+gbm+iso,0.04,0,mostBooks,7,319.0,36723,3
compact+gbm,0.02,60,mostBooks,7,318.0,13900,2
price+gbm+iso,0.04,55,maxEv,7,315.5,11845,3
compact+gbm+iso,0.04,60,maxEv,7,314.4,9133,3
gbm+iso,0.04,55,maxEv,7,314.2,15708,2
price+compact+iso,0.01,55,maxEv,7,311.6,19190,3
compact+gbm+offset,0.02,55,maxEv,7,310.0,18563,3
compact+offset+iso,0.02,55,maxEv,7,309.7,18215,3
compact,0.04,55,mostBooks,7,309.0,12034,1
price+gbm,0.01,55,maxEv,7,307.5,20962,2
price+gbm+iso,0.04,55,mostBooks,7,306.7,11845,3
gbm+iso,0.04,55,mostBooks,7,306.5,15706,2
price+compact+gbm,0.01,55,maxEv,7,304.7,20742,3
compact+gbm+iso,0.04,60,mostBooks,7,304.6,9132,3
compact+offset+iso,0.0,55,mostBooks,7,304.5,23848,3
compact+offset+iso,0.01,0,mostBooks,7,303.7,52725,3
compact,0.04,55,maxEv,7,303.2,12035,1
compact+gbm+offset,0.02,55,mostBooks,7,300.2,18560,3
compact+gbm,0.01,60,maxEv,7,298.9,16005,2
compact+offset+iso,0.02,55,mostBooks,7,296.4,18215,3
price+gbm,0.04,55,maxEv,7,294.1,12079,2
price+gbm,0.01,55,mostBooks,7,293.6,20963,2
box+gbm+iso,0.04,55,maxEv,7,292.6,15032,3
compact,0.0,55,maxEv,7,288.9,25326,1
compact+box+gbm,0.02,55,maxEv,7,288.5,18718,3
box+gbm+iso,0.0,55,maxEv,7,288.4,24418,3
compact+box+offset,0.01,0,mostBooks,7,288.3,52644,3
price+compact+gbm,0.0,55,maxEv,7,286.6,24539,3
price+gbm,0.04,55,mostBooks,7,285.9,12080,2
price+compact+gbm,0.01,55,mostBooks,7,285.9,20744,3
box+gbm+iso,0.04,55,mostBooks,7,285.7,15030,3
compact+box+iso,0.01,0,maxEv,7,285.2,52797,3
compact+gbm,0.01,60,mostBooks,7,283.3,16006,2
price+compact+iso,0.0,55,mostBooks,7,282.4,22930,3
compact,0.0,55,mostBooks,7,281.1,25325,1
gbm+offset+iso,0.0,55,maxEv,7,281.0,24285,3
box+gbm,0.04,55,maxEv,7,280.1,15785,2
gbm+offset,0.04,55,maxEv,7,280.1,15571,2
compact+box+offset,0.0,55,maxEv,7,279.0,24639,3
gbm+offset,0.04,55,mostBooks,7,277.6,15569,2
compact+box+gbm,0.02,55,mostBooks,7,277.0,18715,3
compact+gbm+iso,0.02,60,maxEv,7,276.9,12562,3
box+gbm,0.04,55,mostBooks,7,275.9,15783,2
compact+box+iso,0.02,55,mostBooks,7,271.4,18346,3
box+gbm+iso,0.0,55,mostBooks,7,270.3,24416,3
gbm+offset+iso,0.01,55,maxEv,7,270.3,21670,3
price+compact,0.01,55,mostBooks,7,270.0,21317,2
price+box+gbm,0.02,55,maxEv,7,269.8,17546,3
box+gbm+iso,0.01,55,maxEv,7,268.0,21799,3
gbm+offset+iso,0.04,55,maxEv,7,267.4,14965,3
gbm,0.01,55,maxEv,7,267.1,25313,1
compact+gbm+iso,0.02,60,mostBooks,7,266.9,12561,3
compact+box+offset,0.0,55,mostBooks,7,266.3,24638,3
gbm+offset+iso,0.0,55,mostBooks,7,265.1,24283,3
compact+box+offset,0.04,55,maxEv,7,263.8,13751,3
compact+box+offset,0.04,55,mostBooks,7,262.4,13749,3
gbm+offset+iso,0.04,55,mostBooks,7,262.0,14963,3
compact+box+gbm,0.0,55,maxEv,7,260.9,24520,3
gbm+iso,0.0,60,maxEv,7,258.9,17663,2
gbm+iso,0.02,55,maxEv,7,257.8,19791,2
gbm,0.0,55,maxEv,7,257.4,27723,1
gbm+offset+iso,0.01,55,mostBooks,7,255.8,21668,3
box+gbm,0.02,55,maxEv,7,255.6,20198,2
box+gbm+iso,0.01,55,mostBooks,7,251.5,21797,3
box+gbm,0.02,55,mostBooks,7,249.5,20196,2
gbm,0.02,55,maxEv,7,249.3,23102,1
compact+box+offset,0.02,55,maxEv,7,248.8,18730,3
price+gbm,0.0,55,maxEv,7,245.9,24392,2
compact+box+gbm,0.0,55,mostBooks,7,244.4,24517,3
compact+gbm+iso,0.01,60,maxEv,7,242.1,14600,3
gbm,0.0,55,mostBooks,7,241.8,27724,1
compact+offset+iso,0.0,0,maxEv,7,239.8,59397,3
gbm,0.02,55,mostBooks,7,239.1,23103,1
gbm+offset,0.02,55,maxEv,7,237.9,19986,2
compact+box+offset,0.02,55,mostBooks,7,237.9,18728,3
price+offset+iso,0.02,55,maxEv,7,235.0,16766,3
compact+gbm+iso,0.01,60,mostBooks,7,234.6,14599,3
gbm+iso,0.04,60,mostBooks,7,233.5,10921,2
gbm+offset,0.02,55,mostBooks,7,233.1,19984,2
box+iso,0.04,55,maxEv,7,229.6,15791,2
price+compact+iso,0.04,55,mostBooks,7,229.5,9835,3
price+gbm,0.0,55,mostBooks,7,229.1,24393,2
price+compact+offset,0.04,55,mostBooks,7,227.7,9751,3
price+compact+box,0.04,55,mostBooks,7,226.2,9915,3
price+compact,0.02,55,mostBooks,7,226.0,15900,2
price+offset+iso,0.02,55,mostBooks,7,223.6,16765,3
gbm,0.01,60,mostBooks,7,221.3,19022,1
price+compact+box,0.04,55,maxEv,7,220.4,9917,3
box+gbm,0.04,60,maxEv,7,218.4,11174,2
price+compact+offset,0.04,55,maxEv,7,218.2,9753,3
price+compact,0.04,55,mostBooks,7,215.7,7397,2
compact+box+iso,0.0,0,maxEv,7,214.8,59499,3
box+iso,0.04,55,mostBooks,7,214.7,15790,2
gbm+iso,0.01,60,maxEv,7,213.2,15786,2
compact+box+offset,0.01,55,maxEv,7,212.3,21535,3
price+box+iso,0.04,55,mostBooks,7,209.6,11841,3
gbm,0.02,60,mostBooks,7,209.4,17277,1
price+iso,0.0,55,maxEv,7,207.2,22375,2
gbm+iso,0.02,60,maxEv,7,206.8,14016,2
gbm+iso,0.01,60,mostBooks,7,205.6,15786,2
gbm+offset,0.04,60,maxEv,7,205.4,11054,2
compact+offset+iso,0.0,0,mostBooks,7,205.3,59404,3
box+gbm,0.01,60,maxEv,7,203.0,16564,2
price+compact,0.0,55,mostBooks,7,199.2,26356,2
gbm+iso,0.02,60,mostBooks,7,197.8,14016,2
compact+box+offset,0.01,55,mostBooks,7,197.2,21534,3
offset+iso,0.04,55,maxEv,7,193.5,15632,2
price+box+iso,0.0,55,mostBooks,7,192.0,23261,3
gbm,0.0,60,mostBooks,7,190.7,20837,1
