spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
gbm,0.04,60,maxEv,9,280.4,14169,1
compact+gbm,0.04,60,maxEv,8,434.8,10029,2
gbm,0.04,60,mostBooks,8,271.0,14171,1
gbm+iso,0.04,60,maxEv,8,241.6,10921,2
gbm,0.01,60,maxEv,8,233.8,19020,1
gbm,0.02,60,maxEv,8,219.8,17275,1
gbm,0.0,60,maxEv,8,207.0,20835,1
iso,0.04,60,mostBooks,8,93.3,12456,1
iso,0.04,60,maxEv,8,91.0,12457,1
compact+gbm,0.04,60,mostBooks,7,418.4,10030,2
compact+gbm,0.0,60,maxEv,7,340.9,18212,2
compact+gbm,0.02,60,maxEv,7,332.3,13899,2
compact+gbm,0.0,60,mostBooks,7,326.2,18213,2
compact+gbm,0.02,60,mostBooks,7,318.0,13900,2
compact+gbm+iso,0.04,60,maxEv,7,314.4,9133,3
compact+gbm+iso,0.04,60,mostBooks,7,304.6,9132,3
compact+gbm,0.01,60,maxEv,7,298.9,16005,2
compact+gbm,0.01,60,mostBooks,7,283.3,16006,2
compact+gbm+iso,0.02,60,maxEv,7,276.9,12562,3
compact+gbm+iso,0.02,60,mostBooks,7,266.9,12561,3
gbm+iso,0.0,60,maxEv,7,258.9,17663,2
compact+gbm+iso,0.01,60,maxEv,7,242.1,14600,3
compact+gbm+iso,0.01,60,mostBooks,7,234.6,14599,3
gbm+iso,0.04,60,mostBooks,7,233.5,10921,2
gbm,0.01,60,mostBooks,7,221.3,19022,1
box+gbm,0.04,60,maxEv,7,218.4,11174,2
gbm+iso,0.01,60,maxEv,7,213.2,15786,2
gbm,0.02,60,mostBooks,7,209.4,17277,1
gbm+iso,0.02,60,maxEv,7,206.8,14016,2
gbm+iso,0.01,60,mostBooks,7,205.6,15786,2
gbm+offset,0.04,60,maxEv,7,205.4,11054,2
box+gbm,0.01,60,maxEv,7,203.0,16564,2
gbm+iso,0.02,60,mostBooks,7,197.8,14016,2
gbm,0.0,60,mostBooks,7,190.7,20837,1
box+gbm,0.02,60,maxEv,7,184.1,14613,2
gbm+offset,0.02,60,maxEv,7,176.9,14489,2
gbm+offset,0.01,60,maxEv,7,175.0,16419,2
box+gbm+offset,0.0,60,maxEv,7,164.9,18222,3
box+gbm+offset,0.04,60,maxEv,7,164.5,10723,3
compact+box+iso,0.0,60,maxEv,7,161.3,16909,3
box+gbm+offset,0.01,60,maxEv,7,160.9,16155,3
gbm+offset,0.02,60,mostBooks,7,160.5,14489,2
gbm+offset,0.01,60,mostBooks,7,159.1,16419,2
box+gbm+offset,0.04,60,mostBooks,7,158.6,10723,3
compact+box+iso,0.0,60,mostBooks,7,151.8,16908,3
box+gbm+offset,0.0,60,mostBooks,7,151.0,18222,3
box+gbm+offset,0.01,60,mostBooks,7,149.3,16155,3
price+gbm,0.01,60,maxEv,6,371.1,15103,2
price+gbm,0.01,60,mostBooks,6,363.3,15104,2
price+gbm,0.0,60,maxEv,6,333.7,17673,2
price+compact+gbm,0.0,60,maxEv,6,324.7,17599,3
price+gbm,0.04,60,maxEv,6,323.1,8357,2
price+gbm,0.0,60,mostBooks,6,322.4,17674,2
price+gbm,0.04,60,mostBooks,6,320.2,8358,2
price+compact+gbm,0.0,60,mostBooks,6,309.2,17601,3
compact+box+gbm,0.04,60,mostBooks,6,294.2,9461,3
compact+box+gbm,0.04,60,maxEv,6,293.8,9462,3
price+gbm+iso,0.01,60,maxEv,6,293.1,13593,3
price+gbm+iso,0.02,60,maxEv,6,288.1,11460,3
compact+gbm+offset,0.04,60,mostBooks,6,286.9,9352,3
compact+gbm+offset,0.04,60,maxEv,6,286.2,9353,3
compact+gbm+offset,0.02,60,maxEv,6,283.6,13149,3
compact+box+gbm,0.0,60,maxEv,6,283.1,17703,3
compact+box+gbm,0.02,60,maxEv,6,282.9,13262,3
compact+gbm+offset,0.02,60,mostBooks,6,281.6,13148,3
price+gbm+iso,0.01,60,mostBooks,6,280.5,13593,3
compact+box+gbm,0.02,60,mostBooks,6,280.5,13261,3
compact+box+gbm,0.0,60,mostBooks,6,277.3,17702,3
price+gbm+iso,0.02,60,mostBooks,6,277.2,11460,3
price+gbm+iso,0.0,60,maxEv,6,269.9,15821,3
compact+gbm+offset,0.0,60,maxEv,6,267.1,17563,3
compact+gbm+offset,0.0,60,mostBooks,6,261.5,17562,3
compact+box+gbm,0.01,60,maxEv,6,258.1,15397,3
price+gbm+iso,0.0,60,mostBooks,6,256.4,15821,3
gbm+iso,0.0,60,mostBooks,6,251.7,17663,2
compact+box+gbm,0.01,60,mostBooks,6,251.4,15396,3
compact+gbm+offset,0.01,60,maxEv,6,242.8,15285,3
compact+box,0.02,60,maxEv,6,240.6,12782,2
price+compact+box,0.01,60,maxEv,6,240.4,13861,3
price+compact+box,0.01,60,mostBooks,6,240.1,13860,3
compact+offset,0.02,60,maxEv,6,239.1,12579,2
compact+box,0.02,60,mostBooks,6,238.2,12781,2
compact+offset,0.02,60,mostBooks,6,236.7,12578,2
compact+gbm+offset,0.01,60,mostBooks,6,236.4,15284,3
price+compact+box,0.02,60,mostBooks,6,236.2,10914,3
compact+box,0.01,60,maxEv,6,235.8,15113,2
compact+box,0.01,60,mostBooks,6,235.8,15112,2
price+compact+box,0.02,60,maxEv,6,235.1,10915,3
compact+offset,0.0,60,maxEv,6,234.9,17409,2
compact+offset,0.0,60,mostBooks,6,232.6,17408,2
price+compact,0.02,60,mostBooks,6,231.0,9820,2
compact+box,0.0,60,maxEv,6,230.4,17630,2
price+compact,0.02,60,maxEv,6,229.3,9821,2
compact+gbm+iso,0.0,60,maxEv,6,224.7,16740,3
compact+offset,0.01,60,maxEv,6,222.4,14898,2
compact+offset,0.01,60,mostBooks,6,222.2,14897,2
compact,0.04,60,mostBooks,6,218.5,7724,1
price+compact+offset,0.02,60,mostBooks,6,217.0,10777,3
price+compact+offset,0.02,60,maxEv,6,216.0,10778,3
compact+gbm+iso,0.0,60,mostBooks,6,212.7,16739,3
price+box+gbm,0.02,60,maxEv,6,211.9,12229,3
price+box+gbm,0.04,60,maxEv,6,210.7,7813,3
price+compact+iso,0.0,60,maxEv,6,207.2,15645,3
price+compact+iso,0.0,60,mostBooks,6,206.0,15644,3
compact+box+offset,0.0,60,mostBooks,6,203.4,17767,3
box+gbm,0.04,60,mostBooks,6,202.3,11174,2
price+gbm+offset,0.02,60,maxEv,6,200.7,12072,3
price+offset,0.02,60,maxEv,6,196.0,10112,2
gbm+offset,0.04,60,mostBooks,6,191.9,11054,2
box+gbm+iso,0.02,60,maxEv,6,189.2,13628,3
gbm+offset+iso,0.02,60,maxEv,6,188.9,13495,3
price+offset,0.02,60,mostBooks,6,188.5,10111,2
box+gbm,0.01,60,mostBooks,6,185.9,16564,2
compact+offset,0.04,60,mostBooks,6,185.6,8599,2
price+gbm+offset,0.04,60,maxEv,6,185.3,7712,3
compact+offset,0.04,60,maxEv,6,183.7,8600,2
gbm+offset+iso,0.01,60,maxEv,6,181.8,15376,3
gbm+offset+iso,0.02,60,mostBooks,6,180.4,13494,3
box+gbm+iso,0.02,60,mostBooks,6,180.3,13627,3
gbm+offset,0.0,60,maxEv,6,180.2,18402,2
price+gbm+offset,0.04,60,mostBooks,6,180.2,7712,3
compact+box,0.04,60,mostBooks,6,177.7,8792,2
compact+box,0.04,60,maxEv,6,176.0,8793,2
box+gbm,0.0,60,maxEv,6,174.4,18556,2
box+gbm+iso,0.01,60,maxEv,6,173.9,15511,3
compact+iso,0.01,60,maxEv,6,172.1,14426,2
price+box,0.02,60,maxEv,6,172.0,10560,2
gbm+offset+iso,0.01,60,mostBooks,6,170.7,15375,3
price+box+offset,0.02,60,maxEv,6,166.4,12002,3
box+gbm+iso,0.0,60,maxEv,6,166.4,17447,3
price+box,0.02,60,mostBooks,6,165.5,10559,2
box+gbm,0.02,60,mostBooks,6,165.3,14613,2
box+gbm+iso,0.01,60,mostBooks,6,162.4,15510,3
gbm+offset,0.0,60,mostBooks,6,162.1,18402,2
box+gbm+offset,0.02,60,maxEv,6,157.7,14183,3
compact+offset+iso,0.0,60,maxEv,6,156.6,16783,3
price+box+offset,0.02,60,mostBooks,6,156.4,12001,3
box+gbm+iso,0.0,60,mostBooks,6,154.6,17446,3
box+gbm+iso,0.04,60,maxEv,6,152.9,10347,3
box+gbm,0.0,60,mostBooks,6,152.2,18556,2
compact+iso,0.0,60,maxEv,6,152.0,16556,2
price+compact+box,0.04,60,maxEv,6,151.6,6006,3
compact+offset+iso,0.0,60,mostBooks,6,150.2,16782,3
price+compact+box,0.04,60,mostBooks,6,150.0,6005,3
price+offset,0.04,60,maxEv,6,147.4,5788,2
price+offset+iso,0.02,60,maxEv,6,146.8,11126,3
box+gbm+offset,0.02,60,mostBooks,6,146.7,14183,3
box+gbm+iso,0.04,60,mostBooks,6,145.3,10346,3
price+offset,0.04,60,mostBooks,6,143.1,5787,2
price+offset+iso,0.02,60,mostBooks,6,140.7,11125,3
compact+box+offset,0.04,60,mostBooks,6,137.6,9404,3
compact+iso,0.0,60,mostBooks,6,136.2,16555,2
gbm+offset+iso,0.04,60,maxEv,6,134.4,10249,3
compact+offset+iso,0.01,60,maxEv,6,133.2,14524,3
price+compact+offset,0.04,60,maxEv,6,132.8,5928,3
price+compact+offset,0.04,60,mostBooks,6,131.3,5927,3
price+box+iso,0.02,60,maxEv,6,130.7,11242,3
gbm+offset+iso,0.04,60,mostBooks,6,127.0,10248,3
price+box+iso,0.02,60,mostBooks,6,123.6,11241,3
price+box+iso,0.04,60,mostBooks,6,122.0,7538,3
price+box+iso,0.0,60,maxEv,6,121.7,15974,3
price+box+offset,0.04,60,maxEv,6,121.5,7773,3
price+offset+iso,0.04,60,maxEv,6,120.6,7196,3
price+box+offset,0.04,60,mostBooks,6,115.9,7772,3
price+offset+iso,0.04,60,mostBooks,6,115.1,7195,3
price+box+iso,0.0,60,mostBooks,6,112.1,15974,3
price+offset+iso,0.0,60,maxEv,6,105.4,15863,3
compact+box+iso,0.02,60,mostBooks,6,99.6,12606,3
price+offset+iso,0.0,60,mostBooks,6,98.2,15863,3
price+box,0.04,60,maxEv,6,92.4,6165,2
price+box,0.04,60,mostBooks,6,89.0,6164,2
iso,0.02,60,maxEv,6,79.0,15810,1
iso,0.02,60,mostBooks,6,74.9,15810,1
box+iso,0.04,60,maxEv,6,70.9,10967,2
box+offset+iso,0.04,60,maxEv,6,66.4,10711,3
offset+iso,0.02,60,maxEv,6,64.4,14088,2
offset+iso,0.04,60,maxEv,6,63.1,10812,2
offset+iso,0.02,60,mostBooks,6,58.3,14087,2
box+iso,0.04,60,mostBooks,6,57.6,10966,2
offset+iso,0.04,60,mostBooks,6,55.2,10811,2
box+iso,0.02,60,maxEv,6,53.3,14227,2
box+iso,0.02,60,mostBooks,6,41.0,14226,2
box+offset+iso,0.01,60,maxEv,6,39.5,16018,3
box+offset+iso,0.0,60,maxEv,6,36.5,18098,3
box+offset+iso,0.02,60,maxEv,6,34.9,14051,3
iso,0.01,60,maxEv,6,26.0,17754,1
box+iso,0.0,60,maxEv,6,21.1,18274,2
iso,0.01,60,mostBooks,6,18.7,17755,1
box+iso,0.01,60,maxEv,6,10.5,16141,2
box+iso,0.0,60,mostBooks,6,5.2,18273,2
offset+iso,0.01,60,maxEv,6,3.3,15972,2
offset+iso,0.0,60,maxEv,6,-1.1,18091,2
box+iso,0.01,60,mostBooks,6,-2.1,16140,2
offset+iso,0.01,60,mostBooks,6,-4.9,15971,2
offset+iso,0.0,60,mostBooks,6,-13.6,18091,2
iso,0.0,60,maxEv,6,-49.3,19709,1
iso,0.0,60,mostBooks,6,-55.7,19710,1
price+gbm,0.02,60,maxEv,5,354.6,12570,2
price+compact+gbm,0.02,60,maxEv,5,354.5,11941,3
price+gbm,0.02,60,mostBooks,5,347.6,12571,2
price+compact+gbm,0.02,60,mostBooks,5,344.8,11943,3
price+compact+gbm,0.04,60,maxEv,5,331.4,7047,3
price+compact+gbm,0.04,60,mostBooks,5,323.2,7049,3
price+compact+gbm,0.01,60,maxEv,5,313.3,14720,3
price+compact+gbm,0.01,60,mostBooks,5,299.1,14722,3
price+gbm+iso,0.04,60,maxEv,5,246.8,7692,3
compact,0.02,60,mostBooks,5,243.5,12690,1
price+gbm+iso,0.04,60,mostBooks,5,235.8,7692,3
compact,0.02,60,maxEv,5,235.5,12691,1
price+compact,0.01,60,mostBooks,5,233.4,14074,2
price+box+gbm,0.0,60,maxEv,5,232.7,17251,3
price+compact,0.01,60,maxEv,5,232.0,14075,2
compact+box,0.0,60,mostBooks,5,229.9,17629,2
compact,0.01,60,mostBooks,5,229.4,15430,1
compact,0.01,60,maxEv,5,227.2,15431,1
price+box+gbm,0.0,60,mostBooks,5,225.0,17251,3
price+compact+iso,0.02,60,maxEv,5,217.0,10330,3
price+compact+iso,0.02,60,mostBooks,5,214.7,10329,3
price+compact+offset,0.01,60,maxEv,5,214.0,13720,3
price+compact+offset,0.01,60,mostBooks,5,212.2,13719,3
price+gbm+offset,0.0,60,maxEv,5,210.4,17091,3
price+box+gbm,0.02,60,mostBooks,5,208.3,12229,3
compact,0.04,60,maxEv,5,208.2,7725,1
price+box+gbm,0.04,60,mostBooks,5,207.1,7813,3
compact+box+offset,0.0,60,maxEv,5,206.8,17768,3
price+compact+offset,0.0,60,maxEv,5,203.3,16954,3
price+compact+offset,0.0,60,mostBooks,5,203.3,16953,3
price+gbm+offset,0.0,60,mostBooks,5,201.3,17091,3
price+gbm+offset,0.02,60,mostBooks,5,195.5,12072,3
price+compact+box,0.0,60,mostBooks,5,193.6,17116,3
price+compact+box,0.0,60,maxEv,5,192.3,17117,3
compact,0.0,60,mostBooks,5,190.9,18023,1
compact,0.0,60,maxEv,5,189.8,18024,1
price+offset,0.0,60,maxEv,5,184.1,16395,2
price+compact,0.0,60,mostBooks,5,176.4,18325,2
compact+iso,0.02,60,maxEv,5,173.6,12295,2
price+offset,0.0,60,mostBooks,5,168.4,16394,2
price+compact,0.04,60,mostBooks,5,162.5,4236,2
price+compact,0.04,60,maxEv,5,161.2,4237,2
compact+box+offset,0.02,60,maxEv,5,161.0,13164,3
compact+iso,0.02,60,mostBooks,5,159.9,12294,2
compact+offset+iso,0.04,60,maxEv,5,158.5,8898,3
gbm+offset+iso,0.0,60,maxEv,5,158.4,17326,3
compact+iso,0.01,60,mostBooks,5,156.3,14425,2
price+offset,0.01,60,maxEv,5,155.8,13311,2
compact+box+offset,0.02,60,mostBooks,5,155.4,13163,3
compact+offset+iso,0.04,60,mostBooks,5,151.8,8897,3
price+offset,0.01,60,mostBooks,5,145.7,13310,2
gbm+offset+iso,0.0,60,mostBooks,5,145.7,17325,3
price+box,0.0,60,maxEv,5,145.4,16936,2
price+box+offset,0.01,60,maxEv,5,142.4,14510,3
compact+box+offset,0.01,60,maxEv,5,139.3,15372,3
compact+box+offset,0.04,60,maxEv,5,138.4,9405,3
compact+offset+iso,0.02,60,maxEv,5,137.0,12514,3
compact+box+offset,0.01,60,mostBooks,5,134.7,15371,3
price+offset+iso,0.01,60,maxEv,5,133.9,13456,3
price+box,0.0,60,mostBooks,5,132.2,16935,2
compact+offset+iso,0.02,60,mostBooks,5,131.7,12513,3
price+box,0.01,60,maxEv,5,131.0,13815,2
compact+box+iso,0.04,60,maxEv,5,130.8,9015,3
compact+offset+iso,0.01,60,mostBooks,5,129.0,14523,3
price+box+iso,0.04,60,maxEv,5,128.5,7539,3
price+offset+iso,0.01,60,mostBooks,5,127.7,13455,3
price+box+offset,0.0,60,maxEv,5,126.4,17086,3
price+compact+iso,0.04,60,mostBooks,5,126.2,5876,3
price+compact+iso,0.04,60,maxEv,5,125.6,5877,3
compact+iso,0.04,60,maxEv,5,124.5,8673,2
price+box+iso,0.01,60,mostBooks,5,124.1,13554,3
price+box,0.01,60,mostBooks,5,123.8,13814,2
compact+box+iso,0.04,60,mostBooks,5,122.7,9014,3
compact+iso,0.04,60,mostBooks,5,117.0,8672,2
compact+box+iso,0.01,60,maxEv,5,116.5,14623,3
price+box+offset,0.0,60,mostBooks,5,114.5,17085,3
compact+box+iso,0.01,60,mostBooks,5,110.7,14622,3
compact+box+iso,0.02,60,maxEv,5,104.7,12607,3
box+offset+iso,0.04,60,mostBooks,5,58.6,10710,3
box+offset+iso,0.01,60,mostBooks,5,30.2,16017,3
box+offset+iso,0.0,60,mostBooks,5,28.7,18097,3
box+offset+iso,0.02,60,mostBooks,5,28.0,14050,3
box,0.02,60,mostBooks,5,15.6,14785,1
box,0.02,60,maxEv,5,14.9,14785,1
box+offset,0.02,60,maxEv,5,11.0,14613,2
box+offset,0.02,60,mostBooks,5,8.5,14613,2
box,0.04,60,mostBooks,5,4.8,11332,1
box,0.04,60,maxEv,5,2.7,11332,1
box+offset,0.04,60,maxEv,5,-4.9,11196,2
box+offset,0.04,60,mostBooks,5,-5.7,11196,2
price+iso,0.01,60,maxEv,4,262.2,13121,2
price+iso,0.01,60,mostBooks,4,257.3,13120,2
price+box+gbm,0.01,60,maxEv,4,225.4,14619,3
price+gbm+offset,0.01,60,maxEv,4,221.8,14490,3
price+box+gbm,0.01,60,mostBooks,4,218.7,14619,3
price+gbm+offset,0.01,60,mostBooks,4,213.9,14490,3
price+iso,0.0,60,maxEv,4,183.4,15531,2
price+compact+iso,0.01,60,maxEv,4,183.1,12928,3
price+compact+iso,0.01,60,mostBooks,4,180.1,12927,3
price+iso,0.0,60,mostBooks,4,179.2,15530,2
price+compact,0.0,60,maxEv,4,174.1,18326,2
price,0.02,60,mostBooks,4,132.0,8896,1
price+box+iso,0.01,60,maxEv,4,131.5,13555,3
price+box+offset,0.01,60,mostBooks,4,129.9,14509,3
price,0.02,60,maxEv,4,126.6,8896,1
price+iso,0.04,60,maxEv,4,122.3,6935,2
price+iso,0.04,60,mostBooks,4,122.0,6934,2
box,0.01,60,mostBooks,4,5.7,16804,1
box,0.01,60,maxEv,4,2.1,16804,1
box,0.0,60,mostBooks,4,-8.5,18943,1
box+offset,0.01,60,mostBooks,4,-9.3,16606,2
box+offset,0.01,60,maxEv,4,-9.8,16606,2
box,0.0,60,maxEv,4,-16.1,18944,1
offset,0.02,60,maxEv,4,-16.8,14449,1
offset,0.04,60,mostBooks,4,-17.2,11081,1
offset,0.02,60,mostBooks,4,-18.0,14449,1
offset,0.04,60,maxEv,4,-18.6,11081,1
box+offset,0.0,60,maxEv,4,-24.4,18733,2
box+offset,0.0,60,mostBooks,4,-24.5,18733,2
offset,0.01,60,mostBooks,4,-24.6,16445,1
offset,0.01,60,maxEv,4,-27.6,16445,1
offset,0.0,60,mostBooks,4,-44.3,18607,1
offset,0.0,60,maxEv,4,-47.0,18607,1
price+iso,0.02,60,maxEv,3,175.6,10736,2
price+iso,0.02,60,mostBooks,3,174.8,10735,2
price,0.01,60,mostBooks,3,151.9,14275,1
price,0.01,60,maxEv,3,151.4,14275,1
price,0.0,60,maxEv,3,131.0,19483,1
price,0.0,60,mostBooks,3,130.3,19483,1
price,0.04,60,mostBooks,1,36.2,3006,1
price,0.04,60,maxEv,1,31.5,3006,1
