spec,tau,minConf,collapse,selectPasses,selectUnits,selectN,nMembers
compact+gbm,0.04,60,maxEv,9,341.6,12092,2
compact+gbm,0.04,60,mostBooks,9,329.6,12092,2
compact+gbm,0.02,60,maxEv,9,300.2,17505,2
compact+gbm,0.02,60,mostBooks,9,288.1,17505,2
compact+gbm+iso,0.04,60,maxEv,8,335.5,11573,3
price+compact+gbm,0.0,60,maxEv,8,327.3,22963,3
compact+gbm+iso,0.04,60,mostBooks,8,317.9,11573,3
price+compact+gbm,0.0,60,mostBooks,8,317.8,22963,3
price+compact+gbm,0.01,60,maxEv,8,305.1,18579,3
compact+gbm+iso,0.01,60,maxEv,8,303.8,20062,3
compact+gbm,0.01,60,maxEv,8,301.4,20633,2
price+compact+gbm,0.01,60,mostBooks,8,295.4,18579,3
price+gbm,0.02,60,maxEv,8,285.3,15668,2
price+gbm+iso,0.01,60,maxEv,8,285.0,18649,3
compact+gbm,0.01,60,mostBooks,8,283.0,20633,2
compact+gbm+iso,0.01,60,mostBooks,8,282.6,20062,3
gbm+iso,0.04,60,maxEv,8,276.5,14370,2
compact+gbm+iso,0.02,60,maxEv,8,274.2,16845,3
price+gbm+iso,0.01,60,mostBooks,8,268.2,18649,3
box+gbm,0.04,60,maxEv,8,261.6,13586,2
price+gbm,0.01,60,maxEv,8,255.3,19343,2
compact+gbm+iso,0.02,60,mostBooks,8,253.6,16845,3
gbm+offset+iso,0.04,60,maxEv,8,232.9,13001,3
gbm+offset+iso,0.04,60,mostBooks,8,219.9,13002,3
gbm+offset,0.04,60,maxEv,8,214.7,13441,2
gbm+offset+iso,0.02,60,maxEv,8,210.1,18046,3
box+gbm,0.02,60,maxEv,8,204.6,18620,2
gbm+offset+iso,0.02,60,mostBooks,8,196.3,18047,3
gbm+offset+iso,0.01,60,maxEv,8,195.1,20975,3
gbm+offset,0.0,60,maxEv,8,193.0,24390,2
gbm+offset,0.04,60,mostBooks,8,192.3,13441,2
gbm+offset,0.02,60,maxEv,8,188.8,18451,2
gbm+offset+iso,0.01,60,mostBooks,8,180.6,20976,3
box+gbm,0.01,60,maxEv,8,174.9,21532,2
gbm+offset,0.0,60,mostBooks,8,169.6,24391,2
gbm+offset,0.02,60,mostBooks,8,164.9,18451,2
