market,graded,attempts,spec,tau,side,minConf,minHist,selectN,selectRoi,fullN,fullRoi,fullVerdict,verdictFrom,verdictN,verdictWinPct,verdictRoi,verdictCiLo,verdictClusCiLo,verdictUnits,verdictVerdict,verdictWhy
batter_hits,94209,826,price,0.0,both,0,0,19878,2.2329868165380216,43344,1.14,PASS,2025-05-19,23466,41.9,0.21,-1.28,-1.33,49.0,PASS,graded n=23466 >= 500 and ROI 0.21% > 0%
batter_total_bases,88372,1399,compact+box,0.01,under,0,0,13940,2.3693790892640023,25904,2.59,PASS,2025-06-15,11964,53.8,2.84,1.15,1.0,340.2,PASS,graded n=11964 >= 500 and ROI 2.84% > 0%
batter_home_runs,57013,290,price,0.01,both,0,0,268,4.002729726413936,694,-8.02,FAIL,2025-05-11,426,13.15,-15.58,-37.66,-36.75,-66.4,FAIL,graded n=426 < 500 and ROI CI lower bound -37.66% <= 0%
batter_rbis,71864,1295,compact+gbm,0.02,both,55,0,1220,5.367813231878441,2225,4.21,PASS,2025-06-18,1005,63.48,2.81,-2.14,-1.79,28.2,PASS,graded n=1005 >= 500 and ROI 2.81% > 0%
batter_runs_scored,31012,455,price+gbm,0.0,under,60,0,3876,2.6929020806414865,6251,1.12,PASS,2024-06-28,2375,61.09,-1.45,-4.6,-5.15,-34.3,FAIL,graded n=2375 >= 500 but ROI -1.45% <= 0%
batter_strikeouts,27835,480,compact,0.02,both,0,0,4679,2.711772830148771,5485,2.51,PASS,2024-06-19,806,52.73,1.35,-5.79,-5.55,10.9,PASS,graded n=806 >= 500 and ROI 1.35% > 0%
pitcher_strikeouts,19447,566,compact+gbm,0.07,both,0,10,534,9.960900495869652,832,5.79,PASS,2025-06-30,298,36.91,-1.69,-16.89,-16.07,-5.0,FAIL,graded n=298 < 500 and ROI CI lower bound -16.89% <= 0%
pitcher_outs,3408,335,price,0.01,over,55,0,491,3.415027230456988,727,2.39,PASS,2024-08-04,236,60.59,0.24,-10.48,-10.18,0.6,FAIL,graded n=236 < 500 and ROI CI lower bound -10.48% <= 0%
totals,6259,945,box,0.0,both,0,10,735,9.976748619467209,2004,2.83,PASS,2025-06-08,1269,50.59,-1.31,-6.66,-6.66,-16.6,FAIL,graded n=1269 >= 500 but ROI -1.31% <= 0%
h2h,4504,1210,gbm,0.01,over,0,10,642,7.124017208884313,1475,2.19,PASS,2025-06-14,833,52.34,-1.61,-8.26,-8.26,-13.4,FAIL,graded n=833 >= 500 but ROI -1.61% <= 0%
spreads,5685,939,gbm,0.01,over,55,10,351,7.9444242522692265,875,4.65,PASS,2025-06-10,524,60.69,2.44,-4.5,-4.5,12.8,PASS,graded n=524 >= 500 and ROI 2.44% > 0%
