market,rawOddsRows,matchedToGame,twoSided,bestPriceBothSides,idResolved,didNotPlay,dataMissing,withOutcome,pushes,gradedRows,games,first,last,y2023,y2024,y2025,y2026
batter_hits,341412,310069,133491,133491,132042,976,9616,121450,0,121450,5390,2024-04-01,2026-09-16,0,47922,39187,34341
batter_rbis,203508,183408,106066,106066,104948,712,6923,97313,0,97313,5389,2024-04-01,2026-09-16,0,28510,36823,31980
totals,9388,8597,8597,8597,8597,0,0,8597,351,8246,5289,2024-04-01,2026-09-16,0,2635,3121,2490
spreads,8153,7497,7497,7497,7497,0,0,7497,32,7465,5391,2024-04-01,2026-09-16,0,2395,2807,2263
batter_total_bases,575420,518960,129990,129990,128657,958,9646,118053,0,118053,5390,2024-04-01,2026-09-16,0,37969,42601,37483
batter_home_runs,320879,291717,66680,66680,65975,582,5700,59693,0,59693,3507,2024-04-01,2026-06-18,0,28187,28826,2680
pitcher_strikeouts,41128,38171,31310,31310,30790,373,5801,24616,0,24616,4858,2024-04-01,2026-09-16,0,7000,10255,7361
h2h,6502,5956,5956,5956,5956,0,0,5956,0,5956,5391,2024-04-01,2026-09-16,0,1833,2289,1834
batter_runs_scored,163524,141481,75479,75479,74687,167,19309,55211,0,55211,2969,2024-04-01,2026-09-16,0,30986,8324,15901
pitcher_outs,14366,13563,12778,12778,12541,123,2167,10251,128,10123,4403,2024-04-02,2026-09-16,0,2433,3540,4150
batter_strikeouts,44575,38695,38694,38694,38299,107,10357,27835,0,27835,1439,2024-04-01,2026-07-17,0,27823,0,12
