market,rawOddsRows,matchedToGame,twoSided,bestPriceBothSides,idResolved,didNotPlay,dataMissing,withOutcome,pushes,gradedRows,games,first,last,y2023,y2024,y2025,y2026
batter_hits,342353,311010,134269,134269,132823,1136,11418,120269,0,120269,5393,2024-04-01,2026-09-16,0,47922,39187,33160
batter_rbis,205057,184957,107627,107627,106500,878,9183,96439,0,96439,5409,2024-04-01,2026-09-16,0,28510,36823,31106
totals,9444,8653,8653,8653,8653,0,0,8653,354,8299,5287,2024-04-01,2026-09-16,0,2635,3121,2543
spreads,8145,7489,7489,7489,7489,0,0,7489,32,7457,5392,2024-04-01,2026-09-16,0,2395,2807,2255
batter_total_bases,573608,517148,130620,130620,129302,1109,11551,116642,0,116642,5394,2024-04-01,2026-09-16,0,37969,42601,36072
batter_home_runs,314096,284934,66383,66383,65675,589,5748,59338,0,59338,3459,2024-04-01,2026-06-19,0,28187,28826,2325
pitcher_strikeouts,40997,38040,31179,31179,30659,384,5984,24291,0,24291,4858,2024-04-01,2026-09-16,0,7000,10255,7036
h2h,6502,5956,5956,5956,5956,0,0,5956,0,5956,5391,2024-04-01,2026-09-16,0,1833,2289,1834
batter_runs_scored,165034,142991,76297,76297,75489,390,21751,53348,0,53348,2954,2024-04-01,2026-09-16,0,30986,7617,14745
pitcher_outs,14067,13264,12469,12469,12241,127,2181,9933,112,9821,4383,2024-04-02,2026-09-16,0,2433,3540,3848
batter_strikeouts,44686,38806,38805,38805,38407,133,10439,27835,0,27835,1439,2024-04-01,2026-07-17,0,27823,0,12
