window_days,market,from_date,to_date,events,priced_candidates,graded_candidates,valid_candidates,predictions,confidence_60,eligible,selected,rejected,unservable,missing_outcome,outcome_status,pending_rows,n,win_pct,roi,roi_ci_lo,units,gate,market_last_priced_date,side_policy,model,parity,conf_floor,ev_floor
1,batter_hits,2026-09-16,2026-09-16,3,55,55,37,37,14,1,1,54,0,0,SETTLED,0,1,100.0,83.33,83.33,0.83,PASS,2026-09-16,under,gbm,ev_filtered,60,0.02
7,batter_hits,2026-09-10,2026-09-16,64,1126,1126,1108,1108,514,32,32,1094,0,0,SETTLED,0,32,62.5,7.8,-21.37,2.5,FAIL,2026-09-16,under,gbm,ev_filtered,60,0.02
30,batter_hits,2026-08-18,2026-09-16,308,5501,5501,5483,5483,2725,136,136,5365,0,0,SETTLED,0,136,66.18,16.57,2.14,22.53,PASS,2026-09-16,under,gbm,ev_filtered,60,0.02
1,batter_rbis,2026-09-16,2026-09-16,3,52,52,35,35,35,0,0,52,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-09-16,under,gbm,ev_filtered,60,0.02
7,batter_rbis,2026-09-10,2026-09-16,64,1080,1080,1063,1063,1059,20,20,1060,0,0,SETTLED,0,20,50.0,-21.77,-53.96,-4.35,FAIL,2026-09-16,under,gbm,ev_filtered,60,0.02
30,batter_rbis,2026-08-18,2026-09-16,309,5200,5200,5183,5183,5129,111,111,5089,0,0,SETTLED,0,111,60.36,-4.99,-18.57,-5.54,FAIL,2026-09-16,under,gbm,ev_filtered,60,0.02
1,totals,2026-09-16,2026-09-16,3,6,6,0,0,0,0,0,6,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-09-16,under,gbm,ev_pass,60,0.02
7,totals,2026-09-10,2026-09-16,64,109,107,81,81,15,3,3,104,0,2,SETTLED,0,3,66.67,26.19,-100.0,0.79,FAIL,2026-09-16,under,gbm,ev_pass,60,0.02
30,totals,2026-08-18,2026-09-16,309,456,437,411,411,66,25,25,412,0,19,SETTLED,0,25,52.0,-0.09,-38.64,-0.02,FAIL,2026-09-16,under,gbm,ev_pass,60,0.02
1,spreads,2026-09-16,2026-09-16,3,4,4,0,0,0,0,0,4,0,0,NO_BOARD_ROWS,0,0,,,,0.0,NO_DATA,2026-09-16,both,price,ev_pass,60,0.02
