market,innerCut,chosen,llB_chosen,llB_global,gain,sameAtAllCuts,beatsNoiseAtAllCuts,selectBoardN,viable,ADOPTED
batter_hits,0.5,offset+gbmC,0.663176,0.663958,0.000782,True,False,722,True,False
batter_hits,0.6,offset+gbmC,0.662394,0.663263,0.000869,True,False,722,True,False
batter_hits,0.7,offset+gbmC,0.660962,0.661873,0.000911,True,False,722,True,False
batter_rbis,0.5,compact+gbmC,0.600082,0.600804,0.000722,False,False,0,False,False
batter_rbis,0.6,compact+gbmC,0.600902,0.601661,0.000759,False,False,0,False,False
batter_rbis,0.7,compact+gbm,0.604726,0.605905,0.001179,False,False,0,False,False
totals,0.5,price+iso,0.693837,0.698414,0.004577,True,True,41,False,False
totals,0.6,price+iso,0.695346,0.699967,0.004622,True,True,41,False,False
totals,0.7,price+iso,0.694611,0.695971,0.00136,True,True,41,False,False
spreads,0.5,price,0.655636,0.668853,0.013218,True,True,1076,True,True
spreads,0.6,price,0.664518,0.677242,0.012724,True,True,1076,True,True
spreads,0.7,price,0.665435,0.682507,0.017072,True,True,1076,True,True
batter_total_bases,0.5,offset+rf,0.671409,0.673428,0.002019,False,True,0,False,False
batter_total_bases,0.6,offset+gbmC,0.67092,0.672586,0.001666,False,True,0,False,False
batter_total_bases,0.7,box+rf,0.669685,0.671408,0.001723,False,True,0,False,False
batter_home_runs,0.5,rf,0.342311,0.342591,0.000279,True,False,14,False,False
batter_home_runs,0.6,rf,0.344622,0.344623,1e-06,True,False,14,False,False
batter_home_runs,0.7,rf,0.344093,0.344232,0.000139,True,False,14,False,False
pitcher_strikeouts,0.5,price+gbmC,0.630555,0.635874,0.005318,False,True,0,False,False
pitcher_strikeouts,0.6,price+gbmC,0.631697,0.637352,0.005655,False,True,0,False,False
pitcher_strikeouts,0.7,price+box,0.630899,0.633208,0.002308,False,True,0,False,False
h2h,0.5,price+gbm,0.68002,0.686012,0.005993,False,True,0,False,False
h2h,0.6,price+gbmC,0.680937,0.684657,0.003721,False,True,0,False,False
h2h,0.7,price+gbmC,0.677791,0.679857,0.002067,False,True,0,False,False
batter_runs_scored,0.5,compact+gbm,0.651011,0.653601,0.00259,False,True,0,False,False
batter_runs_scored,0.6,price+gbm,0.649745,0.652506,0.002761,False,True,0,False,False
batter_runs_scored,0.7,price+gbmC,0.643848,0.647239,0.00339,False,True,0,False,False
pitcher_outs,0.5,price+gbmC,0.679326,0.682996,0.003669,True,True,600,True,True
pitcher_outs,0.6,price+gbmC,0.678465,0.681817,0.003353,True,True,600,True,True
pitcher_outs,0.7,price+gbmC,0.678681,0.683358,0.004678,True,True,600,True,True
batter_strikeouts,0.5,compact,0.66349,0.663146,-0.000344,True,False,993,True,False
batter_strikeouts,0.6,compact,0.660626,0.660201,-0.000425,True,False,993,True,False
batter_strikeouts,0.7,compact,0.656679,0.656601,-7.8e-05,True,False,993,True,False
