market,innerCut,chosen,llB_chosen,llB_global,gain,sameAtAllCuts,beatsNoiseAtAllCuts,selectBoardN,viable,ADOPTED
batter_hits,0.5,box,0.663537,0.664099,0.000562,True,False,506,True,False
batter_hits,0.6,box,0.662544,0.663188,0.000644,True,False,506,True,False
batter_hits,0.7,box,0.661266,0.661737,0.000472,True,False,506,True,False
batter_rbis,0.5,compact,0.600386,0.60096,0.000574,False,False,0,False,False
batter_rbis,0.6,offset,0.601388,0.601739,0.000351,False,False,0,False,False
batter_rbis,0.7,compact,0.604719,0.60549,0.000772,False,False,0,False,False
totals,0.5,price,0.693678,0.706873,0.013195,True,True,0,False,False
totals,0.6,price,0.694324,0.709637,0.015313,True,True,0,False,False
totals,0.7,price,0.694579,0.706104,0.011525,True,True,0,False,False
spreads,0.5,price,0.655636,0.671112,0.015476,True,True,1076,True,True
spreads,0.6,price,0.664518,0.680103,0.015585,True,True,1076,True,True
spreads,0.7,price,0.665435,0.680459,0.015023,True,True,1076,True,True
batter_total_bases,0.5,rf,0.672172,0.673138,0.000966,False,False,0,False,False
batter_total_bases,0.6,offset,0.670589,0.672316,0.001727,False,False,0,False,False
batter_total_bases,0.7,offset,0.669733,0.671375,0.001642,False,False,0,False,False
batter_home_runs,0.5,offset,0.34383,0.343271,-0.000559,False,False,0,False,False
batter_home_runs,0.6,box,0.346058,0.345574,-0.000484,False,False,0,False,False
batter_home_runs,0.7,gbm,0.345206,0.345206,0.0,False,False,0,False,False
pitcher_strikeouts,0.5,price,0.629835,0.636586,0.006751,True,True,0,False,False
pitcher_strikeouts,0.6,price,0.631547,0.636874,0.005327,True,True,0,False,False
pitcher_strikeouts,0.7,price,0.628521,0.634384,0.005862,True,True,0,False,False
h2h,0.5,price,0.682478,0.690763,0.008286,True,False,515,True,False
h2h,0.6,price,0.684443,0.689917,0.005475,True,False,515,True,False
h2h,0.7,price,0.681074,0.681502,0.000428,True,False,515,True,False
batter_runs_scored,0.5,compact,0.650463,0.654255,0.003792,False,False,0,False,False
batter_runs_scored,0.6,price,0.648797,0.652096,0.003299,False,False,0,False,False
batter_runs_scored,0.7,compact,0.644673,0.645726,0.001053,False,False,0,False,False
pitcher_outs,0.5,price,0.681191,0.683638,0.002447,True,False,142,False,False
pitcher_outs,0.6,price,0.680415,0.682606,0.002191,True,False,142,False,False
pitcher_outs,0.7,price,0.68062,0.678089,-0.002531,True,False,142,False,False
batter_strikeouts,0.5,compact,0.663254,0.665103,0.001849,True,True,758,True,True
batter_strikeouts,0.6,compact,0.660864,0.662321,0.001457,True,True,758,True,True
batter_strikeouts,0.7,compact,0.656982,0.658129,0.001147,True,True,758,True,True
