market,innerCut,chosen,llB_chosen,llB_global,gain,sameAtAllCuts,beatsNoiseAtAllCuts,ADOPTED
batter_hits,0.5,box,0.66366,0.663958,0.000298,False,False,False
batter_hits,0.6,offset,0.662903,0.663263,0.00036,False,False,False
batter_hits,0.7,offset,0.661632,0.661873,0.000241,False,False,False
batter_rbis,0.5,compact,0.60033,0.600804,0.000474,True,False,False
batter_rbis,0.6,compact,0.600998,0.601661,0.000663,True,False,False
batter_rbis,0.7,compact,0.604672,0.605905,0.001232,True,False,False
totals,0.5,et,0.69343,0.698414,0.004984,False,True,False
totals,0.6,price,0.694324,0.699967,0.005643,False,True,False
totals,0.7,price,0.694579,0.695971,0.001391,False,True,False
spreads,0.5,price,0.655636,0.668853,0.013218,True,True,True
spreads,0.6,price,0.664518,0.677242,0.012724,True,True,True
spreads,0.7,price,0.665435,0.682507,0.017072,True,True,True
batter_total_bases,0.5,rf,0.671889,0.673428,0.001539,True,True,True
batter_total_bases,0.6,rf,0.67096,0.672586,0.001625,True,True,True
batter_total_bases,0.7,rf,0.669967,0.671408,0.001441,True,True,True
batter_home_runs,0.5,rf,0.342311,0.342591,0.000279,True,False,False
batter_home_runs,0.6,rf,0.344622,0.344623,1e-06,True,False,False
batter_home_runs,0.7,rf,0.344093,0.344232,0.000139,True,False,False
pitcher_strikeouts,0.5,price,0.629835,0.635874,0.006039,True,True,True
pitcher_strikeouts,0.6,price,0.631547,0.637352,0.005804,True,True,True
pitcher_strikeouts,0.7,price,0.628521,0.633208,0.004686,True,True,True
h2h,0.5,price,0.682478,0.686012,0.003534,True,False,False
h2h,0.6,price,0.684443,0.684657,0.000215,True,False,False
h2h,0.7,price,0.681074,0.679857,-0.001217,True,False,False
batter_runs_scored,0.5,compact,0.650203,0.653601,0.003398,False,True,False
batter_runs_scored,0.6,price,0.648797,0.652506,0.003709,False,True,False
batter_runs_scored,0.7,compact,0.644353,0.647239,0.002886,False,True,False
pitcher_outs,0.5,price,0.681191,0.682996,0.001804,True,True,True
pitcher_outs,0.6,price,0.680415,0.681817,0.001403,True,True,True
pitcher_outs,0.7,price,0.68062,0.683358,0.002738,True,True,True
batter_strikeouts,0.5,compact,0.66349,0.663146,-0.000344,True,False,False
batter_strikeouts,0.6,compact,0.660626,0.660201,-0.000425,True,False,False
batter_strikeouts,0.7,compact,0.656679,0.656601,-7.8e-05,True,False,False
