market,innerCut,chosen,llB_chosen,llB_global,gain,sameAtAllCuts,beatsNoiseAtAllCuts,selectBoardN,viable,ADOPTED
batter_hits,0.5,offset,0.657197,0.656517,-0.00068,False,False,0,False,False
batter_hits,0.6,compact,0.666935,0.666636,-0.000298,False,False,0,False,False
batter_hits,0.7,compact,0.665975,0.665489,-0.000486,False,False,0,False,False
batter_rbis,0.5,compact,0.593378,0.592781,-0.000597,True,False,1131,True,False
batter_rbis,0.6,compact,0.593354,0.592666,-0.000688,True,False,1131,True,False
batter_rbis,0.7,compact,0.598053,0.597397,-0.000656,True,False,1131,True,False
totals,0.5,price,0.692522,0.696576,0.004054,True,False,1,False,False
totals,0.6,price,0.692034,0.694932,0.002899,True,False,1,False,False
totals,0.7,price,0.693132,0.693974,0.000842,True,False,1,False,False
spreads,0.5,price,0.6493,0.656639,0.007339,True,True,1030,True,True
spreads,0.6,price,0.647188,0.656216,0.009028,True,True,1030,True,True
spreads,0.7,price,0.651089,0.659457,0.008369,True,True,1030,True,True
batter_total_bases,0.5,compact,0.672646,0.672715,6.9e-05,True,False,2522,True,False
batter_total_bases,0.6,compact,0.672147,0.672294,0.000147,True,False,2522,True,False
batter_total_bases,0.7,compact,0.67271,0.672709,-1e-06,True,False,2522,True,False
batter_home_runs,0.5,price,0.348368,0.348281,-8.8e-05,True,False,2,False,False
batter_home_runs,0.6,price,0.346422,0.346346,-7.6e-05,True,False,2,False,False
batter_home_runs,0.7,price,0.340079,0.340538,0.000458,True,False,2,False,False
pitcher_strikeouts,0.5,price,0.635117,0.636,0.000883,True,False,2,False,False
pitcher_strikeouts,0.6,price,0.633497,0.633034,-0.000463,True,False,2,False,False
pitcher_strikeouts,0.7,price,0.627323,0.623148,-0.004176,True,False,2,False,False
h2h,0.5,price,0.681291,0.682715,0.001424,True,False,542,True,False
h2h,0.6,price,0.686658,0.688013,0.001355,True,False,542,True,False
h2h,0.7,price,0.688796,0.689154,0.000359,True,False,542,True,False
batter_runs_scored,0.5,compact,0.655962,0.656606,0.000643,True,False,1403,True,False
batter_runs_scored,0.6,compact,0.652611,0.653789,0.001178,True,False,1403,True,False
batter_runs_scored,0.7,compact,0.653636,0.655509,0.001873,True,False,1403,True,False
pitcher_outs,0.5,price,0.681486,0.683863,0.002377,True,True,308,False,False
pitcher_outs,0.6,price,0.682982,0.686672,0.00369,True,True,308,False,False
pitcher_outs,0.7,price,0.682282,0.684392,0.00211,True,True,308,False,False
batter_strikeouts,0.5,price,0.659498,0.658654,-0.000844,True,False,571,True,False
batter_strikeouts,0.6,price,0.662235,0.66158,-0.000655,True,False,571,True,False
batter_strikeouts,0.7,price,0.664944,0.663981,-0.000963,True,False,571,True,False
