market,board,conf60,juice,breakeven,shippedOk,parity,rejected
batter_hits,2083,0,0,0,2083,ev_filtered,0
batter_rbis,2740,0,0,0,2740,ev_filtered,0
totals,569,0,0,0,569,ev_pass,0
spreads,1242,0,0,0,1242,ev_pass,0
batter_total_bases,409,0,0,0,409,ev_filtered,0
batter_home_runs,29,0,0,0,29,ev_filtered,0
pitcher_strikeouts,2407,0,0,0,2407,ev_filtered,0
h2h,1524,0,0,0,1524,ev_pass,0
batter_runs_scored,7337,0,0,0,7337,ev_filtered,0
pitcher_outs,1957,0,0,0,1957,ev_filtered,0
batter_strikeouts,1676,0,0,0,1676,ev_filtered,0
