market,season,n,winPct,roi,ciLo,units
batter_hits,2024,415,61.45,4.69,-2.98,19.5
batter_hits,2025,801,65.29,16.87,10.96,135.1
batter_hits,2026,213,62.91,12.28,-0.0,26.2
batter_rbis,2024,678,66.08,8.67,2.79,58.8
batter_rbis,2025,949,65.12,4.69,0.04,44.5
batter_rbis,2026,85,71.76,17.24,1.62,14.7
totals,2024,159,50.94,-0.38,-15.35,-0.6
totals,2025,311,55.95,9.62,-1.12,29.9
totals,2026,43,44.19,-12.3,-40.26,-5.3
spreads,2024,338,62.72,1.86,-7.21,6.3
spreads,2025,1074,63.31,2.79,-1.94,29.9
spreads,2026,195,58.46,-6.29,-16.74,-12.3
batter_total_bases,2024,1236,60.68,-0.72,-5.17,-8.9
batter_total_bases,2025,1768,63.24,6.85,3.15,121.1
batter_total_bases,2026,281,62.63,5.67,-3.7,15.9
batter_home_runs,2024,12,66.67,3.65,-36.85,0.4
batter_home_runs,2025,16,43.75,-31.04,-70.5,-5.0
pitcher_strikeouts,2024,161,57.14,-3.52,-16.68,-5.7
pitcher_strikeouts,2025,691,58.76,-0.29,-6.57,-2.0
pitcher_strikeouts,2026,97,64.95,8.04,-8.53,7.8
h2h,2024,298,55.7,-3.01,-14.0,-9.0
h2h,2025,847,59.62,1.72,-3.85,14.6
h2h,2026,96,54.17,-6.37,-23.56,-6.1
batter_runs_scored,2024,4202,61.21,1.56,-0.96,65.7
pitcher_outs,2024,102,56.86,0.43,-17.38,0.4
pitcher_outs,2025,424,60.61,4.06,-4.02,17.2
pitcher_outs,2026,73,53.42,-6.81,-26.8,-5.0
batter_strikeouts,2024,1417,64.86,7.4,3.13,104.9
