arm,innerCut,market,spec,tau,collapse,side,bothN,aN,keepFrac,bN,bRoi,bUnits,bGatePass
A:unguarded,0.5,batter_hits,gbm,0.02,maxEv,under,521,312,0.599,502,14.093,70.75,1
B:guard0.25,0.5,batter_hits,gbm,0.02,maxEv,under,521,312,0.599,502,14.093,70.75,1
B:guard0.40,0.5,batter_hits,gbm,0.02,maxEv,under,521,312,0.599,502,14.093,70.75,1
B:guard0.50,0.5,batter_hits,gbm,0.02,maxEv,under,521,312,0.599,502,14.093,70.75,1
A:unguarded,0.6,batter_hits,gbm,0.02,mostBooks,under,632,394,0.623,420,10.506,44.12,1
B:guard0.25,0.6,batter_hits,gbm,0.02,mostBooks,under,632,394,0.623,420,10.506,44.12,1
B:guard0.40,0.6,batter_hits,gbm,0.02,mostBooks,under,632,394,0.623,420,10.506,44.12,1
B:guard0.50,0.6,batter_hits,gbm,0.02,mostBooks,under,632,394,0.623,420,10.506,44.12,1
A:unguarded,0.7,batter_hits,gbm,0.02,mostBooks,under,771,503,0.652,311,11.041,34.34,1
B:guard0.25,0.7,batter_hits,gbm,0.02,mostBooks,under,771,503,0.652,311,11.041,34.34,1
B:guard0.40,0.7,batter_hits,gbm,0.02,mostBooks,under,771,503,0.652,311,11.041,34.34,1
B:guard0.50,0.7,batter_hits,gbm,0.02,mostBooks,under,771,503,0.652,311,11.041,34.34,1
A:unguarded,0.5,batter_rbis,gbm,0.02,maxEv,,874,874,1.0,847,-2.438,-20.65,0
B:guard0.25,0.5,batter_rbis,gbm,0.02,maxEv,,874,874,1.0,847,-2.438,-20.65,0
B:guard0.40,0.5,batter_rbis,gbm,0.02,maxEv,,874,874,1.0,847,-2.438,-20.65,0
B:guard0.50,0.5,batter_rbis,gbm,0.02,maxEv,,874,874,1.0,847,-2.438,-20.65,0
A:unguarded,0.6,batter_rbis,gbm,0.02,mostBooks,under,1046,1045,0.999,675,-4.614,-31.14,0
B:guard0.25,0.6,batter_rbis,gbm,0.02,mostBooks,under,1046,1045,0.999,675,-4.614,-31.14,0
B:guard0.40,0.6,batter_rbis,gbm,0.02,mostBooks,under,1046,1045,0.999,675,-4.614,-31.14,0
B:guard0.50,0.6,batter_rbis,gbm,0.02,mostBooks,under,1046,1045,0.999,675,-4.614,-31.14,0
A:unguarded,0.7,batter_rbis,gbm,0.02,mostBooks,under,1260,1259,0.999,461,-5.197,-23.96,0
B:guard0.25,0.7,batter_rbis,gbm,0.02,mostBooks,under,1260,1259,0.999,461,-5.197,-23.96,0
B:guard0.40,0.7,batter_rbis,gbm,0.02,mostBooks,under,1260,1259,0.999,461,-5.197,-23.96,0
B:guard0.50,0.7,batter_rbis,gbm,0.02,mostBooks,under,1260,1259,0.999,461,-5.197,-23.96,0
A:unguarded,0.5,totals,gbm,0.02,maxEv,over,412,257,0.624,124,16.806,20.84,0
B:guard0.25,0.5,totals,gbm,0.02,maxEv,over,412,257,0.624,124,16.806,20.84,0
B:guard0.40,0.5,totals,gbm,0.02,maxEv,over,412,257,0.624,124,16.806,20.84,0
B:guard0.50,0.5,totals,gbm,0.02,maxEv,over,412,257,0.624,124,16.806,20.84,0
A:unguarded,0.6,totals,gbm,0.02,mostBooks,,470,470,1.0,258,8.26,21.31,0
B:guard0.25,0.6,totals,gbm,0.02,mostBooks,,470,470,1.0,258,8.26,21.31,0
B:guard0.40,0.6,totals,gbm,0.02,mostBooks,,470,470,1.0,258,8.26,21.31,0
B:guard0.50,0.6,totals,gbm,0.02,mostBooks,,470,470,1.0,258,8.26,21.31,0
A:unguarded,0.7,totals,gbm,0.02,mostBooks,,536,536,1.0,192,9.891,18.99,0
B:guard0.25,0.7,totals,gbm,0.02,mostBooks,,536,536,1.0,192,9.891,18.99,0
B:guard0.40,0.7,totals,gbm,0.02,mostBooks,,536,536,1.0,192,9.891,18.99,0
B:guard0.50,0.7,totals,gbm,0.02,mostBooks,,536,536,1.0,192,9.891,18.99,0
A:unguarded,0.5,spreads,gbm,0.02,maxEv,over,564,319,0.566,333,7.603,25.32,0
B:guard0.25,0.5,spreads,gbm,0.02,maxEv,over,564,319,0.566,333,7.603,25.32,0
B:guard0.40,0.5,spreads,gbm,0.02,maxEv,over,564,319,0.566,333,7.603,25.32,0
B:guard0.50,0.5,spreads,gbm,0.02,maxEv,over,564,319,0.566,333,7.603,25.32,0
A:unguarded,0.6,spreads,gbm,0.02,mostBooks,,688,688,1.0,472,5.216,24.62,0
B:guard0.25,0.6,spreads,gbm,0.02,mostBooks,,688,688,1.0,472,5.216,24.62,0
B:guard0.40,0.6,spreads,gbm,0.02,mostBooks,,688,688,1.0,472,5.216,24.62,0
B:guard0.50,0.6,spreads,gbm,0.02,mostBooks,,688,688,1.0,472,5.216,24.62,0
A:unguarded,0.7,spreads,gbm,0.02,mostBooks,,799,799,1.0,361,4.992,18.02,0
B:guard0.25,0.7,spreads,gbm,0.02,mostBooks,,799,799,1.0,361,4.992,18.02,0
B:guard0.40,0.7,spreads,gbm,0.02,mostBooks,,799,799,1.0,361,4.992,18.02,0
B:guard0.50,0.7,spreads,gbm,0.02,mostBooks,,799,799,1.0,361,4.992,18.02,0
A:unguarded,0.5,batter_total_bases,gbm,0.02,maxEv,,1829,1829,1.0,2184,0.24,5.25,1
B:guard0.25,0.5,batter_total_bases,gbm,0.02,maxEv,,1829,1829,1.0,2184,0.24,5.25,1
B:guard0.40,0.5,batter_total_bases,gbm,0.02,maxEv,,1829,1829,1.0,2184,0.24,5.25,1
B:guard0.50,0.5,batter_total_bases,gbm,0.02,maxEv,,1829,1829,1.0,2184,0.24,5.25,1
A:unguarded,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
B:guard0.25,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
B:guard0.40,0.6,batter_total_bases,gbm,0.02,mostBooks,,2143,2143,1.0,1870,0.149,2.78,1
