spec,tau,units,passes
price+offset,0.02,1296.1,6
compact+gbm+offset,0.02,1253.5,5
price+compact+gbm,0.01,1233.0,5
price+box,0.02,1225.7,6
price+offset,0.01,1214.4,5
price+box,0.01,1205.7,5
price+compact+offset,0.01,1197.6,6
compact+box+gbm,0.02,1184.7,6
compact+gbm+offset,0.01,1184.4,5
price+compact+box,0.02,1172.9,6
price+compact+box,0.01,1170.4,6
compact+box+gbm,0.01,1166.0,4
price+compact+offset,0.02,1141.1,7
price+box+offset,0.01,1133.5,5
price+box+offset,0.02,1126.2,6
compact+offset,0.02,1117.6,6
compact+box+offset,0.02,1110.7,6
compact+offset,0.01,1109.7,4
price+box+gbm,0.02,1093.0,4
price+gbm+offset,0.02,1077.0,4
price+box+gbm,0.01,1074.1,4
price+compact+gbm,0.0,1064.7,5
price+gbm+offset,0.01,1054.6,4
price+gbm+offset,0.0,1045.8,4
compact+box,0.01,1019.4,4
compact+box,0.02,1017.6,6
price+compact+gbm,0.02,1013.1,4
price+box+gbm,0.0,998.3,4
compact+box+gbm,0.0,965.1,5
compact+gbm,0.01,928.4,3
price+compact+offset,0.0,921.5,5
compact+gbm+offset,0.0,917.1,5
price+gbm,0.0,893.0,5
price+gbm,0.01,891.6,4
price+compact+box,0.0,886.1,4
price+box+offset,0.0,885.9,4
price+offset,0.0,865.1,4
box,0.02,861.3,6
offset,0.02,858.1,6
compact+offset,0.0,845.3,4
compact+box+offset,0.01,843.8,4
box+gbm,0.02,843.7,4
compact+gbm,0.02,836.2,4
box+gbm,0.01,834.1,4
price+box,0.0,822.8,4
box+offset,0.02,813.9,6
box+gbm+offset,0.02,803.1,5
compact+box+offset,0.0,782.9,4
compact+box,0.0,774.9,5
price+gbm,0.02,771.8,4
box+gbm+offset,0.0,765.4,5
box+gbm,0.0,742.2,5
box+gbm+offset,0.01,739.8,5
compact+gbm,0.0,738.6,6
box+offset,0.01,737.2,5
gbm+offset,0.0,720.8,4
gbm+offset,0.02,681.5,4
price+compact,0.02,678.7,5
offset,0.01,643.0,5
gbm+offset,0.01,634.4,5
price+compact,0.01,612.2,5
box,0.01,584.8,4
price,0.02,551.8,4
box+offset,0.0,514.5,5
compact,0.02,499.0,5
price,0.01,490.5,3
offset,0.0,460.2,3
compact,0.01,430.4,4
box,0.0,423.6,4
price+compact,0.0,422.4,4
compact,0.0,256.6,3
gbm,0.02,143.7,4
price,0.0,-97.6,2
gbm,0.01,-118.9,3
gbm,0.0,-246.8,3
