market,side,oldN,oldRoi,oldUnits,oldVerdict,newN,newRoi,newUnits,newVerdict,roiDelta
batter_hits,both,2344,8.24,193.2,PASS,2415,8.95,216.0,PASS,0.7
batter_rbis,both,2064,0.12,2.5,PASS,2091,2.03,42.5,PASS,1.91
totals,under,583,0.46,2.7,PASS,544,3.94,21.4,PASS,3.48
spreads,plus,1878,1.04,19.6,PASS,1877,1.06,19.9,PASS,0.02
batter_total_bases,under,6939,2.43,168.4,PASS,7039,3.38,237.7,PASS,0.95
batter_home_runs,both,20,-21.88,-4.4,FAIL,23,-25.49,-5.9,FAIL,-3.61
pitcher_strikeouts,over,629,1.73,10.9,PASS,624,4.35,27.2,PASS,2.62
h2h,over,994,-2.91,-29.0,FAIL,966,0.35,3.4,PASS,3.27
batter_runs_scored,both,4987,1.3,64.8,PASS,5049,1.26,63.5,PASS,-0.04
pitcher_outs,both,956,4.46,42.6,PASS,960,4.21,40.4,PASS,-0.25
batter_strikeouts,both,1835,6.45,118.4,PASS,1869,6.78,126.7,PASS,0.33
